update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.6775475740432739,0.0,0.6775475740432739,35.81781005859375,0.03495418280363083,1.3772883415222168,nan,1.0,0.0,1.0,nan,0.0
2,8192,0.6177707314491272,0.0,0.6177707314491272,30.71082305908203,-0.030490510165691376,1.3726413249969482,nan,1.0,0.0,1.0,nan,0.0
3,12288,0.6145865321159363,0.0,0.6145865321159363,28.70809555053711,-0.03660525009036064,1.3699841499328613,nan,1.0,0.0,1.0,nan,0.0
4,16384,0.6110185384750366,0.0,0.6110185384750366,26.697349548339844,-0.03852379322052002,1.3768417835235596,nan,1.0,0.0,1.0,nan,0.0
5,20480,0.6068326234817505,0.0,0.6068326234817505,25.191997528076172,0.02830522321164608,1.381603717803955,nan,1.0,0.0,1.0,nan,0.0
6,24576,0.6191472411155701,0.0,0.6191472411155701,24.030534744262695,-0.007223933935165405,1.3764851093292236,nan,1.0,0.0,1.0,nan,0.0
7,28672,0.6120743751525879,0.0,0.6120743751525879,24.69598388671875,0.04036552831530571,1.3525526523590088,nan,1.0,0.0,1.0,nan,0.0
8,32768,0.6165513396263123,0.0,0.6165513396263123,22.87264633178711,-0.0037177111953496933,1.3231498003005981,nan,1.0,0.0,1.0,nan,0.0
9,36864,0.6127586960792542,0.0,0.6127586960792542,25.61658477783203,-0.020262477919459343,1.298062801361084,nan,1.0,0.0,1.0,nan,0.0
10,40960,0.6077591180801392,0.0,0.6077591180801392,23.951129913330078,0.018276717513799667,1.3044154644012451,nan,1.0,0.0,1.0,nan,0.0
11,45056,0.608853816986084,0.0,0.608853816986084,24.083335876464844,-0.019193008542060852,1.3145239353179932,nan,1.0,0.0,1.0,nan,0.0
12,49152,0.6088548898696899,0.0,0.6088548898696899,26.272104263305664,0.029452357441186905,1.299203634262085,nan,1.0,0.0,1.0,nan,0.0
13,53248,0.6043588519096375,0.0,0.6043588519096375,26.166046142578125,-0.008126816712319851,1.2490496635437012,nan,1.0,0.0,1.0,nan,0.0
