rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0009059142903424799,0.0010237445821985602,8.221853931900114e-06,1.3057672731520142e-05,0.6291750720132764,0.99,7.553910386093321e-09,8.688230579423362e-09,1,4096,40.96,99.0,0.5,0.0
0.0009380521951243281,0.0010677012614905834,1.1135749446111731e-05,3.383749208296649e-05,0.32899777090769206,1.0,5.051799423227976e-09,6.087959913969598e-09,5,20480,204.8,100.0,0.125,0.0
0.0010254201479256153,0.0011712645646184683,5.019005766371265e-05,0.00012084609625162557,0.41528776139861107,1.0,9.197166916941057e-10,1.2288463580034659e-09,10,40960,409.6,100.0,0.21875,0.0
0.0016131135635077953,0.001842242432758212,0.00013969985593575984,0.0002850372693501413,0.4900936474650379,1.0,2.7565327798129147e-09,3.6906557809857077e-09,15,61440,614.4,100.0,0.3125,0.0
0.0022634556517004967,0.0025735085364431143,0.0003376683162059635,0.0006734474445693195,0.5013951793522821,1.0,5.657271984205181e-09,7.47423811731096e-09,20,81920,819.2,100.0,0.03125,0.0
0.002482909709215164,0.002828026656061411,0.00029233109671622515,0.0008706055232323706,0.33577519457828553,1.0,4.907891426597644e-09,6.466139179650554e-09,25,102400,1024.0,100.0,0.34375,0.0
0.0034631395246833563,0.003943516872823238,0.0003088805824518204,0.0007864845683798194,0.39273072551297467,1.0,1.420014150710358e-08,1.7309497835071852e-08,30,122880,1228.8,100.0,0.125,0.0
0.004461167845875025,0.005112681537866592,0.00017733327695168555,0.0005272260750643909,0.3363451124432788,1.0,2.801690612841412e-08,3.392925407297298e-08,35,143360,1433.6,100.0,0.125,0.0
0.006693505682051182,0.007950677536427975,0.0001277692208532244,0.0003094715066254139,0.4128492918572741,1.0,9.061739092430798e-08,1.1624511131458348e-07,40,163840,1638.4,100.0,0.09375,0.0
0.010115979239344597,0.013049500063061714,7.919855124782771e-05,0.00013714063970837742,0.5774566667441516,1.0,1.5959334405124537e-06,2.5473250389040913e-06,45,184320,1843.2,100.0,0.0625,0.0
0.014277183450758457,0.019199635833501816,7.740320143057033e-05,0.00018110848031938076,0.42736225090934427,1.0,1.3250102711026557e-05,2.280672561028041e-05,48,196608,1966.08,100.0,0.0625,0.0
