metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,1.0059242327997708e-10
coord_plus_nuisance_vs_idm_learned,0.00015919571800293575
coord_plus_nuisance_vs_crtr_online_joint,1.8147974234494768e-09
coord_plus_nuisance_vs_idm_online_joint,3.302582531894416e-07
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,6.408361731047307e-06
idm_learned_vs_idm_online_joint,0.016162182718290063
crtr_online_joint_vs_idm_online_joint,1.0
