update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.489628404378891,0.0,0.489628404378891,21.29800033569336,0.002406327985227108,1.377739429473877,5.545177459716797,1.0,0.0,1.0,nan,0.0
2,8192,0.4577362537384033,0.0,0.4577362537384033,16.93631935119629,-8.493661880493164e-05,1.372475504875183,5.5451765060424805,1.0,0.0,1.0,nan,0.0
3,12288,0.4582984447479248,0.0,0.4582984447479248,15.759653091430664,-0.022203437983989716,1.3712997436523438,5.545172214508057,1.0,0.0,1.0,nan,0.0
4,16384,0.45383986830711365,0.0,0.45383986830711365,14.030194282531738,0.0022325050085783005,1.3701608180999756,5.545168876647949,1.0,0.0,1.0,nan,0.0
5,20480,0.4460136890411377,0.0,0.4460136890411377,13.733074188232422,-0.0014252718538045883,1.3507976531982422,5.545165538787842,1.0,0.0,1.0,nan,0.0
6,24576,0.44625961780548096,0.0,0.44625961780548096,14.341970443725586,-0.013285423628985882,1.3546087741851807,5.54515266418457,1.0,0.0,1.0,nan,0.0
7,28672,0.4445953369140625,0.0,0.4445953369140625,14.548784255981445,-0.046620190143585205,1.370422124862671,5.5451436042785645,1.0,0.0,1.0,nan,0.0
8,32768,0.4598562717437744,0.0,0.4598562717437744,15.56540584564209,0.010760221630334854,1.3646087646484375,5.5450921058654785,1.0,0.0,1.0,nan,0.0
9,36864,0.4593113958835602,0.0,0.4593113958835602,15.383051872253418,-0.029548190534114838,1.359740972518921,5.545064926147461,1.0,0.0,1.0,nan,0.0
10,40960,0.4550153315067291,0.0,0.4550153315067291,16.778881072998047,-0.008859743364155293,1.3452476263046265,5.54493522644043,1.0,0.0,1.0,nan,0.0
11,45056,0.4524897038936615,0.0,0.4524897038936615,17.06680679321289,-0.005236368626356125,1.3426144123077393,5.544692516326904,1.0,0.0,1.0,nan,0.0
12,49152,0.44895675778388977,0.0,0.44895675778388977,18.69744873046875,-0.03160125017166138,1.3449289798736572,5.544578552246094,1.0,0.0,1.0,nan,0.0
13,53248,0.4458477795124054,0.0,0.4458477795124054,20.951095581054688,0.014389573596417904,1.3618767261505127,5.544432640075684,1.0,0.0,1.0,nan,0.0
14,57344,0.4469904899597168,0.0,0.4469904899597168,20.59842300415039,0.0012758644297719002,1.3461499214172363,5.5438690185546875,1.0,0.0,1.0,nan,0.0
15,61440,0.4483920931816101,0.0,0.4483920931816101,24.966419219970703,-0.023260317742824554,1.325655460357666,5.542541980743408,1.0,0.0,1.0,nan,0.0
16,65536,0.4587782621383667,0.0,0.4587782621383667,23.879783630371094,0.024320174008607864,1.33610200881958,5.541698455810547,1.0,0.0,1.0,nan,0.0
17,69632,0.4559171795845032,0.0,0.4559171795845032,20.942289352416992,-0.03264971822500229,1.292773723602295,5.539087295532227,1.0,0.0,1.0,nan,0.0
18,73728,0.4542621374130249,0.0,0.4542621374130249,19.548423767089844,-0.015224970877170563,1.3384063243865967,5.534524440765381,1.0,0.0,1.0,nan,0.0
19,77824,0.4628678560256958,0.0,0.4628678560256958,22.61762237548828,0.017521867528557777,1.365963101387024,5.53136682510376,1.0,0.0,1.0,nan,0.0
20,81920,0.4668327271938324,0.0,0.4668327271938324,23.57697296142578,0.002720961347222328,1.3486679792404175,5.525275707244873,1.0,0.0,1.0,nan,0.0
21,86016,0.4667752981185913,0.0,0.4667752981185913,26.282875061035156,0.009143784642219543,1.3222678899765015,5.502825736999512,1.0,0.0,1.0,nan,0.0
22,90112,0.4618726670742035,0.0,0.4618726670742035,27.400232315063477,0.03304671496152878,1.3356835842132568,5.4909749031066895,1.0,0.0,1.0,nan,0.0
23,94208,0.4751732051372528,0.0,0.4751732051372528,28.00415802001953,0.028868000954389572,1.3536953926086426,5.481481552124023,1.0,0.0,1.0,nan,0.0
24,98304,0.4831578731536865,0.0,0.4831578731536865,27.953330993652344,-0.010079093277454376,1.3510578870773315,5.419677257537842,1.0,0.0,1.0,nan,0.0
25,102400,0.49430328607559204,0.0,0.49430328607559204,28.667179107666016,-0.0011642426252365112,1.35259211063385,5.414554595947266,1.0,0.0,1.0,nan,0.0
26,106496,0.4836632013320923,0.0,0.4836632013320923,25.179935455322266,-0.05312659218907356,1.3271052837371826,5.372688293457031,1.0,0.0,1.0,nan,0.0
27,110592,0.49089333415031433,0.0,0.49089333415031433,26.019939422607422,-0.0014110282063484192,1.3383855819702148,5.348073482513428,1.0,0.0,1.0,nan,0.0
28,114688,0.483825147151947,0.0,0.483825147151947,25.939308166503906,-0.02866058610379696,1.3680016994476318,5.335731506347656,1.0,0.0,1.0,nan,0.0
29,118784,0.48028188943862915,0.0,0.48028188943862915,28.878129959106445,0.0004777228459715843,1.3254880905151367,5.325152397155762,1.0,0.0,1.0,nan,0.0
30,122880,0.47379225492477417,0.0,0.47379225492477417,28.474868774414062,0.006717312149703503,1.3506875038146973,5.36000919342041,1.0,0.0,1.0,nan,0.0
31,126976,0.4716986417770386,0.0,0.4716986417770386,26.157743453979492,0.02973378635942936,1.3461906909942627,5.335039138793945,1.0,0.0,1.0,nan,0.0
32,131072,0.47729650139808655,0.0,0.47729650139808655,25.78804588317871,0.007109445054084063,1.3461487293243408,5.318061351776123,1.0,0.0,1.0,nan,0.0
33,135168,0.4898342490196228,0.0,0.4898342490196228,25.614154815673828,-0.006250355392694473,1.351801872253418,5.2882256507873535,1.0,0.0,1.0,nan,0.0
34,139264,0.4826335310935974,0.0,0.4826335310935974,26.456829071044922,-0.034812651574611664,1.3589143753051758,5.3178935050964355,1.0,0.0,1.0,nan,0.0
