update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5893106460571289,0.002685546875,0.6175000667572021,32.89015197753906,0.03870697319507599,1.3762362003326416,nan,0.95,0.05,1.0,0.34375,0.0
2,8192,0.537442147731781,0.00146484375,0.5938806533813477,24.644906997680664,0.007350980304181576,1.3679664134979248,nan,0.9025,0.0975,1.0,0.15625,0.0
3,12288,0.49639570713043213,0.001220703125,0.5775477290153503,18.959487915039062,-0.0014628749340772629,1.3446133136749268,nan,0.857375,0.142625,1.0,0.125,0.0
4,16384,0.4624982178211212,0.000732421875,0.5669273138046265,15.802345275878906,0.013976147398352623,1.319822907447815,nan,0.81450625,0.18549375,1.0,0.09375,0.0
5,20480,0.4336717128753662,0.00048828125,0.5598269701004028,13.604710578918457,-0.06743628531694412,1.315222978591919,nan,0.7737809375,0.2262190625,1.0,0.0625,0.0
6,24576,0.4087940752506256,0.00146484375,0.5541201829910278,12.110933303833008,-0.05306406691670418,1.2945350408554077,nan,0.735091890625,0.264908109375,1.0,0.1875,0.0
7,28672,0.3881714642047882,0.000244140625,0.555501401424408,11.314777374267578,-0.001981380395591259,1.3242177963256836,nan,0.6983372960937501,0.30166270390624994,1.0,0.03125,0.0
8,32768,0.3832363784313202,0.00048828125,0.576931357383728,12.059328079223633,-0.02364477515220642,1.3327672481536865,nan,0.6634204312890626,0.3365795687109374,1.0,0.0625,0.0
9,36864,0.37354040145874023,0.0009765625,0.591137170791626,10.971452713012695,-0.0513397678732872,1.3478977680206299,nan,0.6302494097246094,0.36975059027539053,1.0,0.125,0.0
10,40960,0.34523558616638184,0.000732421875,0.575383186340332,11.11490249633789,0.012771953828632832,1.333207368850708,nan,0.598736939238379,0.401263060761621,1.0,0.09375,0.0
11,45056,0.32370394468307495,0.000732421875,0.5678119659423828,11.079193115234375,0.009510793723165989,1.359358549118042,nan,0.5688000922764601,0.4311999077235399,1.0,0.0625,0.0
12,49152,0.3107990622520447,0.000732421875,0.573814868927002,10.765039443969727,-0.03927266597747803,1.3457280397415161,nan,0.5403600876626371,0.45963991233736284,1.0,0.09375,0.0
13,53248,0.30145764350891113,0.002197265625,0.5829648971557617,12.250251770019531,0.018603459000587463,1.3307719230651855,nan,0.5133420832795053,0.4866579167204947,1.0,0.25,0.0
14,57344,0.285362184047699,0.001953125,0.581143319606781,11.584097862243652,0.03282326087355614,1.3246796131134033,nan,0.48767497911553004,0.51232502088447,1.0,0.1875,0.0
15,61440,0.27469876408576965,0.00341796875,0.5855513215065002,11.057573318481445,-0.002680005505681038,1.3313567638397217,nan,0.4632912301597536,0.5367087698402464,1.0,0.375,0.0
16,65536,0.25688672065734863,0.001220703125,0.5808918476104736,10.396772384643555,-0.005261765792965889,1.3220152854919434,nan,0.44012666865176586,0.5598733313482341,1.0,0.15625,0.0
17,69632,0.24420082569122314,0.00244140625,0.5782052874565125,8.498620986938477,0.01446748711168766,1.3236277103424072,nan,0.4181203352191776,0.5818796647808224,1.0,0.25,0.0
18,73728,0.23718246817588806,0.00439453125,0.5860512256622314,7.439226150512695,0.013093063607811928,1.3387138843536377,nan,0.39721431845821864,0.6027856815417814,1.0,0.4375,0.0
19,77824,0.23007556796073914,0.005126953125,0.5961215496063232,6.066653251647949,-0.017614319920539856,1.3538479804992676,nan,0.3773536025353077,0.6226463974646923,1.0,0.53125,0.0
20,81920,0.21496610343456268,0.00244140625,0.5928397178649902,5.923063278198242,0.0011928901076316833,1.3436366319656372,nan,0.35848592240854227,0.6415140775914577,1.0,0.25,0.0
21,86016,0.19832761585712433,0.000244140625,0.5816376209259033,5.094661712646484,-0.04978843033313751,1.3464444875717163,nan,0.34056162628811515,0.6594383737118849,1.0,0.03125,0.0
