metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,1.0
coord_only_goal_vs_crtr_learned_goal,1.0
coord_only_goal_vs_idm_learned_goal,1.0
coord_only_goal_vs_crtr_online_joint_goal,1.0
coord_only_goal_vs_idm_online_joint_goal,1.0
coord_plus_nuisance_goal_vs_crtr_learned_goal,1.0
coord_plus_nuisance_goal_vs_idm_learned_goal,6.606103705020239e-05
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,0.983291298393892
coord_plus_nuisance_goal_vs_idm_online_joint_goal,7.90945087203454e-11
crtr_learned_goal_vs_idm_learned_goal,0.007041592440431899
crtr_learned_goal_vs_crtr_online_joint_goal,0.6706721978714807
crtr_learned_goal_vs_idm_online_joint_goal,9.405848555088525e-05
idm_learned_goal_vs_crtr_online_joint_goal,1.0
idm_learned_goal_vs_idm_online_joint_goal,5.019200610689722e-10
crtr_online_joint_goal_vs_idm_online_joint_goal,0.008469134228001662
