update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.8689430952072144,0.002685546875,0.5274599194526672,381.0096435546875,0.019904743880033493,1.3790743350982666,nan,1.0,0.0,0.28262975811958313,0.3125,0.0
2,8192,1.7715048789978027,0.002197265625,0.5001200437545776,322.91290283203125,0.058046553283929825,1.3739484548568726,nan,1.0,0.0,0.282664268243559,0.28125,0.0
3,12288,1.872984766960144,0.001953125,0.5006691217422485,375.6435546875,0.010456026531755924,1.3579521179199219,nan,1.0,0.0,0.26758988983554904,0.1875,0.0
4,16384,1.8899439573287964,0.002197265625,0.49829235672950745,382.51190185546875,-0.015037411823868752,1.3326826095581055,nan,1.0,0.0,0.2639614552303081,0.21875,0.0
5,20480,1.8675836324691772,0.001953125,0.4894051253795624,368.1051025390625,-0.033947430551052094,1.3079769611358643,nan,1.0,0.0,0.26232692349164205,0.25,0.0
6,24576,1.8707680702209473,0.00146484375,0.49029797315597534,354.62335205078125,0.01196592953056097,1.307632327079773,nan,1.0,0.0,0.26228915216818544,0.1875,0.0
7,28672,1.8523499965667725,0.001220703125,0.48357507586479187,332.96563720703125,0.018922321498394012,1.3386173248291016,nan,1.0,0.0,0.2612324693500112,0.15625,0.0
8,32768,1.880893588066101,0.0009765625,0.49111485481262207,362.57342529296875,-0.0009071351960301399,1.374996542930603,nan,1.0,0.0,0.2612428222038537,0.125,0.0
9,36864,1.8957746028900146,0.001220703125,0.495588481426239,369.81011962890625,-0.03469887748360634,1.3504189252853394,nan,1.0,0.0,0.2615858327448239,0.15625,0.0
10,40960,1.9007980823516846,0.0009765625,0.49610036611557007,347.0289611816406,0.014027666300535202,1.2932515144348145,nan,1.0,0.0,0.26113001335189434,0.125,0.0
11,45056,1.8741304874420166,0.001220703125,0.48833906650543213,328.822998046875,-0.009546486660838127,1.3019592761993408,nan,1.0,0.0,0.2607381759867314,0.15625,0.0
12,49152,1.9167368412017822,0.001220703125,0.5003315210342407,334.5479736328125,0.01212337426841259,1.3042978048324585,nan,1.0,0.0,0.2611993615843343,0.15625,0.0
13,53248,1.8788819313049316,0.001953125,0.48952287435531616,325.5032653808594,-0.03799622133374214,1.3103959560394287,nan,1.0,0.0,0.26081056276811554,0.21875,0.0
14,57344,1.8782048225402832,0.00146484375,0.48945337533950806,314.82562255859375,0.010456623509526253,1.3350820541381836,nan,1.0,0.0,0.2607997603465936,0.15625,0.0
15,61440,1.9469971656799316,0.003173828125,0.5063259601593018,332.03692626953125,-0.02951471135020256,1.3354849815368652,nan,1.0,0.0,0.2604794398834995,0.3125,0.0
16,65536,1.9184019565582275,0.002685546875,0.49971455335617065,320.09716796875,-0.016689937561750412,1.3281702995300293,nan,1.0,0.0,0.2608499590053225,0.28125,0.0
17,69632,1.9182143211364746,0.0029296875,0.4998783767223358,325.3604736328125,-0.029652217403054237,1.341313123703003,nan,1.0,0.0,0.26099427960009886,0.34375,0.0
18,73728,1.914626955986023,0.002197265625,0.4990338981151581,296.297119140625,0.0617121085524559,1.3773956298828125,nan,1.0,0.0,0.2609423435563101,0.28125,0.0
19,77824,1.9326636791229248,0.00341796875,0.5032142996788025,305.2956237792969,-0.006590037140995264,1.3694117069244385,nan,1.0,0.0,0.2608347141508594,0.375,0.0
