update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.657796859741211,0.000244140625,0.48319634795188904,281.90283203125,0.037062931805849075,1.3732316493988037,1.383144497871399,1.0,0.0,0.2915118932723999,0.03125,0.0
2,8192,1.5736918449401855,0.000732421875,0.45859235525131226,243.10845947265625,0.008193327113986015,1.3667243719100952,1.4090690612792969,1.0,0.0,0.29154748482770304,0.09375,0.0
3,12288,1.6424674987792969,0.00048828125,0.45163291692733765,268.2603454589844,-0.031861357390880585,1.3557555675506592,1.38602614402771,1.0,0.0,0.2750539875492144,0.0625,0.0
4,16384,1.6515545845031738,0.000244140625,0.4443252682685852,277.5318603515625,-0.030756361782550812,1.358760118484497,1.4210785627365112,1.0,0.0,0.2690743106467849,0.03125,0.0
5,20480,1.6612348556518555,0.00048828125,0.44139501452445984,263.39312744140625,0.019803276285529137,1.3713757991790771,1.3777576684951782,1.0,0.0,0.2657810803802328,0.0625,0.0
6,24576,1.704573392868042,0.0009765625,0.4501636028289795,286.59271240234375,-0.0024569365195930004,1.370570182800293,1.3935468196868896,1.0,0.0,0.2642430233242476,0.09375,0.0
7,28672,1.673248529434204,0.000244140625,0.4417286515235901,283.54656982421875,0.0054639349691569805,1.3556009531021118,1.4326499700546265,1.0,0.0,0.26403316105746477,0.03125,0.0
8,32768,1.7436546087265015,0.000244140625,0.4586106538772583,303.18255615234375,-0.061500903218984604,1.3484996557235718,1.4177531003952026,1.0,0.0,0.26305373124424275,0.03125,0.0
9,36864,1.731555461883545,0.0,0.45926958322525024,262.6942443847656,-0.03148604929447174,1.3601255416870117,1.390998363494873,1.0,0.0,0.2652352672119964,0.0,0.0
10,40960,1.6976104974746704,0.00048828125,0.45034563541412354,249.3915252685547,-0.015577285550534725,1.3581253290176392,1.3918122053146362,1.0,0.0,0.26535837372987575,0.03125,0.0
11,45056,1.6932148933410645,0.00048828125,0.4478707015514374,242.60084533691406,0.018019529059529305,1.3773112297058105,1.39520263671875,1.0,0.0,0.2645853755507291,0.0625,0.0
12,49152,1.6949306726455688,0.000244140625,0.4476657509803772,275.2847900390625,-0.038241542875766754,1.378900170326233,1.420365333557129,1.0,0.0,0.26415841397171097,0.03125,0.0
13,53248,1.7080206871032715,0.000244140625,0.4498131573200226,252.82823181152344,0.005124869756400585,1.3785464763641357,1.3998501300811768,1.0,0.0,0.2633911178087495,0.03125,0.0
14,57344,1.6957132816314697,0.000244140625,0.44634801149368286,265.794677734375,-0.005336928181350231,1.3801965713500977,1.394573450088501,1.0,0.0,0.26325932458256135,0.03125,0.0
15,61440,1.7075011730194092,0.00048828125,0.44856327772140503,270.27093505859375,-0.014223556965589523,1.365415334701538,1.3854495286941528,1.0,0.0,0.26277673094668713,0.0625,0.0
16,65536,1.7810134887695312,0.000244140625,0.46762925386428833,261.21209716796875,-0.01267746277153492,1.3843079805374146,1.3805943727493286,1.0,0.0,0.2625995575423465,0.03125,0.0
17,69632,1.7229714393615723,0.0,0.4542883634567261,254.0065155029297,-0.02074224129319191,1.3706421852111816,1.3919306993484497,1.0,0.0,0.26366565080232385,0.0,0.0
18,73728,1.7160093784332275,0.000244140625,0.4516870081424713,243.7156982421875,0.0004830705001950264,1.3605413436889648,1.4038035869598389,1.0,0.0,0.2632568847515639,0.03125,0.0
19,77824,1.7015423774719238,0.000244140625,0.4474668800830841,259.1558532714844,-0.042000070214271545,1.3812353610992432,1.3794758319854736,1.0,0.0,0.26301497172123867,0.03125,0.0
20,81920,1.7066726684570312,0.000244140625,0.44858717918395996,239.92559814453125,0.02526092529296875,1.3647780418395996,1.404768943786621,1.0,0.0,0.2628807291261322,0.03125,0.0
21,86016,1.707480549812317,0.0,0.44838690757751465,261.16705322265625,-0.011120855808258057,1.3753514289855957,1.3843328952789307,1.0,0.0,0.26260145795881534,0.0,0.0
22,90112,1.708959698677063,0.0009765625,0.4483083486557007,262.28851318359375,0.055618755519390106,1.3560781478881836,1.374752163887024,1.0,0.0,0.26247821236569785,0.09375,0.0
23,94208,1.725454330444336,0.0,0.4526914954185486,274.56494140625,-0.07048991322517395,1.3587080240249634,1.3761769533157349,1.0,0.0,0.26236074266826864,0.0,0.0
24,98304,1.7440471649169922,0.0,0.4582464098930359,240.0847625732422,0.020331811159849167,1.3581392765045166,1.3793256282806396,1.0,0.0,0.2627488536285351,0.0,0.0
25,102400,1.7213584184646606,0.000732421875,0.4525429606437683,236.52508544921875,0.02619572915136814,1.3752391338348389,1.3714720010757446,1.0,0.0,0.2630106534504914,0.0625,0.0
26,106496,1.7236168384552002,0.0,0.45312929153442383,235.2384033203125,0.02306334488093853,1.3738751411437988,1.3756195306777954,1.0,0.0,0.26289445091833324,0.0,0.0
27,110592,1.708630084991455,0.000244140625,0.44886326789855957,234.1890869140625,0.005852784961462021,1.3522297143936157,1.3724637031555176,1.0,0.0,0.26274115183617786,0.03125,0.0
28,114688,1.6996240615844727,0.000244140625,0.44611218571662903,253.56790161132812,-0.05231936275959015,1.3449653387069702,1.360076904296875,1.0,0.0,0.2625147078040174,0.03125,0.0
29,118784,1.684701681137085,0.000244140625,0.4421180784702301,264.36328125,0.014793191105127335,1.3521555662155151,1.3726062774658203,1.0,0.0,0.2624691096203215,0.03125,0.0
30,122880,1.6961469650268555,0.0,0.4450409710407257,258.45477294921875,-0.022661857306957245,1.3526302576065063,1.369457721710205,1.0,0.0,0.2623834826489499,0.0,0.0
31,126976,1.7528443336486816,0.000244140625,0.4598335921764374,251.24354553222656,-0.031200841069221497,1.3769347667694092,1.384907841682434,1.0,0.0,0.26237223852368985,0.03125,0.0
32,131072,1.7309952974319458,0.0,0.4549309015274048,229.28115844726562,0.0057039628736674786,1.379517674446106,1.3646775484085083,1.0,0.0,0.2628146499959319,0.0,0.0
33,135168,1.725054144859314,0.0,0.4532308578491211,243.34323120117188,-0.006802074611186981,1.3642990589141846,1.3695838451385498,1.0,0.0,0.26273426404493144,0.0,0.0
34,139264,1.7047114372253418,0.0,0.44770723581314087,244.7981719970703,-0.03040601685643196,1.3605719804763794,1.39398193359375,1.0,0.0,0.26262933163526964,0.0,0.0
35,143360,1.697517991065979,0.0,0.44560706615448,249.13995361328125,0.010999096557497978,1.3332151174545288,1.3812510967254639,1.0,0.0,0.26250506074420804,0.0,0.0
36,147456,1.6850228309631348,0.0,0.44210729002952576,249.66448974609375,0.037102896720170975,1.342640995979309,1.3900783061981201,1.0,0.0,0.2623746530946254,0.0,0.0
37,151552,1.6873984336853027,0.0,0.44268572330474854,256.87255859375,-0.0047674113884568214,1.3562856912612915,1.364547848701477,1.0,0.0,0.262348063812332,0.0,0.0
