metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,1.0
coord_only_goal_vs_crtr_learned_goal,1.0
coord_only_goal_vs_idm_learned_goal,1.0
coord_only_goal_vs_crtr_online_joint_goal,1.0
coord_only_goal_vs_idm_online_joint_goal,1.0
coord_plus_nuisance_goal_vs_crtr_learned_goal,0.6478192865064356
coord_plus_nuisance_goal_vs_idm_learned_goal,0.6755610533044065
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,0.6558217560092503
coord_plus_nuisance_goal_vs_idm_online_joint_goal,0.6481048633408721
crtr_learned_goal_vs_idm_learned_goal,1.0
crtr_learned_goal_vs_crtr_online_joint_goal,1.0
crtr_learned_goal_vs_idm_online_joint_goal,1.0
idm_learned_goal_vs_crtr_online_joint_goal,0.9783290039594257
idm_learned_goal_vs_idm_online_joint_goal,0.9697892401018673
crtr_online_joint_goal_vs_idm_online_joint_goal,0.9914558262223847
