metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,0.9895461921152839
coord_only_goal_vs_crtr_learned_goal,0.981544343139745
coord_only_goal_vs_idm_learned_goal,0.9840958360198038
coord_only_goal_vs_crtr_online_joint_goal,0.9972195932100907
coord_only_goal_vs_idm_online_joint_goal,0.9640093130734002
coord_plus_nuisance_goal_vs_crtr_learned_goal,0.9919962840329968
coord_plus_nuisance_goal_vs_idm_learned_goal,0.9945481693072538
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,1.0
coord_plus_nuisance_goal_vs_idm_online_joint_goal,0.9744536931403212
crtr_learned_goal_vs_idm_learned_goal,1.0
crtr_learned_goal_vs_crtr_online_joint_goal,1.0
crtr_learned_goal_vs_idm_online_joint_goal,0.9824547516402138
idm_learned_goal_vs_crtr_online_joint_goal,1.0
idm_learned_goal_vs_idm_online_joint_goal,0.9799042096158554
crtr_online_joint_goal_vs_idm_online_joint_goal,0.9667865058714482
