update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.5908029079437256,0.002197265625,0.485160768032074,277.1590881347656,-0.029154587537050247,1.3800214529037476,1.3963663578033447,0.95,0.05,0.2901303470134735,0.28125,0.0
2,8192,1.4474828243255615,0.002197265625,0.4646786153316498,211.57069396972656,0.0024150749668478966,1.3811488151550293,1.3986741304397583,0.9025,0.0975,0.2901657796179066,0.21875,0.0
3,12288,1.4053850173950195,0.001220703125,0.4553557336330414,195.7646484375,0.000501289963722229,1.3810590505599976,1.4066494703292847,0.857375,0.142625,0.2780377244685684,0.15625,0.0
4,16384,1.3661649227142334,0.002197265625,0.4549752175807953,171.69821166992188,0.03578220680356026,1.373582363128662,1.4011284112930298,0.81450625,0.18549375,0.27169277691459615,0.25,0.0
5,20480,1.2897603511810303,0.000732421875,0.44776612520217896,153.2062530517578,0.015395223163068295,1.3723077774047852,1.3887709379196167,0.7737809375,0.2262190625,0.26878618543714344,0.09375,0.0
6,24576,1.2362502813339233,0.00048828125,0.44929176568984985,133.63180541992188,0.05738665163516998,1.3664805889129639,1.3898464441299438,0.735091890625,0.264908109375,0.26726079618867665,0.0625,0.0
7,28672,1.1873655319213867,0.0009765625,0.4522973895072937,125.23487854003906,-0.008729889988899231,1.3624181747436523,1.3915070295333862,0.6983372960937501,0.30166270390624994,0.2662331995114956,0.125,0.0
8,32768,1.1521766185760498,0.00244140625,0.46088936924934387,103.96534729003906,0.03146333247423172,1.3571096658706665,1.3829468488693237,0.6634204312890626,0.3365795687109374,0.2659424830449442,0.28125,0.0
9,36864,1.0684776306152344,0.000732421875,0.4522913098335266,92.04771423339844,-0.026336461305618286,1.337982177734375,1.3881738185882568,0.6302494097246094,0.36975059027539053,0.26697030068795236,0.09375,0.0
10,40960,1.0004444122314453,0.000244140625,0.44539275765419006,77.42086029052734,-0.005140488967299461,1.3616970777511597,1.3765944242477417,0.598736939238379,0.401263060761621,0.2666197065977691,0.03125,0.0
