update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,2.422010660171509,0.0,0.6513997912406921,664.5637817382812,0.062149181962013245,1.379568099975586,nan,1.0,0.0,0.2689500153064728,nan,1.0
2,8192,2.3243918418884277,0.0,0.6252214908599854,592.1444091796875,0.023141946643590927,1.3795759677886963,nan,1.0,0.0,0.2689828382851829,nan,1.0
3,12288,2.3576695919036865,0.0,0.6124211549758911,638.0542602539062,-0.041421279311180115,1.3840755224227905,nan,1.0,0.0,0.25975697661586616,nan,1.0
4,16384,2.414231777191162,0.0,0.6214051246643066,633.572998046875,0.029689110815525055,1.3774783611297607,nan,1.0,0.0,0.2573924649514711,nan,1.0
5,20480,2.3344414234161377,0.0,0.598450779914856,605.1456298828125,0.03510112315416336,1.375471830368042,nan,1.0,0.0,0.25635715605759896,nan,1.0
6,24576,2.3637125492095947,0.0,0.6038605570793152,665.1941528320312,-0.05360907316207886,1.3776750564575195,nan,1.0,0.0,0.25547123900936947,nan,1.0
7,28672,2.4113059043884277,0.0,0.6125156879425049,607.1831665039062,0.04133222997188568,1.3766969442367554,nan,1.0,0.0,0.2540182329012518,nan,1.0
8,32768,2.4058618545532227,0.0,0.6105459928512573,627.404541015625,-0.0015652747824788094,1.3691823482513428,nan,1.0,0.0,0.25377430961323927,nan,1.0
9,36864,2.4191479682922363,0.0,0.6137436032295227,629.216552734375,-0.03413671255111694,1.3808324337005615,nan,1.0,0.0,0.2537023866761512,nan,1.0
10,40960,2.377285957336426,0.0,0.602668046951294,582.2887573242188,0.016018496826291084,1.3664737939834595,nan,1.0,0.0,0.2535109593813564,nan,1.0
11,45056,2.404263973236084,0.0,0.6078031063079834,574.957763671875,0.022156674414873123,1.363741159439087,nan,1.0,0.0,0.2528021308508482,nan,1.0
12,49152,2.369596004486084,0.0,0.5995143055915833,578.2930908203125,-0.013527020812034607,1.3658452033996582,nan,1.0,0.0,0.25300272683710673,nan,1.0
13,53248,2.391961097717285,0.0,0.6063315272331238,589.111083984375,-0.00986950471997261,1.3702247142791748,nan,1.0,0.0,0.2534872052316274,nan,1.0
14,57344,2.3919172286987305,0.0,0.6063014268875122,595.582763671875,-0.054988130927085876,1.3653744459152222,nan,1.0,0.0,0.2534792921094707,nan,1.0
15,61440,2.353727340698242,0.0,0.5967267155647278,558.602294921875,-0.036812469363212585,1.3564581871032715,nan,1.0,0.0,0.2535241333459493,nan,1.0
16,65536,2.298933506011963,0.0,0.5830901861190796,523.197265625,-0.01725110225379467,1.3446886539459229,nan,1.0,0.0,0.25363508505573273,nan,1.0
17,69632,2.3084702491760254,0.0,0.5862705111503601,501.3238525390625,0.02481493353843689,1.3276411294937134,nan,1.0,0.0,0.25396491760999923,nan,1.0
18,73728,2.2705636024475098,0.0,0.5768128633499146,483.7679443359375,-0.0011711930856108665,1.370561122894287,nan,1.0,0.0,0.2540395191966183,nan,1.0
19,77824,2.350001096725464,0.0,0.5978256464004517,524.4071044921875,0.028388241305947304,1.3379223346710205,nan,1.0,0.0,0.2543937982697563,nan,1.0
20,81920,2.4013752937316895,0.0,0.6105486154556274,547.0292358398438,-0.03235650062561035,1.359449028968811,nan,1.0,0.0,0.25424953583825133,nan,1.0
21,86016,2.3230113983154297,0.0,0.5909221172332764,512.9271240234375,-0.016600176692008972,1.3481063842773438,nan,1.0,0.0,0.254377624485188,nan,1.0
22,90112,2.327735424041748,0.0,0.5922384858131409,519.7469482421875,0.0026123207062482834,1.3582754135131836,nan,1.0,0.0,0.25442690537026463,nan,1.0
23,94208,2.304401159286499,0.0,0.5864579081535339,519.9369506835938,-0.06010282039642334,1.364720344543457,nan,1.0,0.0,0.2544947234545785,nan,1.0
24,98304,2.364673614501953,0.0,0.6020781397819519,521.0317993164062,-0.004908110946416855,1.361865520477295,nan,1.0,0.0,0.25461364949374493,nan,1.0
25,102400,2.3355870246887207,0.0,0.5947716236114502,482.3045654296875,0.051894985139369965,1.3525018692016602,nan,1.0,0.0,0.25465617289797376,nan,1.0
26,106496,2.3161590099334717,0.0,0.5896605253219604,523.6275024414062,-0.05505070462822914,1.3728598356246948,nan,1.0,0.0,0.2545855198955315,nan,1.0
27,110592,2.3779752254486084,0.0,0.605526864528656,484.42132568359375,0.034075140953063965,1.3691818714141846,nan,1.0,0.0,0.25463967652131136,nan,1.0
28,114688,2.3530771732330322,0.0,0.599031388759613,501.369140625,-0.009285283274948597,1.3649896383285522,nan,1.0,0.0,0.254573612415427,nan,1.0
29,118784,2.3400678634643555,0.0,0.5954672694206238,463.0686340332031,0.041979461908340454,1.3340768814086914,nan,1.0,0.0,0.25446580775243083,nan,1.0
30,122880,2.314589262008667,0.0,0.5889278650283813,468.79827880859375,0.0004729274660348892,1.3374834060668945,nan,1.0,0.0,0.2544416253239372,nan,1.0
31,126976,2.315718650817871,0.0,0.5894070863723755,468.4092102050781,0.022110357880592346,1.3511598110198975,nan,1.0,0.0,0.2545244785191098,nan,1.0
32,131072,2.347810745239258,0.0,0.5979535579681396,465.73455810546875,0.03964711353182793,1.3404805660247803,nan,1.0,0.0,0.2546855866387137,nan,1.0
33,135168,2.286684036254883,0.0,0.582770586013794,498.601806640625,-0.04997088387608528,1.3651118278503418,nan,1.0,0.0,0.2548539950148211,nan,1.0
34,139264,2.3486690521240234,0.0,0.5987657904624939,467.3450927734375,0.019345924258232117,1.3788963556289673,nan,1.0,0.0,0.25493834094240714,nan,1.0
35,143360,2.405973196029663,0.0,0.6135252714157104,476.4351501464844,0.0671321451663971,1.3594989776611328,nan,1.0,0.0,0.25500090213765625,nan,1.0
36,147456,2.3798460960388184,0.0,0.6066991090774536,464.2885437011719,-0.015254933387041092,1.361171007156372,nan,1.0,0.0,0.25493210831886837,nan,1.0
37,151552,2.3267433643341064,0.0,0.5934507846832275,468.967529296875,0.004640423692762852,1.3776730298995972,nan,1.0,0.0,0.25505641369311527,nan,1.0
38,155648,2.351945400238037,0.0,0.599840521812439,472.3505859375,-0.030512522906064987,1.3711224794387817,nan,1.0,0.0,0.2550401305292023,nan,1.0
39,159744,2.3233132362365723,0.0,0.5920173525810242,449.272705078125,0.019003793597221375,1.3728049993515015,nan,1.0,0.0,0.25481597149601043,nan,1.0
40,163840,2.3625612258911133,0.0,0.6019392609596252,472.619140625,-0.001532774418592453,1.3668720722198486,nan,1.0,0.0,0.25478250336099767,nan,1.0
41,167936,2.3640811443328857,0.0,0.6020505428314209,500.5459899902344,-0.011593684554100037,1.3710334300994873,nan,1.0,0.0,0.25466575633258787,nan,1.0
42,172032,2.3771743774414062,0.0,0.6052545309066772,480.24163818359375,-0.03861827403306961,1.3621795177459717,nan,1.0,0.0,0.2546109363712121,nan,1.0
43,176128,2.3406920433044434,0.0,0.59581458568573,446.29876708984375,0.018167175352573395,1.3338103294372559,nan,1.0,0.0,0.2545463358454153,nan,1.0
44,180224,2.3020739555358887,0.0,0.586033046245575,447.72607421875,-0.0023382804356515408,1.3441486358642578,nan,1.0,0.0,0.25456742577475544,nan,1.0
45,184320,2.300924777984619,0.0,0.5859336853027344,470.5172119140625,0.007501332089304924,1.3029453754425049,nan,1.0,0.0,0.2546514114178296,nan,1.0
46,188416,2.276737689971924,0.0,0.5802974104881287,453.77362060546875,-0.03722711652517319,1.3266838788986206,nan,1.0,0.0,0.2548810858909901,nan,1.0
47,192512,2.3638827800750732,0.0,0.6027087569236755,469.4488525390625,-0.01985480822622776,1.3091051578521729,nan,1.0,0.0,0.2549655708978446,nan,1.0
48,196608,2.331604242324829,0.0,0.5944334864616394,453.5411376953125,0.043664827942848206,1.2530592679977417,nan,1.0,0.0,0.25494613410381306,nan,1.0
