metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,2.382132713307783e-09
coord_plus_nuisance_vs_idm_learned,0.006033432965642627
coord_plus_nuisance_vs_crtr_online_joint,1.0044449518797904e-06
coord_plus_nuisance_vs_idm_online_joint,7.633775611637361e-09
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,0.016948632219180526
idm_learned_vs_idm_online_joint,0.000658932950146518
crtr_online_joint_vs_idm_online_joint,0.3179707225262871
