metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,4.880496007331203e-11
coord_plus_nuisance_vs_idm_learned,1.6783524792174376e-08
coord_plus_nuisance_vs_crtr_online_joint,1.2431233820109355e-10
coord_plus_nuisance_vs_idm_online_joint,1.7763568394002505e-15
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,0.9587639944303159
crtr_learned_vs_idm_online_joint,6.714830846910047e-08
idm_learned_vs_crtr_online_joint,0.02756936786829356
idm_learned_vs_idm_online_joint,1.3167245072054357e-13
crtr_online_joint_vs_idm_online_joint,8.135122021646346e-05
