update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,2.0464091300964355,0.0,0.5166316032409668,468.2905578613281,0.03728710860013962,1.3779985904693604,nan,1.0,0.0,0.2524575889110565,nan,0.0
2,8192,1.9393956661224365,0.0,0.4896748960018158,432.80731201171875,-0.03433696925640106,1.375032663345337,nan,1.0,0.0,0.25248840267767075,nan,0.0
3,12288,2.0045394897460938,0.0,0.48725461959838867,448.03350830078125,-0.03244408965110779,1.374971866607666,nan,1.0,0.0,0.2430756091811225,nan,0.0
4,16384,2.0258755683898926,0.0,0.4822830557823181,436.404296875,-8.594803512096405e-05,1.3781834840774536,nan,1.0,0.0,0.23806154737188426,nan,0.0
5,20480,2.032696008682251,0.0,0.48149991035461426,425.018310546875,0.05370436608791351,1.3791260719299316,nan,1.0,0.0,0.23687748948993803,nan,0.0
6,24576,2.0540611743927,0.0,0.4828500747680664,474.83465576171875,-0.041384849697351456,1.355310320854187,nan,1.0,0.0,0.23507094955227556,nan,0.0
7,28672,2.0590481758117676,0.0,0.4825208783149719,475.96844482421875,-0.033738188445568085,1.3325393199920654,nan,1.0,0.0,0.23434171043556054,nan,0.0
8,32768,2.0457427501678467,0.0,0.47878125309944153,443.0636291503906,0.001368531957268715,1.302603006362915,nan,1.0,0.0,0.2340378615768719,nan,0.0
9,36864,2.0521552562713623,0.0,0.48123395442962646,441.6346435546875,-0.022710151970386505,1.2853330373764038,nan,1.0,0.0,0.2345017407442106,nan,0.0
10,40960,2.0403788089752197,0.0,0.4789900779724121,409.3793029785156,0.023350246250629425,1.310572862625122,nan,1.0,0.0,0.23475544387842906,nan,0.0
11,45056,2.033005714416504,0.0,0.4766976237297058,388.4246826171875,-0.005425130948424339,1.3361577987670898,nan,1.0,0.0,0.2344792197251153,nan,0.0
12,49152,2.0693788528442383,0.0,0.485093891620636,411.29443359375,0.015511466190218925,1.3338348865509033,nan,1.0,0.0,0.23441522380603036,nan,0.0
13,53248,2.0416059494018555,0.0,0.47705766558647156,408.662109375,-0.036116648465394974,1.3147833347320557,nan,1.0,0.0,0.23366785660565306,nan,0.0
