update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.7545270919799805,0.0,0.4990006387233734,348.1295471191406,-0.02087225206196308,1.3766717910766602,nan,1.0,0.0,0.28440746665000916,nan,0.0
2,8192,1.7036564350128174,0.0,0.4845917820930481,312.35955810546875,-0.01904572732746601,1.3655592203140259,nan,1.0,0.0,0.2844421796277699,nan,0.0
3,12288,1.7353529930114746,0.0,0.46644410490989685,329.9118957519531,-0.03504965826869011,1.3572907447814941,nan,1.0,0.0,0.26878916978081874,nan,0.0
4,16384,1.787550449371338,0.0,0.46974098682403564,348.9639587402344,-0.04957938566803932,1.3538453578948975,nan,1.0,0.0,0.26278473740847874,nan,0.0
5,20480,1.7938430309295654,0.0,0.46688807010650635,338.60723876953125,-0.00766817107796669,1.3418668508529663,nan,1.0,0.0,0.2602725177489581,nan,0.0
6,24576,1.823368787765503,0.0,0.4713462293148041,344.19427490234375,0.0474289134144783,1.3072823286056519,nan,1.0,0.0,0.25850294535213336,nan,0.0
7,28672,1.8179900646209717,0.0,0.46758389472961426,348.84320068359375,0.046687498688697815,1.2539458274841309,nan,1.0,0.0,0.25719828044135595,nan,0.0
8,32768,1.8726038932800293,0.0,0.4802156090736389,332.5794372558594,0.046679168939590454,1.3048124313354492,nan,1.0,0.0,0.25644268705939444,nan,0.0
9,36864,1.8912217617034912,0.0,0.48981571197509766,353.39141845703125,-0.046394232660532,1.3370113372802734,nan,1.0,0.0,0.25899434533796023,nan,0.0
10,40960,1.852799654006958,0.0,0.47965145111083984,305.4425964355469,-0.0017450591549277306,1.3531811237335205,nan,1.0,0.0,0.2588792739273373,nan,0.0
11,45056,1.8552324771881104,0.0,0.47848638892173767,308.85260009765625,0.02007538639008999,1.3373006582260132,nan,1.0,0.0,0.25791184126664507,nan,0.0
12,49152,1.8410835266113281,0.0,0.4734342694282532,317.05047607421875,-0.008480377495288849,1.3069207668304443,nan,1.0,0.0,0.2571498017517485,nan,0.0
13,53248,1.850151538848877,0.0,0.474521279335022,331.3708190917969,-0.00508807972073555,1.2960522174835205,nan,1.0,0.0,0.25647700388428973,nan,0.0
14,57344,1.8665632009506226,0.0,0.4775765836238861,337.154296875,0.024197086691856384,1.28891921043396,nan,1.0,0.0,0.2558587932708256,nan,0.0
15,61440,1.8891096115112305,0.0,0.48268675804138184,341.2156982421875,0.02646581642329693,1.3290270566940308,nan,1.0,0.0,0.25551018406661363,nan,0.0
16,65536,2.019463062286377,0.0,0.5150964260101318,381.28607177734375,-0.03536965325474739,1.3114010095596313,nan,1.0,0.0,0.25506603226599694,nan,0.0
17,69632,1.9095956087112427,0.0,0.48921912908554077,304.5503845214844,-0.016824468970298767,1.3231375217437744,nan,1.0,0.0,0.2561899188984832,nan,0.0
18,73728,1.8703255653381348,0.0,0.47833186388015747,296.220947265625,0.00524442084133625,1.3663067817687988,nan,1.0,0.0,0.2557479212595269,nan,0.0
19,77824,1.8775155544281006,0.0,0.4795142114162445,287.22540283203125,-0.006507415324449539,1.324628233909607,nan,1.0,0.0,0.2553982629113027,nan,0.0
20,81920,1.8663253784179688,0.0,0.47595906257629395,308.8306884765625,-0.0027308808639645576,1.2935386896133423,nan,1.0,0.0,0.25502468882383655,nan,0.0
21,86016,1.8817288875579834,0.0,0.4793323278427124,338.5127258300781,-0.04336225986480713,1.3270279169082642,nan,1.0,0.0,0.25472975454222313,nan,0.0
22,90112,1.8348462581634521,0.0,0.46672356128692627,308.1320495605469,-0.00048738718032836914,1.3700392246246338,nan,1.0,0.0,0.25436658976506993,nan,0.0
23,94208,1.939971685409546,0.0,0.4932296574115753,303.4166259765625,0.06862695515155792,1.3696036338806152,nan,1.0,0.0,0.25424579957162086,nan,0.0
24,98304,1.909643530845642,0.0,0.4869166612625122,296.6415100097656,0.009738551452755928,1.3593934774398804,nan,1.0,0.0,0.25497775209377094,nan,0.0
25,102400,1.885287880897522,0.0,0.4809795022010803,276.79730224609375,-0.0006801048293709755,1.3614223003387451,nan,1.0,0.0,0.2551225906566709,nan,0.0
26,106496,1.865572214126587,0.0,0.4754587709903717,278.39398193359375,-0.004767216742038727,1.3690526485443115,nan,1.0,0.0,0.2548594795236629,nan,0.0
27,110592,1.8559324741363525,0.0,0.47254085540771484,285.50164794921875,-0.031185980886220932,1.3799339532852173,nan,1.0,0.0,0.25461102749244197,nan,0.0
28,114688,1.824388861656189,0.0,0.4643206000328064,289.1234130859375,-0.029957178980112076,1.3862299919128418,nan,1.0,0.0,0.25450746555195647,nan,0.0
29,118784,1.8495709896087646,0.0,0.4705488681793213,280.47515869140625,0.014368773438036442,1.369899034500122,nan,1.0,0.0,0.2544097331744417,nan,0.0
30,122880,1.8384029865264893,0.0,0.4675944447517395,306.6761779785156,0.00850539468228817,1.3591856956481934,nan,1.0,0.0,0.25434819328943037,nan,0.0
31,126976,1.961937665939331,0.0,0.4987613558769226,306.4342956542969,0.00825958140194416,1.3478002548217773,nan,1.0,0.0,0.2542187620481047,nan,0.0
32,131072,1.8767123222351074,0.0,0.4781847298145294,269.77130126953125,0.02951205149292946,1.327498197555542,nan,1.0,0.0,0.2547991669138785,nan,0.0
33,135168,1.8901188373565674,0.0,0.4814262390136719,258.8712463378906,0.03701352700591087,1.3236312866210938,nan,1.0,0.0,0.2547068450271422,nan,0.0
34,139264,1.8611342906951904,0.0,0.4736979305744171,271.7029113769531,0.0018757604993879795,1.2901461124420166,nan,1.0,0.0,0.2545210642659287,nan,0.0
35,143360,1.891413688659668,0.0,0.4812137484550476,295.6251220703125,0.00907472986727953,1.288346767425537,nan,1.0,0.0,0.2544201659909859,nan,0.0
36,147456,1.865187168121338,0.0,0.47429579496383667,300.4473876953125,0.0019254768267273903,1.3018908500671387,nan,1.0,0.0,0.2542885949305476,nan,0.0
37,151552,1.8738059997558594,0.0,0.47629064321517944,301.97802734375,0.050580814480781555,1.2844586372375488,nan,1.0,0.0,0.2541835249014194,nan,0.0
38,155648,1.9237971305847168,0.0,0.4886915683746338,307.581298828125,-0.0039748880080878735,1.3047776222229004,nan,1.0,0.0,0.25402451901806783,nan,0.0
39,159744,1.950172781944275,0.0,0.4962176978588104,298.0120544433594,-0.03500726819038391,1.318105936050415,nan,1.0,0.0,0.2544480500032932,nan,0.0
40,163840,1.9030553102493286,0.0,0.4841574430465698,304.8414306640625,-0.058745019137859344,1.3154343366622925,nan,1.0,0.0,0.2544106084332986,nan,0.0
41,167936,1.8864737749099731,0.0,0.47975653409957886,283.19073486328125,-0.04000810533761978,1.3151956796646118,nan,1.0,0.0,0.2543139121804454,nan,0.0
42,172032,1.8682172298431396,0.0,0.474986732006073,296.4613037109375,0.009474344551563263,1.3284077644348145,nan,1.0,0.0,0.2542460068693596,nan,0.0
43,176128,1.881600022315979,0.0,0.47825950384140015,290.248779296875,0.05846787989139557,1.3333795070648193,nan,1.0,0.0,0.2541770403685403,nan,0.0
44,180224,1.869818925857544,0.0,0.4749875068664551,327.372314453125,-0.012512478977441788,1.333258867263794,nan,1.0,0.0,0.2540286116918519,nan,0.0
45,184320,1.8730862140655518,0.0,0.47560158371925354,343.8972473144531,-0.023715298622846603,1.3164846897125244,nan,1.0,0.0,0.2539133538224641,nan,0.0
46,188416,1.943953275680542,0.0,0.4934893250465393,325.8553466796875,-0.03645837679505348,1.2606847286224365,nan,1.0,0.0,0.25385863761778604,nan,0.0
47,192512,1.8660383224487305,0.0,0.4745050072669983,299.6175537109375,-0.011611375957727432,1.2503581047058105,nan,1.0,0.0,0.2542847130835743,nan,0.0
48,196608,1.8778252601623535,0.0,0.47766566276550293,294.7436218261719,-0.010471248999238014,1.1831064224243164,nan,1.0,0.0,0.25437171809632436,nan,0.0
