update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.6928942203521729,0.00390625,0.4925442337989807,302.0572509765625,-0.014005066826939583,1.372588038444519,5.545179843902588,1.0,0.0,0.2916209101676941,0.4375,0.0
2,8192,1.5928683280944824,0.00244140625,0.46385836601257324,245.22921752929688,0.027702737599611282,1.3349629640579224,5.545179843902588,1.0,0.0,0.29165649715722114,0.28125,0.0
3,12288,1.6007765531539917,0.001220703125,0.4451780319213867,249.72409057617188,0.011861609295010567,1.3299146890640259,5.54517936706543,1.0,0.0,0.2783135305091187,0.15625,0.0
4,16384,1.644808053970337,0.002685546875,0.4476824998855591,258.62158203125,-0.001918887603096664,1.354265570640564,5.545178413391113,1.0,0.0,0.2726243209681298,0.3125,0.0
5,20480,1.6749989986419678,0.001953125,0.4542001187801361,286.935791015625,-0.07140740752220154,1.346494197845459,5.545176982879639,1.0,0.0,0.271480991350339,0.21875,0.0
6,24576,1.6629304885864258,0.001220703125,0.45009925961494446,262.6505126953125,0.0034432499669492245,1.3439013957977295,5.5451765060424805,1.0,0.0,0.27086512466526724,0.15625,0.0
7,28672,1.6771262884140015,0.00244140625,0.45144563913345337,259.7403564453125,0.02728957124054432,1.3533071279525757,5.545176029205322,1.0,0.0,0.2695704939880667,0.25,0.0
8,32768,1.6813318729400635,0.00146484375,0.45239534974098206,260.4657287597656,-0.0028538666665554047,1.3610020875930786,5.54517126083374,1.0,0.0,0.2693042589062633,0.15625,0.0
9,36864,1.6890517473220825,0.00048828125,0.455019474029541,256.9398193359375,-0.022783691063523293,1.37350594997406,5.545167922973633,1.0,0.0,0.269471341246482,0.0625,0.0
10,40960,1.6888374090194702,0.0009765625,0.4541712999343872,250.64474487304688,0.0032561421394348145,1.3619977235794067,5.545165061950684,1.0,0.0,0.26908103840112385,0.125,0.0
11,45056,1.7039344310760498,0.001953125,0.4571569263935089,253.1617889404297,-0.014976546168327332,1.354824423789978,5.545146465301514,1.0,0.0,0.2686027904117194,0.25,0.0
12,49152,1.6786072254180908,0.001220703125,0.45037907361984253,239.99465942382812,0.01442093774676323,1.3274524211883545,5.545115947723389,1.0,0.0,0.26850043980097044,0.125,0.0
13,53248,1.669645071029663,0.000732421875,0.4473198652267456,223.813232421875,0.04398341849446297,1.3400976657867432,5.545086860656738,1.0,0.0,0.2680307228543416,0.09375,0.0
