metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,1.0
coord_only_goal_vs_crtr_learned_goal,1.0
coord_only_goal_vs_idm_learned_goal,0.9919298716067493
coord_only_goal_vs_crtr_online_joint_goal,0.9847632133882094
coord_only_goal_vs_idm_online_joint_goal,1.0
coord_plus_nuisance_goal_vs_crtr_learned_goal,9.97830329474425e-09
coord_plus_nuisance_goal_vs_idm_learned_goal,9.930877453712128e-09
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,9.908106557432461e-09
coord_plus_nuisance_goal_vs_idm_online_joint_goal,9.959235658385523e-09
crtr_learned_goal_vs_idm_learned_goal,0.9850798409895369
crtr_learned_goal_vs_crtr_online_joint_goal,0.9779138116525052
crtr_learned_goal_vs_idm_online_joint_goal,0.9940324935399774
idm_learned_goal_vs_crtr_online_joint_goal,0.9928333672170255
idm_learned_goal_vs_idm_online_joint_goal,1.0
crtr_online_joint_goal_vs_idm_online_joint_goal,1.0
