metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,0.9824913964836919
coord_only_goal_vs_crtr_learned_goal,1.0
coord_only_goal_vs_idm_learned_goal,1.0
coord_only_goal_vs_crtr_online_joint_goal,1.0
coord_only_goal_vs_idm_online_joint_goal,0.9942067926291376
coord_plus_nuisance_goal_vs_crtr_learned_goal,1.0
coord_plus_nuisance_goal_vs_idm_learned_goal,1.0
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,1.0
coord_plus_nuisance_goal_vs_idm_online_joint_goal,1.0
crtr_learned_goal_vs_idm_learned_goal,0.9708961961804126
crtr_learned_goal_vs_crtr_online_joint_goal,0.9814639190943852
crtr_learned_goal_vs_idm_online_joint_goal,0.9636258276700871
idm_learned_goal_vs_crtr_online_joint_goal,1.0
idm_learned_goal_vs_idm_online_joint_goal,0.9927235684080498
crtr_online_joint_goal_vs_idm_online_joint_goal,0.9821524708384315
