metric,value
coord_only_vs_coord_plus_nuisance,0.9385807947822844
coord_only_vs_crtr_learned,0.9428592518483303
coord_only_vs_idm_learned,0.9602415280865328
coord_only_vs_crtr_online_joint,0.9396137991281248
coord_only_vs_idm_online_joint,0.9301923896459141
coord_plus_nuisance_vs_crtr_learned,1.0
coord_plus_nuisance_vs_idm_learned,1.0
coord_plus_nuisance_vs_crtr_online_joint,1.0
coord_plus_nuisance_vs_idm_online_joint,0.9915816713175722
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,0.9967454763795836
crtr_learned_vs_idm_online_joint,0.9872924811875956
idm_learned_vs_crtr_online_joint,0.9793331663416709
idm_learned_vs_idm_online_joint,0.9698846699443815
crtr_online_joint_vs_idm_online_joint,0.9905467057339661
