update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.7384001016616821,0.000244140625,0.48461294174194336,324.92572021484375,0.01575525663793087,1.3793189525604248,nan,0.95,0.05,0.26486822962760925,0.03125,0.0
2,8192,1.5871747732162476,0.000732421875,0.46565037965774536,245.79141235351562,0.03818602114915848,1.3762128353118896,nan,0.9025,0.0975,0.26490057173027354,0.09375,0.0
3,12288,1.5633156299591064,0.000244140625,0.45670777559280396,238.3685302734375,-0.008616174571216106,1.3780832290649414,nan,0.857375,0.142625,0.25051307062497447,0.03125,0.0
4,16384,1.6028649806976318,0.0,0.45383381843566895,250.6610107421875,0.017431439831852913,1.3785114288330078,nan,0.86450625,0.13549375,0.24477555811455456,0.0,0.0
5,20480,1.5280077457427979,0.00048828125,0.4506950080394745,225.14511108398438,0.04436556249856949,1.382699966430664,nan,0.8212809375000001,0.17871906249999997,0.24231916937682535,0.0625,0.0
6,24576,1.4594926834106445,0.000244140625,0.44937992095947266,206.292236328125,0.027918698266148567,1.368209958076477,nan,0.780216890625,0.21978310937499995,0.2402701216616869,0.03125,0.0
7,28672,1.3895411491394043,0.000732421875,0.4494200348854065,199.73403930664062,-0.0060045793652534485,1.3751296997070312,nan,0.7412060460937501,0.25879395390624993,0.23985507392745278,0.09375,0.0
8,32768,1.3688616752624512,0.000244140625,0.46649760007858276,170.0623321533203,0.02152840420603752,1.380621075630188,nan,0.7041457437890626,0.2958542562109374,0.24001028517205242,0.03125,0.0
9,36864,1.29545259475708,0.000244140625,0.4688667058944702,140.79840087890625,0.002020355314016342,1.3754537105560303,nan,0.6689384565996095,0.3310615434003905,0.2421563378823866,0.03125,0.0
10,40960,1.3070025444030762,0.0,0.4622311592102051,142.54608154296875,-0.01629912480711937,1.3799877166748047,nan,0.685491533769629,0.314508466230371,0.24242919609982505,0.0,0.0
11,45056,1.232663631439209,0.00048828125,0.45743873715400696,122.21043395996094,-0.01115022785961628,1.3805780410766602,nan,0.6512169570811476,0.3487830429188524,0.24176093589922598,0.0625,0.0
12,49152,1.2464377880096436,0.0,0.44983989000320435,130.90576171875,-0.011353345587849617,1.3733162879943848,nan,0.6686561092270902,0.33134389077290977,0.24131825946421895,0.0,0.0
13,53248,1.2899560928344727,0.0,0.4520314037799835,138.02227783203125,0.036639563739299774,1.3663431406021118,nan,0.6852233037657358,0.31477669623426424,0.24011857103791734,0.0,0.0
14,57344,1.311084508895874,0.0,0.44810134172439575,149.908447265625,0.04465537518262863,1.3690361976623535,nan,0.7009621385774489,0.299037861422551,0.23957421925790187,0.0,0.0
15,61440,1.2423968315124512,0.000244140625,0.44609007239341736,147.1031494140625,-0.024563904851675034,1.3694944381713867,nan,0.6659140316485765,0.33408596835142346,0.23914742075897458,0.03125,0.0
16,65536,1.2579352855682373,0.00048828125,0.4751386046409607,121.67892456054688,-0.005972450599074364,1.3613982200622559,nan,0.6326183300661478,0.36738166993385224,0.23904099784646288,0.0625,0.0
17,69632,1.153357982635498,0.000244140625,0.46123164892196655,98.79443359375,0.004822706803679466,1.3334077596664429,nan,0.6009874135628404,0.3990125864371596,0.24038773505282016,0.03125,0.0
18,73728,1.0771470069885254,0.000244140625,0.453457236289978,86.98700714111328,0.05730815231800079,1.3637856245040894,nan,0.5709380428846984,0.4290619571153016,0.24040793958545142,0.03125,0.0
19,77824,1.0250771045684814,0.00048828125,0.4537152647972107,87.601806640625,-0.013425026088953018,1.3802998065948486,nan,0.5423911407404636,0.4576088592595365,0.2401852626727987,0.03125,0.0
20,81920,0.9698523283004761,0.00048828125,0.45150697231292725,75.12254333496094,0.04254961386322975,1.376190185546875,nan,0.5152715837034404,0.4847284162965596,0.24000139888498642,0.0625,0.0
21,86016,0.9299893975257874,0.000732421875,0.45493343472480774,80.54145812988281,-0.05707602575421333,1.3758232593536377,nan,0.48950800451826837,0.5104919954817316,0.2396469047950779,0.09375,0.0
22,90112,0.8754913210868835,0.000244140625,0.4507313370704651,75.11516571044922,0.015447571873664856,1.3756766319274902,nan,0.46503260429235493,0.5349673957076451,0.23948064854476586,0.03125,0.0
23,94208,0.8577592372894287,0.0009765625,0.46409451961517334,72.1177978515625,-0.03314805030822754,1.3822011947631836,nan,0.4417809740777372,0.5582190259222628,0.23930002059176184,0.09375,0.0
24,98304,0.8174529671669006,0.000244140625,0.46655702590942383,66.90319061279297,-0.01669430360198021,1.3726458549499512,nan,0.41969192537385036,0.5803080746261496,0.2396085470895822,0.03125,0.0
25,102400,0.8720847368240356,0.0,0.4659190773963928,73.186767578125,-0.018556492403149605,1.3471118211746216,nan,0.44870732910515787,0.5512926708948421,0.23972592346849625,0.0,0.0
26,106496,0.8059520125389099,0.000244140625,0.4532826244831085,69.8219985961914,0.007198701612651348,1.2870569229125977,nan,0.42627196264989997,0.5737280373501,0.23981603672764756,0.03125,0.0
27,110592,0.8517919778823853,0.0,0.4486736059188843,70.99169158935547,-0.0203899834305048,1.2746758460998535,nan,0.454958364517405,0.545041635482595,0.2396451210424384,0.0,0.0
28,114688,0.8893096446990967,0.0,0.44171416759490967,79.0813980102539,-0.062147971242666245,1.3114619255065918,nan,0.48221044629153476,0.5177895537084652,0.23951071612791314,0.0,0.0
29,118784,0.951480507850647,0.0,0.4484351873397827,91.76020812988281,-0.0008978405967354774,1.324176549911499,nan,0.508099923976958,0.491900076023042,0.23946875557977873,0.0,0.0
30,122880,0.9995418787002563,0.0,0.44936490058898926,110.7359619140625,0.04626387357711792,1.3296616077423096,nan,0.5326949277781101,0.4673050722218899,0.2394841199721504,0.0,0.0
31,126976,1.0850543975830078,0.0,0.4671288728713989,107.16630554199219,-0.03104916214942932,1.340378761291504,nan,0.5560601813892047,0.44393981861079534,0.23939052198128724,0.0,0.0
32,131072,1.0275468826293945,0.000244140625,0.466342031955719,99.8006591796875,0.006422445178031921,1.3518787622451782,nan,0.5282571723197445,0.47174282768025555,0.23980133968594655,0.03125,0.0
33,135168,0.9707976579666138,0.000732421875,0.4636108875274658,96.99396514892578,0.0018507642671465874,1.3358986377716064,nan,0.5018443137037573,0.49815568629624274,0.23984003029031256,0.0625,0.0
34,139264,1.0109598636627197,0.0,0.46012622117996216,112.51901245117188,0.05406815558671951,1.2739766836166382,nan,0.5267520980185694,0.4732479019814306,0.23974492034228628,0.0,0.0
35,143360,1.0416014194488525,0.0,0.45347627997398376,112.54859924316406,0.014489695429801941,1.1902499198913574,nan,0.5504144931176409,0.44958550688235904,0.2396309301348482,0.0,0.0
36,147456,1.0720467567443848,0.0,0.4482739269733429,121.92947387695312,0.004756128881126642,1.188816785812378,nan,0.572893768461759,0.42710623153824107,0.23955421722374765,0.0,0.0
37,151552,1.1252765655517578,0.0,0.4537327289581299,124.93595886230469,-0.040213216096162796,1.2106462717056274,nan,0.594249080038671,0.405750919961329,0.23961239422789044,0.0,0.0
38,155648,1.1745131015777588,0.0,0.45809727907180786,138.0373077392578,0.04739189147949219,1.22458815574646,nan,0.6145366260367375,0.3854633739632625,0.2396887221236268,0.0,0.0
39,159744,1.1234092712402344,0.000244140625,0.4616849422454834,108.28181457519531,-0.005937542766332626,1.2517585754394531,nan,0.5838097947349006,0.41619020526509937,0.23997915273538178,0.03125,0.0
40,163840,1.1604328155517578,0.0,0.46098315715789795,123.83817291259766,0.08799085021018982,1.2927972078323364,nan,0.6046193049981556,0.39538069500184436,0.2401856564993623,0.0,0.0
41,167936,1.1940205097198486,0.0,0.45951196551322937,125.53091430664062,-0.027925027534365654,1.3078603744506836,nan,0.6243883397482479,0.37561166025175213,0.24029228337675407,0.0,0.0
42,172032,1.216193437576294,0.0,0.45439815521240234,135.87127685546875,0.008339175954461098,1.3234812021255493,nan,0.6431689227608355,0.3568310772391645,0.2403028617648603,0.0,0.0
43,176128,1.2460929155349731,0.0,0.4527764916419983,155.8435516357422,0.015133026987314224,1.3331236839294434,nan,0.6610104766227938,0.3389895233772063,0.24018272211345554,0.0,0.0
44,180224,1.2836589813232422,0.0,0.4544978141784668,175.06573486328125,0.05314655974507332,1.331068515777588,nan,0.677959952791654,0.32204004720834595,0.2400414234004711,0.0,0.0
45,184320,1.2280393838882446,0.00048828125,0.4573625922203064,160.20718383789062,-0.001467476598918438,1.3486921787261963,nan,0.6440619551520714,0.3559380448479286,0.2399654654389563,0.0625,0.0
46,188416,1.3004586696624756,0.0,0.47153234481811523,160.97500610351562,-0.018734315410256386,1.3521990776062012,nan,0.6618588573944678,0.3381411426055322,0.23998293083691905,0.0,0.0
47,192512,1.2181684970855713,0.000244140625,0.4651632308959961,163.39230346679688,-0.004846974276006222,1.35152006149292,nan,0.6287659145247444,0.37123408547525555,0.24014529464883222,0.03125,0.0
48,196608,1.150724172592163,0.000244140625,0.4624514579772949,142.98101806640625,-0.03298541530966759,1.3378281593322754,nan,0.5973276187985073,0.40267238120149274,0.24010412635991976,0.03125,0.0
