rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0,0.0,0.0,0.004347851034253836,0.0,0.99,0.0,0.0,1,4096,40.96,99.0,0.3125,0.05
0.0,0.0,0.0,0.0022991846781224012,0.0,1.0,0.0,0.0,5,20480,204.8,100.0,0.0625,0.2262190625
0.0,0.0,0.0,0.001962370239198208,0.0,1.0,0.0,0.0,10,40960,409.6,100.0,0.0,0.303763060761621
0.0,0.0,0.0,0.0016654853243380785,0.0,1.0,0.0,0.0,15,61440,614.4,100.0,0.09375,0.41614012843399645
0.0,0.0,0.0,0.0014990124618634582,0.0,1.0,0.0,0.0,20,81920,819.2,100.0,0.03125,0.500720361211028
0.0,0.0,0.0,0.0013762626331299543,0.0,1.0,0.0,0.0,25,102400,1024.0,100.0,0.03125,0.613666933023208
0.0,0.0,0.0,0.0012328093871474266,0.0,1.0,0.0,0.0,30,122880,1228.8,100.0,0.0625,0.7010628372474476
0.0,0.0,0.0,0.001056492910720408,0.0,1.0,0.0,0.0,35,143360,1433.6,100.0,0.1875,0.76868812195174
0.0,0.0,0.0,0.0008604591712355614,0.0,1.0,0.0,0.0,40,163840,1638.4,100.0,0.21875,0.8210152781489317
0.0,0.0,0.0,0.0008173362002708018,0.0,1.0,0.0,0.0,45,184320,1843.2,100.0,0.09375,0.8615050341279036
0.0,0.0,0.0,0.0007607218576595187,0.0,1.0,0.0,0.0,48,196608,1966.08,100.0,0.09375,0.8361328786354113
