metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,7.964988668618389e-10
coord_plus_nuisance_vs_idm_learned,0.025060759818740896
coord_plus_nuisance_vs_crtr_online_joint,1.1859446757966907e-10
coord_plus_nuisance_vs_idm_online_joint,0.0024996946097408657
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,0.019989976227960726
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,4.78892481226012e-10
idm_learned_vs_idm_online_joint,0.33658050505856796
crtr_online_joint_vs_idm_online_joint,1.0
