update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.6969037055969238,0.0,0.4952297508716583,308.0452575683594,-0.04179313778877258,1.3779258728027344,1.440503716468811,1.0,0.0,0.2918431758880615,nan,1.0
2,8192,1.583975076675415,0.0,0.46232882142066956,250.8317108154297,-0.0034215785562992096,1.379365086555481,1.4401766061782837,1.0,0.0,0.2918788423619492,nan,1.0
3,12288,1.64910888671875,0.0,0.45983293652534485,261.052490234375,0.009838182479143143,1.3849031925201416,1.4243305921554565,1.0,0.0,0.278837233429758,nan,1.0
4,16384,1.6813454627990723,0.0,0.46041518449783325,277.0650634765625,-0.020990852266550064,1.3757226467132568,1.4351071119308472,1.0,0.0,0.2738373564395366,nan,1.0
5,20480,1.6667213439941406,0.0,0.4530211389064789,259.7677001953125,0.005592384375631809,1.3592280149459839,1.3969441652297974,1.0,0.0,0.2718037712104866,nan,1.0
6,24576,1.6591720581054688,0.0,0.4475775361061096,267.407470703125,-0.016769250854849815,1.3814761638641357,1.3999119997024536,1.0,0.0,0.26975955638192256,nan,1.0
7,28672,1.6949002742767334,0.0,0.45457422733306885,285.51214599609375,-0.03312508761882782,1.3634623289108276,1.3882898092269897,1.0,0.0,0.2682011664938145,nan,1.0
8,32768,1.6974003314971924,0.0,0.45389804244041443,252.42288208007812,0.030533190816640854,1.3644474744796753,1.3932441473007202,1.0,0.0,0.26740778666023024,nan,1.0
9,36864,1.687429428100586,0.0,0.45096132159233093,260.21563720703125,0.026041001081466675,1.3456714153289795,1.3965457677841187,1.0,0.0,0.26724752613909863,nan,1.0
10,40960,1.684455156326294,0.0,0.44894206523895264,264.736328125,-0.04281711205840111,1.36324143409729,1.3852107524871826,1.0,0.0,0.26652061290684215,nan,1.0
11,45056,1.7160708904266357,0.0,0.45718133449554443,251.97720336914062,0.026959646493196487,1.3463690280914307,1.3946655988693237,1.0,0.0,0.2664116788118544,nan,1.0
12,49152,1.6886987686157227,0.0,0.4501112103462219,241.61410522460938,0.0006338264793157578,1.3461742401123047,1.3984521627426147,1.0,0.0,0.2665432002511233,nan,1.0
13,53248,1.6782569885253906,0.0,0.44680237770080566,229.1705322265625,0.020345965400338173,1.35006582736969,1.3857444524765015,1.0,0.0,0.26623002941637447,nan,1.0
14,57344,1.6736146211624146,0.0,0.4447985589504242,239.25921630859375,0.030390119180083275,1.3678505420684814,1.378790020942688,1.0,0.0,0.26577118166960484,nan,1.0
15,61440,1.7114524841308594,0.0,0.45447009801864624,255.7929229736328,0.0010205544531345367,1.363253116607666,1.3815034627914429,1.0,0.0,0.265546453101232,nan,1.0
16,65536,1.7103462219238281,0.0,0.4543355703353882,240.60009765625,-0.00046947039663791656,1.3305562734603882,1.3918263912200928,1.0,0.0,0.265639554410379,nan,1.0
17,69632,1.6982614994049072,0.0,0.4510376751422882,229.79495239257812,0.056107766926288605,1.3588762283325195,1.384103775024414,1.0,0.0,0.26558790648996966,nan,1.0
18,73728,1.6927201747894287,0.0,0.4499325752258301,237.38990783691406,0.046026561409235,1.342772364616394,1.3770595788955688,1.0,0.0,0.2658045108316148,nan,1.0
19,77824,1.7119030952453613,0.0,0.4545031189918518,242.596435546875,-0.03258705511689186,1.3508894443511963,1.371734857559204,1.0,0.0,0.26549580674909856,nan,1.0
20,81920,1.7091758251190186,0.0,0.45414769649505615,232.5786895751953,0.016207993030548096,1.3516017198562622,1.404967188835144,1.0,0.0,0.2657115055854971,nan,1.0
21,86016,1.6761647462844849,0.0,0.44532591104507446,250.23196411132812,0.013575748540461063,1.33487868309021,1.372848391532898,1.0,0.0,0.2656814591204997,nan,1.0
22,90112,1.6948602199554443,0.0,0.44995272159576416,246.1220245361328,0.004790443927049637,1.3290739059448242,1.3746066093444824,1.0,0.0,0.26548071951144425,nan,1.0
23,94208,1.7005493640899658,0.0,0.4515523910522461,228.54757690429688,0.042299769818782806,1.3356266021728516,1.3731523752212524,1.0,0.0,0.26553319962184035,nan,1.0
24,98304,1.6855080127716064,0.0,0.44806501269340515,229.3081817626953,-0.013108283281326294,1.3662631511688232,1.3872568607330322,1.0,0.0,0.2658338166149873,nan,1.0
25,102400,1.7018423080444336,0.0,0.45212018489837646,241.55648803710938,-0.015077090822160244,1.369710922241211,1.3897062540054321,1.0,0.0,0.2656651414536892,nan,1.0
26,106496,1.7107946872711182,0.0,0.4542314410209656,239.39028930664062,0.016948051750659943,1.364380121231079,1.3721108436584473,1.0,0.0,0.26550903897153244,nan,1.0
27,110592,1.7051424980163574,0.0,0.4525969624519348,250.6636962890625,-0.000866609625518322,1.369265079498291,1.3780049085617065,1.0,0.0,0.2654305910350284,nan,1.0
28,114688,1.7090938091278076,0.0,0.4535110294818878,241.3109588623047,0.03582356870174408,1.361280918121338,1.373773455619812,1.0,0.0,0.2653517422650245,nan,1.0
29,118784,1.7125415802001953,0.0,0.45429760217666626,242.21871948242188,0.0034620934166014194,1.3448827266693115,1.3964054584503174,1.0,0.0,0.2652768255115117,nan,1.0
30,122880,1.7318233251571655,0.0,0.4594665765762329,225.83033752441406,0.06127893179655075,1.3733389377593994,1.3779362440109253,1.0,0.0,0.2653079939944171,nan,1.0
31,126976,1.738438367843628,0.0,0.4617685079574585,257.0753173828125,-0.05975048989057541,1.3693256378173828,1.377567172050476,1.0,0.0,0.2656225991574231,nan,1.0
32,131072,1.690001368522644,0.0,0.44899576902389526,221.00169372558594,0.00022544525563716888,1.346184253692627,1.3895646333694458,1.0,0.0,0.26567773810319617,nan,1.0
33,135168,1.6779649257659912,0.0,0.44531571865081787,248.74530029296875,5.457550287246704e-05,1.356444239616394,1.3723207712173462,1.0,0.0,0.2653903906752683,nan,1.0
34,139264,1.6838048696517944,0.0,0.4467443823814392,246.996337890625,-0.0008687563240528107,1.3526818752288818,1.3726887702941895,1.0,0.0,0.26531837034166283,nan,1.0
35,143360,1.7064414024353027,0.0,0.4525578022003174,230.84336853027344,0.018857818096876144,1.3646605014801025,1.3731403350830078,1.0,0.0,0.2652056063744223,nan,1.0
36,147456,1.7105159759521484,0.0,0.45370709896087646,244.94442749023438,-0.017160730436444283,1.3507421016693115,1.383109450340271,1.0,0.0,0.2652457529141638,nan,1.0
