update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.7429133653640747,0.000244140625,0.49853795766830444,333.64825439453125,0.013501637615263462,1.3770835399627686,nan,1.0,0.0,0.28607720136642456,0.03125,0.0
2,8192,1.6753004789352417,0.00048828125,0.479184091091156,295.41229248046875,-0.005861904472112656,1.36684250831604,nan,1.0,0.0,0.2861121420004737,0.0625,0.0
3,12288,1.7508869171142578,0.0,0.4748278260231018,315.742431640625,-0.0028700586408376694,1.3663737773895264,nan,1.0,0.0,0.27119274428003093,0.0,0.0
4,16384,1.7601381540298462,0.00048828125,0.46423834562301636,309.62945556640625,0.005996440537273884,1.378589391708374,nan,1.0,0.0,0.26382428192785584,0.0625,0.0
5,20480,1.7962381839752197,0.000244140625,0.4685979187488556,350.1256103515625,-0.0410018190741539,1.380749225616455,nan,1.0,0.0,0.2609128351223124,0.03125,0.0
6,24576,1.7899292707443237,0.000244140625,0.4627898335456848,328.6597900390625,0.010610261932015419,1.3754010200500488,nan,1.0,0.0,0.2585872966935086,0.03125,0.0
7,28672,1.797536849975586,0.0,0.4627153277397156,342.23956298828125,0.03133638948202133,1.3775560855865479,nan,1.0,0.0,0.25741631607713455,0.0,0.0
8,32768,1.8736342191696167,0.0,0.4806042015552521,327.0,0.047785211354494095,1.3641437292099,nan,1.0,0.0,0.25650911029891665,0.0,0.0
9,36864,1.8933980464935303,0.0,0.49067333340644836,334.9208679199219,-0.028664009645581245,1.353249192237854,nan,1.0,0.0,0.259149580030456,0.0,0.0
10,40960,1.8514381647109985,0.00048828125,0.47919124364852905,319.61285400390625,-0.0231250561773777,1.348520040512085,nan,1.0,0.0,0.2588893689840631,0.0625,0.0
11,45056,1.827038288116455,0.00048828125,0.4712936282157898,293.00714111328125,0.011495406739413738,1.3438831567764282,nan,1.0,0.0,0.2580239130129653,0.0625,0.0
12,49152,1.8250333070755005,0.00048828125,0.4696648418903351,302.25262451171875,-0.011837972328066826,1.3454490900039673,nan,1.0,0.0,0.25741477287217934,0.0625,0.0
13,53248,1.8113889694213867,0.000732421875,0.4655981659889221,297.11895751953125,0.01600370928645134,1.3127959966659546,nan,1.0,0.0,0.25714328004164677,0.09375,0.0
14,57344,1.8041688203811646,0.001220703125,0.4630781412124634,318.8337097167969,-0.045630212873220444,1.3198225498199463,nan,1.0,0.0,0.2568449658188535,0.15625,0.0
15,61440,1.8152556419372559,0.0,0.4668008089065552,318.5744934082031,0.007413901388645172,1.2784497737884521,nan,1.0,0.0,0.25715427454783873,0.0,0.0
16,65536,1.9015613794326782,0.0009765625,0.48876550793647766,296.8594970703125,0.053727906197309494,1.2548437118530273,nan,1.0,0.0,0.2571658576851619,0.125,0.0
17,69632,1.8270158767700195,0.001220703125,0.471444308757782,275.84674072265625,0.008302349597215652,1.3118449449539185,nan,1.0,0.0,0.25821314493965675,0.09375,0.0
18,73728,1.8314872980117798,0.001220703125,0.47326168417930603,278.261474609375,-0.04223085194826126,1.3398665189743042,nan,1.0,0.0,0.25857527846099154,0.15625,0.0
19,77824,1.8167226314544678,0.000244140625,0.4697107672691345,274.1049499511719,0.025024397298693657,1.338879108428955,nan,1.0,0.0,0.258583200855465,0.03125,0.0
20,81920,1.8161357641220093,0.000732421875,0.46894562244415283,281.55609130859375,-0.0031113801524043083,1.3293495178222656,nan,1.0,0.0,0.25831484793267534,0.09375,0.0
21,86016,1.8284471035003662,0.000732421875,0.4719131588935852,295.8404541015625,-0.026120591908693314,1.3529002666473389,nan,1.0,0.0,0.25819846627278326,0.09375,0.0
22,90112,1.8436170816421509,0.000732421875,0.4756149351596832,296.12652587890625,0.0030777379870414734,1.3690824508666992,nan,1.0,0.0,0.2580817675630039,0.09375,0.0
23,94208,1.84232497215271,0.000244140625,0.47546979784965515,268.7149963378906,0.01557517983019352,1.3853541612625122,nan,1.0,0.0,0.25811558066830387,0.03125,0.0
24,98304,1.8267223834991455,0.000244140625,0.471601665019989,287.98077392578125,-0.0036568427458405495,1.3771687746047974,nan,1.0,0.0,0.2582027252889811,0.03125,0.0
