metric,value
coord_only_vs_coord_plus_nuisance,0.9744235502117107
coord_only_vs_crtr_learned,0.9744783959660275
coord_only_vs_idm_learned,0.9700687323841533
coord_only_vs_crtr_online_joint,0.947797862208958
coord_only_vs_idm_online_joint,0.9610849370433807
coord_plus_nuisance_vs_crtr_learned,1.0
coord_plus_nuisance_vs_idm_learned,0.9956416311569776
coord_plus_nuisance_vs_crtr_online_joint,0.973343474847967
coord_plus_nuisance_vs_idm_online_joint,0.9866497760245789
crtr_learned_vs_idm_learned,0.9955870946430061
crtr_learned_vs_crtr_online_joint,0.9732892213265327
crtr_learned_vs_idm_online_joint,0.9865953473730804
idm_learned_vs_crtr_online_joint,0.9777002878720942
idm_learned_vs_idm_online_joint,0.9910080197531261
crtr_online_joint_vs_idm_online_joint,1.0
