update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.5832159519195557,0.000244140625,0.4829678237438202,272.01641845703125,0.006666393019258976,1.3755909204483032,1.382860779762268,0.95,0.05,0.28984683752059937,0.03125,0.0
2,8192,1.508087396621704,0.0,0.45896872878074646,238.021240234375,-0.015041325241327286,1.3633861541748047,1.3804471492767334,0.9525,0.0475,0.28988222641720185,0.0,0.0
3,12288,1.4808168411254883,0.000244140625,0.4493476450443268,206.18421936035156,0.0627998411655426,1.336560845375061,1.4050068855285645,0.904875,0.095125,0.27462579243219815,0.03125,0.0
4,16384,1.4938349723815918,0.0,0.4410514235496521,227.3031005859375,-0.009086525067687035,1.3314779996871948,1.3864846229553223,0.90963125,0.09036875,0.268566566668275,0.0,0.0
5,20480,1.4350671768188477,0.000244140625,0.44146907329559326,210.4993438720703,-0.016546856611967087,1.3631787300109863,1.3939138650894165,0.8641496875,0.13585031250000001,0.26588319594671767,0.03125,0.0
6,24576,1.3719120025634766,0.000244140625,0.442391574382782,188.29898071289062,0.008897986263036728,1.377710223197937,1.38992440700531,0.820942203125,0.179057796875,0.26477105691659725,0.03125,0.0
7,28672,1.3871701955795288,0.0,0.4408508539199829,210.56829833984375,-0.03726230189204216,1.380729079246521,1.3757771253585815,0.82989509296875,0.17010490703125,0.2637455549239354,0.0,0.0
8,32768,1.394909143447876,0.000244140625,0.4645976424217224,181.94326782226562,-0.02796781063079834,1.3699092864990234,1.389623999595642,0.7884003383203124,0.21159966167968752,0.2626358099257006,0.03125,0.0
9,36864,1.3144099712371826,0.00048828125,0.4652804136276245,139.7796630859375,-0.0061310892924666405,1.3632724285125732,1.36844801902771,0.7489803214042969,0.2510196785957031,0.26522577206762576,0.0625,0.0
10,40960,1.2986235618591309,0.0,0.4529110789299011,127.14727783203125,0.04640082269906998,1.376389503479004,1.38724946975708,0.7615313053340821,0.23846869466591794,0.26559350658240183,0.0,0.0
11,45056,1.2347196340560913,0.000244140625,0.4519246518611908,120.4156265258789,0.004182681441307068,1.3769782781600952,1.3889535665512085,0.723454740067378,0.276545259932622,0.2648468815641902,0.03125,0.0
12,49152,1.2451527118682861,0.0,0.4458999037742615,136.28683471679688,-0.02707766368985176,1.3726508617401123,1.4015223979949951,0.737282003064009,0.2627179969359909,0.26402700971321547,0.0,0.0
13,53248,1.1807827949523926,0.000244140625,0.44356125593185425,113.9958267211914,0.00659178476780653,1.3590080738067627,1.3820950984954834,0.7004179029108086,0.29958209708919137,0.2631665090528786,0.03125,0.0
14,57344,1.1985208988189697,0.0,0.4400011897087097,130.6109619140625,-0.037525806576013565,1.3405951261520386,1.3763490915298462,0.7153970077652683,0.2846029922347318,0.2626366783995808,0.0,0.0
15,61440,1.1326904296875,0.000244140625,0.43707025051116943,114.71007537841797,0.017801471054553986,1.3503124713897705,1.3789043426513672,0.6796271573770047,0.3203728426229952,0.2623036678183993,0.03125,0.0
16,65536,1.2543416023254395,0.0,0.47261518239974976,119.13520812988281,0.011103760451078415,1.351565957069397,1.3645731210708618,0.6956457995081546,0.3043542004918454,0.26210781981488757,0.0,0.0
17,69632,1.1424057483673096,0.000244140625,0.4558242857456207,95.04320526123047,0.0012659907806664705,1.3727493286132812,1.3759658336639404,0.6608635095327469,0.33913649046725314,0.26374344795909443,0.03125,0.0
18,73728,1.0810861587524414,0.00048828125,0.45393556356430054,83.42549133300781,-0.0052493903785943985,1.3739769458770752,1.3936734199523926,0.6278203340561095,0.37217966594389046,0.2637335939571801,0.0625,0.0
19,77824,1.0993709564208984,0.0,0.4480684995651245,96.70965576171875,0.008781645447015762,1.3803764581680298,1.3902958631515503,0.646429317353304,0.35357068264669594,0.2634639493919684,0.0,0.0
20,81920,1.0383268594741821,0.000244140625,0.4446229338645935,86.94343566894531,0.011287656612694263,1.3505936861038208,1.3912221193313599,0.6141078514856388,0.3858921485143611,0.2630295884230101,0.03125,0.0
21,86016,1.057689905166626,0.0,0.4384981095790863,99.23478698730469,-0.028205469250679016,1.3279685974121094,1.3802337646484375,0.6334024589113569,0.366597541088643,0.2625965809404319,0.0,0.0
22,90112,1.0046226978302002,0.000244140625,0.437948077917099,94.3191146850586,-0.0022320589050650597,1.3610124588012695,1.3901879787445068,0.6017323359657891,0.3982676640342108,0.2623786529340182,0.03125,0.0
23,94208,1.0014445781707764,0.000244140625,0.4594440460205078,92.32771301269531,0.00940399244427681,1.3655881881713867,1.3882113695144653,0.5716457191674997,0.42835428083250027,0.2623243667329644,0.03125,0.0
24,98304,1.0422554016113281,0.0,0.46235811710357666,88.49258422851562,-0.013477636501193047,1.3765383958816528,1.3735464811325073,0.5930634332091247,0.40693656679087525,0.26309068735924507,0.0,0.0
25,102400,1.0614993572235107,0.0,0.45565348863601685,93.47221374511719,-0.004001155029982328,1.3818118572235107,1.3956345319747925,0.6134102615486685,0.3865897384513315,0.2633091870423292,0.0,0.0
26,106496,0.9999775290489197,0.000244140625,0.4514657258987427,90.28495788574219,0.022589532658457756,1.3717855215072632,1.382236361503601,0.5827397484712351,0.4172602515287649,0.2631571845712401,0.03125,0.0
27,110592,1.023836374282837,0.0,0.4459564983844757,89.37932586669922,-0.0018110224045813084,1.358476996421814,1.3721199035644531,0.6036027610476733,0.39639723895232665,0.26291370638098516,0.0,0.0
28,114688,1.0464756488800049,0.0,0.44085580110549927,99.62498474121094,-0.01942170038819313,1.34043550491333,1.3784511089324951,0.6234226229952897,0.3765773770047103,0.2626334062840268,0.0,0.0
29,118784,0.9962859153747559,0.00048828125,0.4412229061126709,108.17565155029297,0.02527216449379921,1.3409168720245361,1.3737576007843018,0.5922514918455253,0.4077485081544747,0.2624176956397289,0.0625,0.0
30,122880,1.024109125137329,0.0,0.4385872781276703,116.74239349365234,-0.02016790211200714,1.3450506925582886,1.3709700107574463,0.612638917253249,0.38736108274675096,0.2623701147860568,0.0,0.0
31,126976,1.1147849559783936,0.0,0.4626416265964508,112.67103576660156,-0.009246503002941608,1.2874847650527954,1.385596752166748,0.6320069713905866,0.3679930286094134,0.26228618311917257,0.0,0.0
32,131072,1.1029266119003296,0.0,0.4459131360054016,114.77986907958984,-0.0007686452008783817,1.3236645460128784,1.3747563362121582,0.6504066228210572,0.34959337717894273,0.2629593456598414,0.0,0.0
33,135168,1.050225019454956,0.000244140625,0.4470643103122711,109.25823211669922,-0.000881650485098362,1.2946672439575195,1.3760802745819092,0.6178862916800044,0.3821137083199956,0.2630856407818618,0.03125,0.0
34,139264,1.0632474422454834,0.0,0.43911492824554443,118.33647155761719,-0.00016176048666238785,1.2665935754776,1.3709675073623657,0.6369919770960042,0.3630080229039958,0.2630739319110849,0.0,0.0
35,143360,1.0785653591156006,0.0,0.43313634395599365,122.15907287597656,0.029306335374712944,1.2894750833511353,1.3715394735336304,0.655142378241204,0.34485762175879603,0.2630957609492137,0.0,0.0
36,147456,1.1062155961990356,0.0,0.43285518884658813,131.44082641601562,-0.0009580971673130989,1.288508415222168,1.380253791809082,0.6723852593291437,0.3276147406708562,0.2631001203151893,0.0,0.0
37,151552,1.1327412128448486,0.0,0.4327065348625183,134.8490753173828,-0.01621040515601635,1.3057546615600586,1.3694006204605103,0.6887659963626866,0.3112340036373134,0.2631082231737424,0.0,0.0
38,155648,1.119351863861084,0.000244140625,0.4500688910484314,130.14129638671875,-0.010764425620436668,1.321121096611023,1.3704116344451904,0.6543276965445524,0.3456723034554477,0.2631494247398421,0.03125,0.0
39,159744,1.0690064430236816,0.000244140625,0.4532789885997772,119.70455932617188,0.009935256093740463,1.299008846282959,1.3741455078125,0.6216113117173248,0.3783886882826753,0.26363515334852494,0.03125,0.0
40,163840,1.0792127847671509,0.0,0.4444664418697357,126.504638671875,-0.0015402622520923615,1.325688123703003,1.366252064704895,0.6405307461314584,0.3594692538685415,0.26379823786436357,0.0,0.0
41,167936,1.1056560277938843,0.0,0.44307318329811096,122.3564453125,-0.0023632366210222244,1.3061800003051758,1.3543663024902344,0.6585042088248856,0.3414957911751144,0.26388458243727575,0.0,0.0
42,172032,1.045128583908081,0.000244140625,0.4406626224517822,131.4058837890625,0.005773389711976051,1.309407353401184,1.373945713043213,0.6255789983836413,0.37442100161635866,0.2638275190109718,0.03125,0.0
43,176128,0.993586003780365,0.000732421875,0.4408012628555298,130.288818359375,0.021057384088635445,1.3375697135925293,1.3691033124923706,0.5943000484644593,0.4056999515355407,0.2638538069596475,0.09375,0.0
44,180224,0.945620059967041,0.00048828125,0.4416811168193817,115.08040618896484,-0.016445260494947433,1.368260145187378,1.366672396659851,0.5645850460412363,0.4354149539587637,0.26384313835224205,0.0625,0.0
45,184320,0.9021463394165039,0.000244140625,0.44359293580055237,128.7917938232422,-0.016923213377594948,1.3597909212112427,1.3810769319534302,0.5363557937391745,0.4636442062608255,0.26380203967035387,0.03125,0.0
46,188416,0.8930619955062866,0.000244140625,0.4620252251625061,116.02490234375,0.02954610250890255,1.3611791133880615,1.3693561553955078,0.5095380040522158,0.49046199594778417,0.2636813159175381,0.03125,0.0
47,192512,0.8349446058273315,0.00048828125,0.45506006479263306,98.02986907958984,0.006218144670128822,1.369210958480835,1.38670814037323,0.484061103849605,0.515938896150395,0.26397647460691015,0.0625,0.0
48,196608,0.7904514074325562,0.000244140625,0.4536365866661072,91.96282958984375,-0.0003129076212644577,1.3713068962097168,1.3606771230697632,0.45985804865712476,0.5401419513428752,0.26399207574581746,0.03125,0.0
