update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.757584571838379,0.000244140625,0.5351634621620178,339.8994140625,0.013307051733136177,1.3637423515319824,nan,0.95,0.05,0.28930380940437317,0.03125,0.0
2,8192,1.5958235263824463,0.000732421875,0.5113820433616638,252.35028076171875,0.03884638845920563,1.3511621952056885,nan,0.9025,0.0975,0.2893391425080703,0.0625,0.0
3,12288,1.5632812976837158,0.000244140625,0.5009117126464844,244.1741943359375,0.001341337338089943,1.34597647190094,nan,0.857375,0.142625,0.2747658322795458,0.03125,0.0
4,16384,1.5049326419830322,0.00048828125,0.4958518147468567,214.27052307128906,0.02055327594280243,1.359928846359253,nan,0.81450625,0.18549375,0.26845415954770535,0.0625,0.0
5,20480,1.4512889385223389,0.00048828125,0.49798011779785156,199.7877197265625,0.03430132940411568,1.377779245376587,nan,0.7737809375,0.2262190625,0.2655964744560005,0.0625,0.0
6,24576,1.475879430770874,0.0,0.495902955532074,221.84915161132812,-0.019720954820513725,1.3566488027572632,nan,0.785091890625,0.214908109375,0.263794858552518,0.0,0.0
7,28672,1.4953584671020508,0.0,0.4923246502876282,232.85394287109375,0.002214303705841303,1.3707454204559326,nan,0.79583729609375,0.20416270390625,0.2620176310653323,0.0,0.0
8,32768,1.5927734375,0.0,0.5167152881622314,236.6784210205078,0.01875108852982521,1.385669469833374,nan,0.8060454312890625,0.1939545687109375,0.2614910199394696,0.0,0.0
9,36864,1.5097733736038208,0.000244140625,0.5202775001525879,194.87974548339844,0.009509032592177391,1.3844585418701172,nan,0.7657431597246094,0.23425684027539062,0.2639226215794453,0.03125,0.0
10,40960,1.490708827972412,0.0,0.5058915615081787,175.3061065673828,0.032059043645858765,1.3737661838531494,nan,0.7774560017383789,0.22254399826162108,0.26383984269603006,0.0,0.0
11,45056,1.4122707843780518,0.000244140625,0.5029895305633545,157.77001953125,0.006175890564918518,1.3752862215042114,nan,0.73858320165146,0.26141679834854004,0.26309677212956933,0.03125,0.0
12,49152,1.3388525247573853,0.000244140625,0.5002257823944092,157.31820678710938,-0.035408928990364075,1.3653275966644287,nan,0.701654041568887,0.298345958431113,0.2622017300872582,0.03125,0.0
13,53248,1.2578010559082031,0.000244140625,0.4934648275375366,140.8084716796875,-0.03781295567750931,1.3670566082000732,nan,0.6665713394904427,0.33342866050955733,0.2615622987786298,0.03125,0.0
14,57344,1.2992757558822632,0.0,0.4967687129974365,152.9847869873047,0.01191512867808342,1.359688639640808,nan,0.6832427725159205,0.3167572274840795,0.26123295173802064,0.0,0.0
15,61440,1.32346510887146,0.0,0.49416670203208923,151.74461364746094,0.02937137335538864,1.364581823348999,nan,0.6990806338901245,0.30091936610987546,0.26102870251614546,0.0,0.0
16,65536,1.3363792896270752,0.000244140625,0.5248315334320068,139.71099853515625,0.04418707638978958,1.3667771816253662,nan,0.6641266021956183,0.3358733978043817,0.2608677508940047,0.03125,0.0
17,69632,1.3314229249954224,0.0,0.5129216909408569,132.53237915039062,-0.0581829696893692,1.3306403160095215,nan,0.6809202720858374,0.3190797279141626,0.2623199330385989,0.0,0.0
18,73728,1.2406835556030273,0.000244140625,0.5026898384094238,108.7535171508789,0.046019066125154495,1.3547728061676025,nan,0.6468742584815456,0.35312574151845444,0.26214674581455744,0.03125,0.0
19,77824,1.265256404876709,0.0,0.4984998404979706,126.02189636230469,0.018732696771621704,1.360696792602539,nan,0.6645305455574684,0.3354694544425317,0.2618191802546221,0.0,0.0
20,81920,1.2934901714324951,0.0,0.4965999126434326,137.27586364746094,-0.0010246285237371922,1.348034143447876,nan,0.6813040182795949,0.3186959817204051,0.26156791694031395,0.0,0.0
21,86016,1.2294471263885498,0.00048828125,0.495849072933197,131.16082763671875,-0.009683850221335888,1.340590476989746,nan,0.6472388173656152,0.35276118263438483,0.2611420156594051,0.0625,0.0
22,90112,1.2654361724853516,0.0,0.49681609869003296,147.75628662109375,-0.023168114945292473,1.3124773502349854,nan,0.6648768764973344,0.3351231235026656,0.26103372965630167,0.0,0.0
23,94208,1.3357703685760498,0.0,0.5113784670829773,155.06771850585938,-0.03868940472602844,1.3274993896484375,nan,0.6816330326724678,0.3183669673275323,0.26095240348030957,0.0,0.0
24,98304,1.3874320983886719,0.0,0.5205399394035339,150.38780212402344,-0.043475039303302765,1.3557145595550537,nan,0.6975513810388443,0.30244861896115566,0.26170891177480254,0.0,0.0
25,102400,1.2992740869522095,0.00048828125,0.5132646560668945,132.71881103515625,-0.03359109163284302,1.3669605255126953,nan,0.6626738119869022,0.3373261880130978,0.2618808052358589,0.0625,0.0
26,106496,1.3067243099212646,0.0,0.5034399032592773,141.62838745117188,-0.01100971456617117,1.3268458843231201,nan,0.6795401213875572,0.3204598786124429,0.2618054929850861,0.0,0.0
27,110592,1.2319676876068115,0.000732421875,0.49885332584381104,130.80711364746094,0.00952591560781002,1.3556199073791504,nan,0.6455631153181793,0.3544368846818207,0.261559560324604,0.0625,0.0
28,114688,1.263763189315796,0.0,0.4982582926750183,135.51644897460938,-0.010309932753443718,1.3676878213882446,nan,0.6632849595522703,0.33671504044772965,0.2615104187824598,0.0,0.0
29,118784,1.207511067390442,0.000244140625,0.5006212592124939,135.02096557617188,-0.01542854867875576,1.3712209463119507,nan,0.6301207115746569,0.3698792884253431,0.26129417779055447,0.03125,0.0
30,122880,1.244853138923645,0.0,0.5012208223342896,150.77491760253906,-0.049763668328523636,1.3641539812088013,nan,0.648614675995924,0.35138532400407596,0.26115469528421786,0.0,0.0
31,126976,1.2345305681228638,0.0009765625,0.5227609872817993,134.5789794921875,0.011802153661847115,1.367673397064209,nan,0.6161839421961279,0.3838160578038721,0.2611291439459237,0.125,0.0
32,131072,1.2435460090637207,0.0,0.5121801495552063,133.80618286132812,-0.07595206797122955,1.3657245635986328,nan,0.6353747450863215,0.3646252549136785,0.26169226883072905,0.0,0.0
33,135168,1.1622393131256104,0.00048828125,0.5035916566848755,121.6567611694336,0.008582662791013718,1.3251793384552002,nan,0.6036060078320055,0.39639399216799454,0.26164892874260215,0.0625,0.0
34,139264,1.1871378421783447,0.0,0.49799636006355286,140.78778076171875,0.010420039296150208,1.3589715957641602,nan,0.6234257074404053,0.3765742925595948,0.26152292903266194,0.0,0.0
35,143360,1.2229479551315308,0.0,0.4977184534072876,141.57269287109375,-0.01652679778635502,1.3546167612075806,nan,0.642254422068385,0.35774557793161504,0.2613863245912664,0.0,0.0
36,147456,1.1707673072814941,0.00048828125,0.5010149478912354,145.54605102539062,-5.1056500524282455e-05,1.363527774810791,nan,0.6101417009649657,0.3898582990350343,0.2612112880468552,0.0625,0.0
37,151552,1.1099120378494263,0.00048828125,0.4999544620513916,139.6224365234375,-0.036562949419021606,1.380910038948059,nan,0.5796346159167174,0.42036538408328256,0.2612085037200634,0.0625,0.0
38,155648,1.1888213157653809,0.0,0.5170933604240417,166.26651000976562,0.05078951641917229,1.3779478073120117,nan,0.6006528851208817,0.3993471148791184,0.26126185130212104,0.0,0.0
39,159744,1.1331106424331665,0.00048828125,0.5190536379814148,134.3419189453125,-0.047387756407260895,1.3805031776428223,nan,0.5706202408648375,0.42937975913516246,0.26150151952787876,0.0625,0.0
40,163840,1.0606353282928467,0.000244140625,0.5116780996322632,134.99798583984375,-0.028049230575561523,1.3492505550384521,nan,0.5420892288215957,0.4579107711784043,0.26157817402862305,0.03125,0.0
41,167936,1.0882760286331177,0.0,0.5036564469337463,141.15396118164062,-0.029844123870134354,1.3378251791000366,nan,0.564984767380516,0.43501523261948405,0.2614761238870122,0.0,0.0
42,172032,1.0176060199737549,0.000244140625,0.49547773599624634,144.26010131835938,0.03661784529685974,1.2965257167816162,nan,0.5367355290114901,0.4632644709885098,0.26140208506540963,0.03125,0.0
43,176128,1.0718493461608887,0.0,0.5002044439315796,134.0252227783203,-0.030160285532474518,1.2621181011199951,nan,0.5598987525609157,0.4401012474390843,0.2612902693786943,0.0,0.0
44,180224,1.1082178354263306,0.0,0.4975997805595398,143.1507110595703,0.0532468780875206,1.2222884893417358,nan,0.5819038149328699,0.4180961850671301,0.26128006505426715,0.0,0.0
45,184320,1.1246187686920166,0.0,0.4874187111854553,165.0803680419922,0.027972549200057983,1.2701830863952637,nan,0.6028086241862265,0.39719137581377356,0.2612620619695395,0.0,0.0
46,188416,1.2195179462432861,0.0,0.5118988752365112,150.2650146484375,0.00924907810986042,1.224453330039978,nan,0.6226681929769151,0.3773318070230849,0.2613681568526511,0.0,0.0
47,192512,1.1326887607574463,0.000244140625,0.5011071562767029,145.1356201171875,0.040816452354192734,1.2571489810943604,nan,0.5915347833280694,0.4084652166719306,0.2617543517979681,0.03125,0.0
48,196608,1.1655404567718506,0.0,0.4987548589706421,151.4579620361328,-0.04316064715385437,1.333937168121338,nan,0.6119580441616659,0.38804195583833406,0.2618673618821472,0.0,0.0
