update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.9553080797195435,0.0,0.534980058670044,438.1258544921875,0.012195238843560219,1.3729052543640137,nan,1.0,0.0,0.2736039459705353,nan,1.0
2,8192,1.876225233078003,0.0,0.5134053826332092,389.27447509765625,0.012028245255351067,1.3499298095703125,nan,1.0,0.0,0.27363739313971314,nan,1.0
3,12288,1.9892311096191406,0.0,0.5144487619400024,446.6518859863281,-0.02595640905201435,1.3053920269012451,nan,1.0,0.0,0.25861689796854537,nan,1.0
4,16384,2.0401806831359863,0.0,0.5129280090332031,438.8347473144531,0.016303682699799538,1.2617719173431396,nan,1.0,0.0,0.2514130185986389,nan,1.0
5,20480,2.0238962173461914,0.0,0.5038299560546875,446.38079833984375,0.010541409254074097,1.2491451501846313,nan,1.0,0.0,0.24894058511690145,nan,1.0
6,24576,2.069070816040039,0.0,0.5133013129234314,461.6689453125,-0.0046832989901304245,1.2746775150299072,nan,1.0,0.0,0.24808301239090955,nan,1.0
7,28672,2.0378711223602295,0.0,0.5076773762702942,459.9978332519531,-0.01772167719900608,1.3226689100265503,nan,1.0,0.0,0.24912140568999755,nan,1.0
8,32768,2.0520260334014893,0.0,0.5134490132331848,441.4187927246094,-0.0001907702535390854,1.3227994441986084,nan,1.0,0.0,0.250215605067641,nan,1.0
9,36864,2.0596349239349365,0.0,0.5166749954223633,416.47161865234375,0.004695768468081951,1.341271162033081,nan,1.0,0.0,0.25085759649225753,nan,1.0
10,40960,2.0554115772247314,0.0,0.5143377184867859,413.1947326660156,-0.003455985337495804,1.3312534093856812,nan,1.0,0.0,0.2502358440984163,nan,1.0
11,45056,2.0416274070739746,0.0,0.509179949760437,410.29058837890625,-0.04051936790347099,1.3288750648498535,nan,1.0,0.0,0.24939902482320125,nan,1.0
12,49152,2.0333728790283203,0.0,0.5053986310958862,421.2935791015625,0.005121470429003239,1.3506526947021484,nan,1.0,0.0,0.24855187653605704,nan,1.0
13,53248,2.0625433921813965,0.0,0.5118640661239624,413.722900390625,-0.011399620212614536,1.3219454288482666,nan,1.0,0.0,0.24817127217420157,nan,1.0
14,57344,2.06768798828125,0.0,0.5127159357070923,429.060302734375,-0.027416173368692398,1.3246575593948364,nan,1.0,0.0,0.24796583013678578,nan,1.0
15,61440,2.0794332027435303,0.0,0.5154145956039429,418.44598388671875,0.0033324602991342545,1.318077564239502,nan,1.0,0.0,0.2478629895526414,nan,1.0
16,65536,2.0681490898132324,0.0,0.5120702981948853,384.0491027832031,-0.004513826221227646,1.2690398693084717,nan,1.0,0.0,0.24759836964769638,nan,1.0
17,69632,2.041959524154663,0.0,0.5065097808837891,378.17333984375,0.0090331407263875,1.2590980529785156,nan,1.0,0.0,0.2480508283177033,nan,1.0
18,73728,2.0260114669799805,0.0,0.5026700496673584,363.21612548828125,-0.0017883125692605972,1.2754355669021606,nan,1.0,0.0,0.24810820614654033,nan,1.0
19,77824,2.0283985137939453,0.0,0.5037944316864014,384.2994689941406,-0.041633911430835724,1.3370972871780396,nan,1.0,0.0,0.2483705311896695,nan,1.0
20,81920,2.001585006713867,0.0,0.4967767298221588,374.7577209472656,-0.02894165739417076,1.272975206375122,nan,1.0,0.0,0.24819165881795902,nan,1.0
21,86016,2.0327086448669434,0.0,0.5046035051345825,379.0580749511719,0.028172319754958153,1.24961256980896,nan,1.0,0.0,0.24824194880697192,nan,1.0
22,90112,2.055889129638672,0.0,0.5107390284538269,390.91912841796875,-0.000992470420897007,1.2895734310150146,nan,1.0,0.0,0.2484273568215042,nan,1.0
23,94208,2.0787198543548584,0.0,0.5164543390274048,382.70556640625,-0.0028553660959005356,1.2654722929000854,nan,1.0,0.0,0.24844823632396887,nan,1.0
24,98304,2.0488779544830322,0.0,0.509143590927124,364.45068359375,0.01592533476650715,1.2939519882202148,nan,1.0,0.0,0.248498740424587,nan,1.0
25,102400,2.0688095092773438,0.0,0.5143654942512512,368.3988952636719,-0.009735442698001862,1.3131862878799438,nan,1.0,0.0,0.24862875642000598,nan,1.0
26,106496,2.0277750492095947,0.0,0.5037274956703186,322.8049621582031,0.08336809277534485,1.2737632989883423,nan,1.0,0.0,0.2484138855592525,nan,1.0
27,110592,2.0289793014526367,0.0,0.5038467645645142,366.0552062988281,-0.04058587923645973,1.267236590385437,nan,1.0,0.0,0.2483252255060388,nan,1.0
28,114688,2.02772855758667,0.0,0.503304123878479,365.50250244140625,-0.00560054462403059,1.2920677661895752,nan,1.0,0.0,0.24821077714394515,nan,1.0
29,118784,2.0544962882995605,0.0,0.5100128650665283,363.51226806640625,-0.015061619691550732,1.2904062271118164,nan,1.0,0.0,0.2482423191615124,nan,1.0
