metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,1.0
coord_only_goal_vs_crtr_learned_goal,1.0
coord_only_goal_vs_idm_learned_goal,0.012623220494176302
coord_only_goal_vs_crtr_online_joint_goal,1.0
coord_only_goal_vs_idm_online_joint_goal,5.821953142870484e-05
coord_plus_nuisance_goal_vs_crtr_learned_goal,0.0
coord_plus_nuisance_goal_vs_idm_learned_goal,0.0
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,0.0
coord_plus_nuisance_goal_vs_idm_online_joint_goal,0.0
crtr_learned_goal_vs_idm_learned_goal,0.032125226993581224
crtr_learned_goal_vs_crtr_online_joint_goal,1.0
crtr_learned_goal_vs_idm_online_joint_goal,0.0009756771516737928
idm_learned_goal_vs_crtr_online_joint_goal,1.0
idm_learned_goal_vs_idm_online_joint_goal,0.38888859961057776
crtr_online_joint_goal_vs_idm_online_joint_goal,6.55421481963181e-05
