metric,value
coord_only_vs_coord_plus_nuisance,0.9964572781094378
coord_only_vs_crtr_learned,0.9942684743525021
coord_only_vs_idm_learned,0.9951315649037595
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,0.9962670015850321
coord_plus_nuisance_vs_crtr_learned,0.9978111603221871
coord_plus_nuisance_vs_idm_learned,0.9986742683067482
coord_plus_nuisance_vs_crtr_online_joint,1.0
coord_plus_nuisance_vs_idm_online_joint,0.9998097214084685
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,1.0
idm_learned_vs_idm_online_joint,1.0
crtr_online_joint_vs_idm_online_joint,0.9708533542653834
