update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.4857773780822754,0.0,0.4857773780822754,19.526580810546875,-8.108559995889664e-05,1.3680349588394165,1.4546386003494263,1.0,0.0,1.0,nan,1.0
2,8192,0.45708659291267395,0.0,0.45708659291267395,14.955255508422852,-0.027946744114160538,1.3543232679367065,1.4226887226104736,1.0,0.0,1.0,nan,1.0
3,12288,0.4525892436504364,0.0,0.4525892436504364,13.378992080688477,-0.03956585377454758,1.3510539531707764,1.4361801147460938,1.0,0.0,1.0,nan,1.0
4,16384,0.44408029317855835,0.0,0.44408029317855835,12.317395210266113,-0.042694754898548126,1.3506728410720825,1.4052786827087402,1.0,0.0,1.0,nan,1.0
5,20480,0.4422021806240082,0.0,0.4422021806240082,11.964887619018555,0.03762109577655792,1.3566359281539917,1.4108930826187134,1.0,0.0,1.0,nan,1.0
6,24576,0.4463709890842438,0.0,0.4463709890842438,13.754545211791992,0.009870968759059906,1.3626348972320557,1.4079087972640991,1.0,0.0,1.0,nan,1.0
7,28672,0.4421175718307495,0.0,0.4421175718307495,15.82752513885498,0.03733132779598236,1.347707748413086,1.3688290119171143,1.0,0.0,1.0,nan,1.0
8,32768,0.4562099874019623,0.0,0.4562099874019623,16.990835189819336,-0.02684122696518898,1.3717689514160156,1.3979465961456299,1.0,0.0,1.0,nan,1.0
9,36864,0.4637753367424011,0.0,0.4637753367424011,17.01885414123535,0.0039305007085204124,1.371486783027649,1.385956883430481,1.0,0.0,1.0,nan,1.0
10,40960,0.4556487500667572,0.0,0.4556487500667572,19.476415634155273,-0.03433092311024666,1.3779828548431396,1.371095061302185,1.0,0.0,1.0,nan,1.0
11,45056,0.4505947232246399,0.0,0.4505947232246399,20.848039627075195,0.03281233087182045,1.3830626010894775,1.4025299549102783,1.0,0.0,1.0,nan,1.0
12,49152,0.4490511417388916,0.0,0.4490511417388916,22.521432876586914,0.01473931223154068,1.3696728944778442,1.3938039541244507,1.0,0.0,1.0,nan,1.0
13,53248,0.4446369409561157,0.0,0.4446369409561157,24.666229248046875,0.04248046875,1.3568320274353027,1.3899831771850586,1.0,0.0,1.0,nan,1.0
14,57344,0.4454350173473358,0.0,0.4454350173473358,23.996137619018555,-0.0008498392999172211,1.3382253646850586,1.3772728443145752,1.0,0.0,1.0,nan,1.0
15,61440,0.43874701857566833,0.0,0.43874701857566833,25.780780792236328,-0.03085300885140896,1.3659086227416992,1.3984516859054565,1.0,0.0,1.0,nan,1.0
16,65536,0.47063925862312317,0.0,0.47063925862312317,23.891637802124023,0.06138303875923157,1.3620262145996094,1.395809531211853,1.0,0.0,1.0,nan,1.0
17,69632,0.456109881401062,0.0,0.456109881401062,23.446685791015625,-0.02738485112786293,1.3226873874664307,1.3787707090377808,1.0,0.0,1.0,nan,1.0
18,73728,0.4445585608482361,0.0,0.4445585608482361,23.324840545654297,0.05586634576320648,1.3248417377471924,1.3946337699890137,1.0,0.0,1.0,nan,1.0
19,77824,0.4429771900177002,0.0,0.4429771900177002,22.708385467529297,-0.0024655358865857124,1.3616005182266235,1.389501929283142,1.0,0.0,1.0,nan,1.0
20,81920,0.4485907554626465,0.0,0.4485907554626465,22.493993759155273,-0.0032036053016781807,1.339170217514038,1.3919317722320557,1.0,0.0,1.0,nan,1.0
21,86016,0.4439730644226074,0.0,0.4439730644226074,22.946670532226562,-0.021157164126634598,1.3455924987792969,1.3935855627059937,1.0,0.0,1.0,nan,1.0
22,90112,0.447973370552063,0.0,0.447973370552063,24.54800796508789,0.0017113247886300087,1.3587424755096436,1.398690938949585,1.0,0.0,1.0,nan,1.0
