rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.0,0.0,0.0,0.0049187662079930305,0.0,0.7755775577557755,0.0021000022534281015,0.00013691509957425296,1,4096,6.759075907590759,77.55775577557755
0.0,0.0,0.0,0.0018146095098927617,0.0,1.0,0.0010496946051716805,8.44133464852348e-05,5,20480,33.79537953795379,100.0
0.0,0.0,0.0,0.001264183665625751,0.0,1.0,9.06808054423891e-05,2.483861317159608e-05,10,40960,67.59075907590758,100.0
0.0,0.0,0.0,0.0010270344791933894,0.0,1.0,4.504277967498638e-05,1.7421269149053842e-05,15,61440,101.38613861386139,100.0
0.0,0.0,0.0,0.0008890523458831012,0.0,1.0,5.4763208026997745e-05,4.375803837319836e-05,20,81920,135.18151815181517,100.0
0.0,0.0,0.0,0.0007980421069078147,0.0,1.0,4.349358277977444e-05,2.9864406315027736e-05,25,102400,168.97689768976898,100.0
0.0,0.0,0.0,0.0007267643231898546,0.0,1.0,1.3738720554101747e-05,7.076228939695284e-06,30,122880,202.77227722772278,100.0
0.0,0.0,0.0,0.0006759313400834799,0.0,1.0,2.7221460186410695e-05,1.4961325177864637e-05,35,143360,236.56765676567656,100.0
0.0,0.0,0.0,0.0006375175435096025,0.0,1.0,1.5950057786540128e-05,8.571779289923143e-06,40,163840,270.36303630363034,100.0
0.0,0.0,0.0,0.0005971953505650163,0.0,1.0,5.978779881843366e-05,5.657133078784682e-05,45,184320,304.15841584158414,100.0
0.0,0.0,0.0,0.000578555220272392,0.0,1.0,7.244020525831729e-05,7.139221270335838e-05,48,196608,324.43564356435644,100.0
