update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.6374549865722656,0.0,0.6374549865722656,43.241455078125,-0.014791923575103283,1.3719816207885742,nan,1.0,0.0,1.0,nan,1.0
2,8192,0.6299722194671631,0.0,0.6299722194671631,37.213539123535156,-0.009735556319355965,1.3516112565994263,nan,1.0,0.0,1.0,nan,1.0
3,12288,0.6038867235183716,0.0,0.6038867235183716,30.797758102416992,0.03451026603579521,1.3378523588180542,nan,1.0,0.0,1.0,nan,1.0
4,16384,0.5979906320571899,0.0,0.5979906320571899,29.58759307861328,-0.0026767030358314514,1.3592917919158936,nan,1.0,0.0,1.0,nan,1.0
5,20480,0.6047447919845581,0.0,0.6047447919845581,28.464115142822266,0.0184329804033041,1.3663461208343506,nan,1.0,0.0,1.0,nan,1.0
6,24576,0.6095636487007141,0.0,0.6095636487007141,28.28384017944336,0.025971220806241035,1.3460007905960083,nan,1.0,0.0,1.0,nan,1.0
7,28672,0.5955754518508911,0.0,0.5955754518508911,28.804475784301758,-0.010999178513884544,1.3558402061462402,nan,1.0,0.0,1.0,nan,1.0
8,32768,0.6122728586196899,0.0,0.6122728586196899,29.676483154296875,0.007447968237102032,1.3351902961730957,nan,1.0,0.0,1.0,nan,1.0
9,36864,0.6154776811599731,0.0,0.6154776811599731,29.418413162231445,-0.04037788137793541,1.355650544166565,nan,1.0,0.0,1.0,nan,1.0
10,40960,0.6080853343009949,0.0,0.6080853343009949,28.420146942138672,0.03325938060879707,1.3655811548233032,nan,1.0,0.0,1.0,nan,1.0
11,45056,0.6093570590019226,0.0,0.6093570590019226,27.606050491333008,-0.02902466244995594,1.3634843826293945,nan,1.0,0.0,1.0,nan,1.0
12,49152,0.6070307493209839,0.0,0.6070307493209839,29.563732147216797,-0.01112692803144455,1.360612154006958,nan,1.0,0.0,1.0,nan,1.0
13,53248,0.6042397022247314,0.0,0.6042397022247314,31.835113525390625,0.025251388549804688,1.360579013824463,nan,1.0,0.0,1.0,nan,1.0
