update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.6119364500045776,0.000244140625,0.6438866853713989,29.638139724731445,-0.02094435505568981,1.3764188289642334,nan,0.95,0.05,1.0,0.03125,0.0
2,8192,0.5327212810516357,0.00048828125,0.5897318720817566,20.407421112060547,0.03135449066758156,1.3675614595413208,nan,0.9025,0.0975,1.0,0.0625,0.0
3,12288,0.49313580989837646,0.000244140625,0.5748845338821411,17.41509437561035,-0.02784450352191925,1.3580384254455566,nan,0.857375,0.142625,1.0,0.03125,0.0
4,16384,0.4713331460952759,0.000244140625,0.5783737897872925,14.052444458007812,0.009229091927409172,1.3548328876495361,nan,0.81450625,0.18549375,1.0,0.03125,0.0
5,20480,0.47151538729667664,0.0,0.5723795890808105,14.353384017944336,-0.015395332127809525,1.3181169033050537,nan,0.8237809375,0.1762190625,1.0,0.0,0.0
6,24576,0.44654038548469543,0.000732421875,0.5696557760238647,12.13686752319336,0.005604192614555359,1.2870292663574219,nan,0.782591890625,0.217408109375,1.0,0.09375,0.0
7,28672,0.42378097772598267,0.000732421875,0.5690248608589172,12.591882705688477,0.012337730266153812,1.3424006700515747,nan,0.74346229609375,0.25653770390624997,1.0,0.09375,0.0
8,32768,0.4326912462711334,0.000732421875,0.6115891933441162,12.861565589904785,0.010858063586056232,1.3695348501205444,nan,0.7062891812890626,0.29371081871093746,1.0,0.09375,0.0
9,36864,0.3984608054161072,0.000244140625,0.5934898257255554,12.282647132873535,0.046506740152835846,1.359534502029419,nan,0.6709747222246094,0.3290252777753906,1.0,0.03125,0.0
10,40960,0.36846867203712463,0.000244140625,0.5776742100715637,13.18150520324707,0.017624080181121826,1.3609957695007324,nan,0.637425986113379,0.362574013886621,1.0,0.03125,0.0
11,45056,0.37792250514030457,0.0,0.5764926671981812,12.922056198120117,0.03341704234480858,1.3410812616348267,nan,0.65555468680771,0.34444531319228994,1.0,0.0,0.0
12,49152,0.3853508234024048,0.0,0.5727764964103699,14.884500503540039,0.009815741330385208,1.3154886960983276,nan,0.6727769524673246,0.32722304753267545,1.0,0.0,0.0
13,53248,0.3660186529159546,0.000244140625,0.5722934007644653,14.896819114685059,0.023820092901587486,1.3307554721832275,nan,0.6391381048439584,0.36086189515604167,1.0,0.03125,0.0
14,57344,0.3531709313392639,0.00048828125,0.5808523893356323,13.620786666870117,-0.01245016697794199,1.3286854028701782,nan,0.6071811996017604,0.3928188003982396,1.0,0.0625,0.0
15,61440,0.3334871232509613,0.000244140625,0.5777221918106079,14.242652893066406,-0.044041357934474945,1.3272311687469482,nan,0.5768221396216724,0.42317786037832755,1.0,0.03125,0.0
16,65536,0.33502334356307983,0.000244140625,0.6109321117401123,11.550960540771484,-0.014305803924798965,1.3139317035675049,nan,0.5479810326405888,0.45201896735941116,1.0,0.03125,0.0
17,69632,0.3323436677455902,0.0,0.582464337348938,10.049853324890137,-0.042199473828077316,1.318013072013855,nan,0.5705819810085594,0.4294180189914406,1.0,0.0,0.0
18,73728,0.31282666325569153,0.000244140625,0.5766642689704895,9.70028305053711,0.027182262390851974,1.3398168087005615,nan,0.5420528819581314,0.45794711804186855,1.0,0.03125,0.0
19,77824,0.32522130012512207,0.0,0.575663685798645,11.362391471862793,-0.0429568737745285,1.3472501039505005,nan,0.5649502378602249,0.4350497621397751,1.0,0.0,0.0
20,81920,0.31115737557411194,0.000732421875,0.5783926844596863,10.807738304138184,-0.02270006202161312,1.3676981925964355,nan,0.5367027259672137,0.4632972740327863,1.0,0.09375,0.0
21,86016,0.32024216651916504,0.0,0.57199627161026,11.32337760925293,-0.011789173819124699,1.3579427003860474,nan,0.559867589668853,0.440132410331147,1.0,0.0,0.0
22,90112,0.3335300385951996,0.0,0.5731995701789856,11.840283393859863,-0.003022623248398304,1.3565218448638916,nan,0.5818742101854104,0.4181257898145896,1.0,0.0,0.0
23,94208,0.3348322808742523,0.00048828125,0.6048404574394226,12.271554946899414,0.038291577249765396,1.3597873449325562,nan,0.5527804996761398,0.4472195003238601,1.0,0.0625,0.0
