update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.47217270731925964,0.000244140625,0.49676692485809326,20.86726188659668,-0.02167162299156189,1.3766454458236694,nan,0.95,0.05,1.0,0.03125,0.0
2,8192,0.4379945695400238,0.0009765625,0.48423048853874207,15.47098159790039,-0.012704292312264442,1.3653733730316162,nan,0.9025,0.0975,1.0,0.125,0.0
3,12288,0.42404666543006897,0.0,0.46733343601226807,13.789384841918945,-0.031625211238861084,1.3584985733032227,nan,0.907375,0.092625,1.0,0.0,0.0
4,16384,0.40503501892089844,0.000244140625,0.46959158778190613,11.578163146972656,-0.051479190587997437,1.3585596084594727,nan,0.86200625,0.13799375,1.0,0.03125,0.0
5,20480,0.4044843912124634,0.0,0.4655100107192993,10.809527397155762,-0.01669369265437126,1.345702052116394,nan,0.8689059375,0.1310940625,1.0,0.0,0.0
6,24576,0.385003924369812,0.000244140625,0.46611523628234863,9.9296293258667,0.05236861854791641,1.2887414693832397,nan,0.825460640625,0.17453935937499998,1.0,0.03125,0.0
7,28672,0.38357973098754883,0.0,0.4598243236541748,10.784623146057129,0.04640014097094536,1.2853968143463135,nan,0.8341876085937501,0.16581239140624998,1.0,0.0,0.0
8,32768,0.3790152072906494,0.000244140625,0.47795772552490234,10.749181747436523,0.041648153215646744,1.3444452285766602,nan,0.7924782281640625,0.20752177183593745,1.0,0.03125,0.0
9,36864,0.3872302770614624,0.0,0.4823169708251953,11.324365615844727,-0.041835810989141464,1.3734054565429688,nan,0.8028543167558595,0.19714568324414056,1.0,0.0,0.0
10,40960,0.38479238748550415,0.0,0.47346732020378113,12.451294898986816,-0.00011205649934709072,1.3820054531097412,nan,0.8127116009180665,0.1872883990819335,1.0,0.0,0.0
11,45056,0.38582316040992737,0.0,0.46932780742645264,15.418163299560547,0.01790098287165165,1.3592422008514404,nan,0.8220760208721631,0.17792397912783683,1.0,0.0,0.0
12,49152,0.3882991075515747,0.0,0.46728289127349854,15.958141326904297,0.007348299026489258,1.365783452987671,nan,0.830972219828555,0.16902778017144499,1.0,0.0,0.0
13,53248,0.3729054927825928,0.00048828125,0.4717584252357483,16.678260803222656,0.017239725217223167,1.3445796966552734,nan,0.7894236088371273,0.21057639116287274,1.0,0.0625,0.0
14,57344,0.3497407138347626,0.00048828125,0.4656994342803955,17.07872772216797,0.04971768334507942,1.3665080070495605,nan,0.7499524283952709,0.2500475716047291,1.0,0.0625,0.0
15,61440,0.35263341665267944,0.0,0.4624974727630615,19.18889617919922,0.03600376471877098,1.3688406944274902,nan,0.7624548069755074,0.23754519302449265,1.0,0.0,0.0
16,65536,0.38512495160102844,0.0,0.4973641037940979,14.979969024658203,0.012409370392560959,1.3615007400512695,nan,0.7743320666267319,0.22566793337326801,1.0,0.0,0.0
