update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.4857773780822754,0.0,0.4857773780822754,18.93113899230957,0.014009098522365093,1.3691481351852417,5.54517936706543,1.0,0.0,1.0,nan,1.0
2,8192,0.4559066891670227,0.0,0.4559066891670227,14.21291732788086,-0.0016836831346154213,1.3447058200836182,5.545177936553955,1.0,0.0,1.0,nan,1.0
3,12288,0.4495151937007904,0.0,0.4495151937007904,11.656464576721191,0.055023983120918274,1.3456189632415771,5.545177459716797,1.0,0.0,1.0,nan,1.0
4,16384,0.4445207118988037,0.0,0.4445207118988037,11.802838325500488,-0.029640985652804375,1.3774211406707764,5.545176982879639,1.0,0.0,1.0,nan,1.0
5,20480,0.446712851524353,0.0,0.446712851524353,13.89377498626709,0.005136287771165371,1.3657139539718628,5.5451765060424805,1.0,0.0,1.0,nan,1.0
6,24576,0.4423246383666992,0.0,0.4423246383666992,14.205527305603027,0.032661132514476776,1.342926025390625,5.545176029205322,1.0,0.0,1.0,nan,1.0
7,28672,0.43809717893600464,0.0,0.43809717893600464,15.433990478515625,-0.0019641127437353134,1.3481659889221191,5.545169830322266,1.0,0.0,1.0,nan,1.0
8,32768,0.4602610468864441,0.0,0.4602610468864441,18.755020141601562,0.02262084186077118,1.3731478452682495,5.545166015625,1.0,0.0,1.0,nan,1.0
9,36864,0.46201175451278687,0.0,0.46201175451278687,17.680763244628906,0.007956234738230705,1.3746438026428223,5.545156955718994,1.0,0.0,1.0,nan,1.0
10,40960,0.4535128176212311,0.0,0.4535128176212311,19.634572982788086,-0.026799671351909637,1.3428566455841064,5.5451436042785645,1.0,0.0,1.0,nan,1.0
11,45056,0.4487640857696533,0.0,0.4487640857696533,20.473237991333008,0.0068184686824679375,1.363842248916626,5.545109272003174,1.0,0.0,1.0,nan,1.0
12,49152,0.4463263154029846,0.0,0.4463263154029846,21.284271240234375,-0.025935202836990356,1.3786735534667969,5.545040607452393,1.0,0.0,1.0,nan,1.0
13,53248,0.4474189579486847,0.0,0.4474189579486847,23.33121109008789,0.011689155362546444,1.3716661930084229,5.54487419128418,1.0,0.0,1.0,nan,1.0
14,57344,0.4457748532295227,0.0,0.4457748532295227,25.629547119140625,0.015385106205940247,1.349764108657837,5.544698715209961,1.0,0.0,1.0,nan,1.0
15,61440,0.4435514211654663,0.0,0.4435514211654663,28.437000274658203,0.020131850615143776,1.353365421295166,5.544551849365234,1.0,0.0,1.0,nan,1.0
16,65536,0.4732418656349182,0.0,0.4732418656349182,23.456480026245117,-0.002459859475493431,1.3515793085098267,5.543242931365967,1.0,0.0,1.0,nan,1.0
17,69632,0.45976924896240234,0.0,0.45976924896240234,23.515777587890625,0.0360836535692215,1.3436336517333984,5.542738437652588,1.0,0.0,1.0,nan,1.0
18,73728,0.4609820544719696,0.0,0.4609820544719696,22.941978454589844,0.012539774179458618,1.2976325750350952,5.537515640258789,1.0,0.0,1.0,nan,1.0
19,77824,0.4568333029747009,0.0,0.4568333029747009,23.052358627319336,-0.02647966891527176,1.2280657291412354,5.534768104553223,1.0,0.0,1.0,nan,1.0
20,81920,0.45685192942619324,0.0,0.45685192942619324,22.876251220703125,-0.010541224852204323,1.2351338863372803,5.519044399261475,1.0,0.0,1.0,nan,1.0
21,86016,0.4621407985687256,0.0,0.4621407985687256,22.48900032043457,-0.0040550390258431435,1.261019229888916,5.504035472869873,1.0,0.0,1.0,nan,1.0
22,90112,0.4720936417579651,0.0,0.4720936417579651,26.084178924560547,0.005245865322649479,1.3208472728729248,5.469029426574707,1.0,0.0,1.0,nan,1.0
23,94208,0.5007688999176025,0.0,0.5007688999176025,27.9542179107666,-0.03130631148815155,1.3601315021514893,5.403611660003662,1.0,0.0,1.0,nan,1.0
24,98304,0.5045204758644104,0.0,0.5045204758644104,23.275606155395508,0.013483855873346329,1.3478467464447021,5.3619160652160645,1.0,0.0,1.0,nan,1.0
