update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5156767964363098,0.002685546875,0.5399907827377319,25.100915908813477,0.03612715005874634,1.3753657341003418,nan,0.95,0.05,1.0,0.34375,0.0
2,8192,0.4730433225631714,0.00146484375,0.5225246548652649,18.596630096435547,0.0115726413205266,1.362626075744629,nan,0.9025,0.0975,1.0,0.15625,0.0
3,12288,0.4359312653541565,0.001220703125,0.5070250034332275,13.837997436523438,0.00124342180788517,1.325051188468933,nan,0.857375,0.142625,1.0,0.125,0.0
4,16384,0.407561719417572,0.000732421875,0.4994797110557556,11.27978515625,0.002682862803339958,1.3106250762939453,nan,0.81450625,0.18549375,1.0,0.09375,0.0
5,20480,0.38475891947746277,0.00048828125,0.4966142177581787,10.63183879852295,-0.0707845687866211,1.3510488271713257,nan,0.7737809375,0.2262190625,1.0,0.0625,0.0
6,24576,0.37122640013694763,0.0009765625,0.5036783218383789,9.937235832214355,-0.022851895540952682,1.3256914615631104,nan,0.735091890625,0.264908109375,1.0,0.125,0.0
7,28672,0.3468669354915619,0.000732421875,0.4956551790237427,9.983034133911133,0.004153073765337467,1.320487141609192,nan,0.6983372960937501,0.30166270390624994,1.0,0.09375,0.0
8,32768,0.3361824154853821,0.000732421875,0.5056371092796326,10.547391891479492,-0.005286518484354019,1.307044267654419,nan,0.6634204312890626,0.3365795687109374,1.0,0.09375,0.0
9,36864,0.3241508901119232,0.000244140625,0.5139342546463013,9.995529174804688,-0.014428206719458103,1.2897177934646606,nan,0.6302494097246094,0.36975059027539053,1.0,0.03125,0.0
10,40960,0.30111920833587646,0.000244140625,0.5025162696838379,9.056238174438477,0.006516145542263985,1.3010594844818115,nan,0.598736939238379,0.401263060761621,1.0,0.03125,0.0
11,45056,0.28273218870162964,0.00048828125,0.4962093234062195,7.536882400512695,-0.01111648976802826,1.313730239868164,nan,0.5688000922764601,0.4311999077235399,1.0,0.0625,0.0
12,49152,0.26893773674964905,0.00048828125,0.4967973828315735,8.29707145690918,0.0054336292669177055,1.3053996562957764,nan,0.5403600876626371,0.45963991233736284,1.0,0.0625,0.0
13,53248,0.2766840159893036,0.0,0.49114739894866943,7.156570911407471,-0.04435643181204796,1.3035532236099243,nan,0.5633420832795053,0.4366579167204947,1.0,0.0,0.0
14,57344,0.26420164108276367,0.000732421875,0.49230480194091797,7.687525749206543,-0.01831989176571369,1.3393994569778442,nan,0.53517497911553,0.4648250208844699,1.0,0.09375,0.0
15,61440,0.27772676944732666,0.0,0.49734723567962646,7.834438323974609,0.01208820566534996,1.3545701503753662,nan,0.5584162301597536,0.4415837698402464,1.0,0.0,0.0
16,65536,0.27157002687454224,0.000244140625,0.5114575624465942,8.241715431213379,-0.1097036749124527,1.3370943069458008,nan,0.530495418651766,0.46950458134823403,1.0,0.03125,0.0
17,69632,0.25896525382995605,0.00048828125,0.5128810405731201,8.220788955688477,-0.034240853041410446,1.325404167175293,nan,0.5039706477191777,0.4960293522808223,1.0,0.0625,0.0
18,73728,0.24149687588214874,0.00048828125,0.5033890008926392,9.381342887878418,0.019884059205651283,1.338782548904419,nan,0.47877211533321884,0.5212278846667812,1.0,0.0625,0.0
19,77824,0.2303428053855896,0.00048828125,0.5053597092628479,7.53338098526001,-0.002468220889568329,1.3562716245651245,nan,0.4548335095665579,0.5451664904334421,1.0,0.0625,0.0
20,81920,0.2285519689321518,0.003662109375,0.5204677581787109,7.997303009033203,0.014689152128994465,1.3417255878448486,nan,0.43209183408822993,0.5679081659117701,1.0,0.40625,0.0
21,86016,0.22588911652565002,0.00830078125,0.530073344707489,8.180439949035645,-0.00840286910533905,1.347386121749878,nan,0.4104872423838184,0.5895127576161816,1.0,0.625,0.0
22,90112,0.20682451128959656,0.004150390625,0.5197267532348633,6.945498466491699,0.024216242134571075,1.3546887636184692,nan,0.38996288026462744,0.6100371197353726,1.0,0.4375,0.0
23,94208,0.19583863019943237,0.004150390625,0.5174264311790466,6.056215286254883,0.003950832411646843,1.3336093425750732,nan,0.3704647362513961,0.6295352637486039,1.0,0.4375,0.0
24,98304,0.1870671510696411,0.003662109375,0.5211236476898193,4.586038589477539,0.023074574768543243,1.3238253593444824,nan,0.35194149943882624,0.6480585005611738,1.0,0.375,0.0
25,102400,0.17352640628814697,0.00244140625,0.511702835559845,4.026662826538086,0.022753285244107246,1.3309658765792847,nan,0.33434442446688495,0.665655575533115,1.0,0.28125,0.0
26,106496,0.18594056367874146,0.0,0.5057856440544128,4.096285820007324,0.024185247719287872,1.3397815227508545,nan,0.3676272032435407,0.6323727967564593,1.0,0.0,0.0
27,110592,0.17845845222473145,0.000732421875,0.5088851451873779,3.834406852722168,-0.03917941451072693,1.3342061042785645,nan,0.34924584308136364,0.6507541569186364,1.0,0.09375,0.0
28,114688,0.16938786208629608,0.000732421875,0.5083297491073608,3.998465061187744,-0.03139954060316086,1.3302135467529297,nan,0.3317835509272954,0.6682164490727046,1.0,0.09375,0.0
29,118784,0.18430301547050476,0.0,0.5046709775924683,4.0249552726745605,0.019145864993333817,1.3534018993377686,nan,0.36519437338093064,0.6348056266190694,1.0,0.0,0.0
30,122880,0.17690815031528473,0.0009765625,0.5071029663085938,3.9243898391723633,0.007083948701620102,1.375321626663208,nan,0.3469346547118841,0.6530653452881159,1.0,0.125,0.0
31,126976,0.16794970631599426,0.00048828125,0.5080932974815369,3.6057701110839844,-0.0025329329073429108,1.377415418624878,nan,0.32958792197628994,0.6704120780237101,1.0,0.0625,0.0
32,131072,0.1632114052772522,0.00146484375,0.5165830850601196,4.0753278732299805,-0.04220051318407059,1.3815646171569824,nan,0.3131085258774754,0.6868914741225246,1.0,0.1875,0.0
33,135168,0.1565212607383728,0.001953125,0.5196386575698853,3.564788818359375,-0.017585765570402145,1.377185344696045,nan,0.29745309958360167,0.7025469004163983,1.0,0.21875,0.0
34,139264,0.14970698952674866,0.0029296875,0.5194177627563477,3.102689743041992,0.01722829043865204,1.3557029962539673,nan,0.28258044460442155,0.7174195553955784,1.0,0.3125,0.0
35,143360,0.13684871792793274,0.000244140625,0.5088614821434021,2.564086437225342,-0.013637915253639221,1.3519601821899414,nan,0.2684514223742005,0.7315485776257995,1.0,0.03125,0.0
36,147456,0.13114717602729797,0.00146484375,0.5085006952285767,1.9762344360351562,-0.010685565881431103,1.3530805110931396,nan,0.25502885125549046,0.7449711487445095,1.0,0.1875,0.0
37,151552,0.12372756749391556,0.0009765625,0.5066547393798828,1.7842742204666138,-0.00945546105504036,1.3559856414794922,nan,0.24227740869271597,0.757722591307284,1.0,0.125,0.0
38,155648,0.11774760484695435,0.000732421875,0.5084002017974854,1.4401392936706543,-0.015083697624504566,1.375474214553833,nan,0.2301635382580801,0.7698364617419199,1.0,0.09375,0.0
39,159744,0.1116981953382492,0.000732421875,0.5074916481971741,1.8551340103149414,-0.027903418987989426,1.3701910972595215,nan,0.21865536134517605,0.781344638654824,1.0,0.09375,0.0
40,163840,0.10681845247745514,0.000244140625,0.5130607485771179,2.0198779106140137,0.011305883526802063,1.3631130456924438,nan,0.2077225932779172,0.7922774067220828,1.0,0.03125,0.0
41,167936,0.1003449559211731,0.000244140625,0.5072595477104187,1.781322956085205,-0.018733063712716103,1.32818603515625,nan,0.19733646361402135,0.8026635363859786,1.0,0.03125,0.0
42,172032,0.12052467465400696,0.0,0.5075371861457825,1.776552438735962,0.003810522612184286,1.2944047451019287,nan,0.2374696404333203,0.7625303595666797,1.0,0.0,0.0
43,176128,0.11323681473731995,0.0009765625,0.4976159930229187,1.6571848392486572,-0.012384377419948578,1.2374069690704346,nan,0.22559615841165426,0.7744038415883457,1.0,0.09375,0.0
44,180224,0.10439588874578476,0.000244140625,0.48597198724746704,1.2038575410842896,-0.021493662148714066,1.251776933670044,nan,0.21431635049107156,0.7856836495089284,1.0,0.03125,0.0
45,184320,0.12319295108318329,0.0,0.48577558994293213,1.0201681852340698,-0.0738091692328453,1.243598222732544,nan,0.25360053296651797,0.746399467033482,1.0,0.0,0.0
46,188416,0.11880174279212952,0.001220703125,0.48804914951324463,1.0839948654174805,-0.033537786453962326,1.287563681602478,nan,0.24092050631819206,0.7590794936818079,1.0,0.15625,0.0
47,192512,0.13800637423992157,0.0,0.4948691129684448,1.517486810684204,0.044542260468006134,1.3139581680297852,nan,0.2788744810022825,0.7211255189977175,1.0,0.0,0.0
48,196608,0.132991760969162,0.000732421875,0.4992222785949707,1.5088931322097778,-0.015970006585121155,1.3466002941131592,nan,0.2649307569521684,0.7350692430478316,1.0,0.09375,0.0
