update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.48197925090789795,0.0,0.48197925090789795,18.79425811767578,0.021732328459620476,1.36751127243042,5.545179843902588,1.0,0.0,1.0,nan,1.0
2,8192,0.45858344435691833,0.0,0.45858344435691833,13.709908485412598,9.287428110837936e-05,1.3588895797729492,5.545177459716797,1.0,0.0,1.0,nan,1.0
3,12288,0.4504075050354004,0.0,0.4504075050354004,11.58775806427002,0.0406661257147789,1.3210338354110718,5.545176982879639,1.0,0.0,1.0,nan,1.0
4,16384,0.4402567744255066,0.0,0.4402567744255066,11.941713333129883,0.023815393447875977,1.2787587642669678,5.5451765060424805,1.0,0.0,1.0,nan,1.0
5,20480,0.43435922265052795,0.0,0.43435922265052795,11.795733451843262,0.041589029133319855,1.3126156330108643,5.545171737670898,1.0,0.0,1.0,nan,1.0
6,24576,0.43753474950790405,0.0,0.43753474950790405,13.444535255432129,0.03644656762480736,1.326935052871704,5.545169353485107,1.0,0.0,1.0,nan,1.0
7,28672,0.4406096637248993,0.0,0.4406096637248993,15.006139755249023,-0.03059631586074829,1.3714582920074463,5.545164108276367,1.0,0.0,1.0,nan,1.0
8,32768,0.46124163269996643,0.0,0.46124163269996643,17.498428344726562,-0.05852849408984184,1.3511807918548584,5.545140266418457,1.0,0.0,1.0,nan,1.0
9,36864,0.45883989334106445,0.0,0.45883989334106445,17.173168182373047,0.0173451229929924,1.3737517595291138,5.545112609863281,1.0,0.0,1.0,nan,1.0
10,40960,0.4533233642578125,0.0,0.4533233642578125,19.46318817138672,0.002194558270275593,1.3817644119262695,5.545102596282959,1.0,0.0,1.0,nan,1.0
11,45056,0.45117536187171936,0.0,0.45117536187171936,21.606245040893555,0.004472864791750908,1.3725566864013672,5.5450758934021,1.0,0.0,1.0,nan,1.0
12,49152,0.4498087763786316,0.0,0.4498087763786316,21.993783950805664,-0.0035719312727451324,1.3567116260528564,5.544846057891846,1.0,0.0,1.0,nan,1.0
13,53248,0.4427102208137512,0.0,0.4427102208137512,22.51715850830078,-0.011004582047462463,1.3493471145629883,5.544532775878906,1.0,0.0,1.0,nan,1.0
14,57344,0.44374263286590576,0.0,0.44374263286590576,23.235803604125977,-0.044199831783771515,1.3743927478790283,5.543973445892334,1.0,0.0,1.0,nan,1.0
15,61440,0.44898658990859985,0.0,0.44898658990859985,26.50434684753418,-0.02009958028793335,1.3596460819244385,5.542443752288818,1.0,0.0,1.0,nan,1.0
16,65536,0.4668769836425781,0.0,0.4668769836425781,21.887939453125,-0.014514795504510403,1.367377758026123,5.539956092834473,1.0,0.0,1.0,nan,1.0
17,69632,0.45728880167007446,0.0,0.45728880167007446,21.58563995361328,-0.04186948388814926,1.3600168228149414,5.536498546600342,1.0,0.0,1.0,nan,1.0
18,73728,0.4578898251056671,0.0,0.4578898251056671,23.196014404296875,0.016617948189377785,1.3363926410675049,5.525938034057617,1.0,0.0,1.0,nan,1.0
19,77824,0.4559890329837799,0.0,0.4559890329837799,19.359607696533203,0.025908779352903366,1.3202975988388062,5.515568256378174,1.0,0.0,1.0,nan,1.0
20,81920,0.4679984748363495,0.0,0.4679984748363495,18.720348358154297,0.014004035852849483,1.3327934741973877,5.47978401184082,1.0,0.0,1.0,nan,1.0
21,86016,0.4719497561454773,0.0,0.4719497561454773,18.139429092407227,-0.02899802103638649,1.3481454849243164,5.4390549659729,1.0,0.0,1.0,nan,1.0
22,90112,0.47778505086898804,0.0,0.47778505086898804,17.992633819580078,-0.01827704906463623,1.3613159656524658,5.372009754180908,1.0,0.0,1.0,nan,1.0
23,94208,0.4893304109573364,0.0,0.4893304109573364,21.695945739746094,-0.023901786655187607,1.3690036535263062,5.324204444885254,1.0,0.0,1.0,nan,1.0
24,98304,0.4942646324634552,0.0,0.4942646324634552,24.11308479309082,-0.059455178678035736,1.3651974201202393,5.296746253967285,1.0,0.0,1.0,nan,1.0
25,102400,0.48090749979019165,0.0,0.48090749979019165,26.51536750793457,-0.0032834727317094803,1.3647180795669556,5.29224157333374,1.0,0.0,1.0,nan,1.0
26,106496,0.47453951835632324,0.0,0.47453951835632324,27.94402503967285,0.05307185649871826,1.375544548034668,5.318263053894043,1.0,0.0,1.0,nan,1.0
27,110592,0.47121208906173706,0.0,0.47121208906173706,23.676240921020508,-0.021278386935591698,1.352294683456421,5.333014488220215,1.0,0.0,1.0,nan,1.0
28,114688,0.476220041513443,0.0,0.476220041513443,25.14048957824707,-0.002878837287425995,1.338068962097168,5.313449859619141,1.0,0.0,1.0,nan,1.0
29,118784,0.46691176295280457,0.0,0.46691176295280457,25.538650512695312,0.024033058434724808,1.3038480281829834,5.278550148010254,1.0,0.0,1.0,nan,1.0
30,122880,0.46249622106552124,0.0,0.46249622106552124,26.103164672851562,-0.026000242680311203,1.2390310764312744,5.300312042236328,1.0,0.0,1.0,nan,1.0
31,126976,0.46256887912750244,0.0,0.46256887912750244,23.556346893310547,-0.09443482756614685,1.2809381484985352,5.299121379852295,1.0,0.0,1.0,nan,1.0
32,131072,0.4689348340034485,0.0,0.4689348340034485,25.075714111328125,0.02932637929916382,1.3299586772918701,5.284867286682129,1.0,0.0,1.0,nan,1.0
33,135168,0.47370612621307373,0.0,0.47370612621307373,24.18138313293457,-0.01991698145866394,1.3091049194335938,5.278539657592773,1.0,0.0,1.0,nan,1.0
34,139264,0.4820824861526489,0.0,0.4820824861526489,21.486169815063477,-0.02304813079535961,1.2970032691955566,5.298986911773682,1.0,0.0,1.0,nan,1.0
35,143360,0.4693758487701416,0.0,0.4693758487701416,21.49947166442871,0.025027180090546608,1.257051706314087,5.2935967445373535,1.0,0.0,1.0,nan,1.0
36,147456,0.45830249786376953,0.0,0.45830249786376953,26.003610610961914,0.024982266128063202,1.3117871284484863,5.331733703613281,1.0,0.0,1.0,nan,1.0
37,151552,0.4642406702041626,0.0,0.4642406702041626,25.42278480529785,-0.024690594524145126,1.347458839416504,5.29856538772583,1.0,0.0,1.0,nan,1.0
38,155648,0.4692780077457428,0.0,0.4692780077457428,29.477384567260742,-0.004622859880328178,1.330312728881836,5.2759318351745605,1.0,0.0,1.0,nan,1.0
39,159744,0.47055381536483765,0.0,0.47055381536483765,26.005876541137695,-0.005447037518024445,1.3153331279754639,5.2941365242004395,1.0,0.0,1.0,nan,1.0
40,163840,0.4686993956565857,0.0,0.4686993956565857,28.52584457397461,0.016512755304574966,1.3080259561538696,5.279107093811035,1.0,0.0,1.0,nan,1.0
41,167936,0.4657684564590454,0.0,0.4657684564590454,26.76514434814453,-0.014550810679793358,1.3278794288635254,5.279921531677246,1.0,0.0,1.0,nan,1.0
42,172032,0.4671684801578522,0.0,0.4671684801578522,27.06399154663086,0.03381139039993286,1.3188700675964355,5.280787944793701,1.0,0.0,1.0,nan,1.0
43,176128,0.4644969403743744,0.0,0.4644969403743744,25.6754093170166,-0.030098162591457367,1.3070199489593506,5.277666091918945,1.0,0.0,1.0,nan,1.0
44,180224,0.4766559898853302,0.0,0.4766559898853302,25.246801376342773,-0.0208158977329731,1.3192325830459595,5.277949810028076,1.0,0.0,1.0,nan,1.0
45,184320,0.47530823945999146,0.0,0.47530823945999146,25.558677673339844,-0.01126415841281414,1.3494677543640137,5.282158374786377,1.0,0.0,1.0,nan,1.0
46,188416,0.4936144948005676,0.0,0.4936144948005676,22.87569808959961,0.0015349537134170532,1.3583180904388428,5.293338775634766,1.0,0.0,1.0,nan,1.0
47,192512,0.48260563611984253,0.0,0.48260563611984253,25.008594512939453,-0.027824513614177704,1.3661954402923584,5.264204025268555,1.0,0.0,1.0,nan,1.0
48,196608,0.49069085717201233,0.0,0.49069085717201233,24.076066970825195,-0.0414070300757885,1.341556429862976,5.270109176635742,1.0,0.0,1.0,nan,1.0
