update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.4590384066104889,0.000244140625,0.48294129967689514,18.214765548706055,-0.03663079813122749,1.3753015995025635,1.4521052837371826,0.95,0.05,1.0,0.03125,0.0
2,8192,0.41548365354537964,0.000732421875,0.4595581591129303,11.897369384765625,-0.028622105717658997,1.3657008409500122,1.4194904565811157,0.9025,0.0975,1.0,0.09375,0.0
3,12288,0.3851095139980316,0.000244140625,0.44888803362846375,8.496125221252441,0.01057512778788805,1.3302063941955566,1.4619649648666382,0.857375,0.142625,1.0,0.03125,0.0
4,16384,0.3622376322746277,0.000244140625,0.4444330930709839,7.454819679260254,0.010278480127453804,1.3122384548187256,1.4004263877868652,0.81450625,0.18549375,1.0,0.03125,0.0
5,20480,0.36013320088386536,0.0,0.4371710419654846,7.767215728759766,-0.021851979196071625,1.3284412622451782,1.411705732345581,0.8237809375,0.1762190625,1.0,0.0,0.0
6,24576,0.3641512393951416,0.0,0.437370628118515,9.448267936706543,0.028056763112545013,1.344611644744873,1.3738746643066406,0.832591890625,0.16740810937499997,1.0,0.0,0.0
7,28672,0.37016087770462036,0.0,0.4401634931564331,11.913626670837402,-0.03914450854063034,1.3491069078445435,1.405040979385376,0.8409622960937501,0.15903770390624997,1.0,0.0,0.0
8,32768,0.36882519721984863,0.000244140625,0.46135252714157104,13.637933731079102,-0.01618858054280281,1.3446952104568481,1.403782606124878,0.7989141812890626,0.20108581871093745,1.0,0.03125,0.0
9,36864,0.3693283200263977,0.0,0.45654231309890747,11.999103546142578,-0.04347389563918114,1.3486027717590332,1.3763232231140137,0.8089684722246094,0.19103152777539056,1.0,0.0,0.0
10,40960,0.36769816279411316,0.0,0.449223130941391,13.362863540649414,0.03697749227285385,1.3606836795806885,1.3689844608306885,0.818520048613379,0.181479951386621,1.0,0.0,0.0
11,45056,0.3498380184173584,0.0009765625,0.44864213466644287,15.055634498596191,-0.020753875374794006,1.3434511423110962,1.3737224340438843,0.77759404618271,0.22240595381728995,1.0,0.125,0.0
12,49152,0.35075488686561584,0.0,0.44471725821495056,13.750648498535156,0.02105605974793434,1.3726338148117065,1.4240144491195679,0.7887143438735745,0.21128565612642544,1.0,0.0,0.0
13,53248,0.33298516273498535,0.000244140625,0.4440818428993225,13.539949417114258,-0.03836878016591072,1.370558500289917,1.3656176328659058,0.7492786266798959,0.2507213733201042,1.0,0.03125,0.0
