metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,1.0
coord_only_goal_vs_crtr_learned_goal,1.0
coord_only_goal_vs_idm_learned_goal,1.0
coord_only_goal_vs_crtr_online_joint_goal,1.0
coord_only_goal_vs_idm_online_joint_goal,1.0
coord_plus_nuisance_goal_vs_crtr_learned_goal,0.0
coord_plus_nuisance_goal_vs_idm_learned_goal,0.0
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,0.0
coord_plus_nuisance_goal_vs_idm_online_joint_goal,0.0
crtr_learned_goal_vs_idm_learned_goal,1.0
crtr_learned_goal_vs_crtr_online_joint_goal,1.0
crtr_learned_goal_vs_idm_online_joint_goal,0.01167746440740225
idm_learned_goal_vs_crtr_online_joint_goal,0.009288118285886382
idm_learned_goal_vs_idm_online_joint_goal,1.5255152696624918e-10
crtr_online_joint_goal_vs_idm_online_joint_goal,0.1432123639076892
