metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,1.0
coord_plus_nuisance_vs_idm_learned,1.0
coord_plus_nuisance_vs_crtr_online_joint,1.0
coord_plus_nuisance_vs_idm_online_joint,0.03425947260888429
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,8.158828932458562e-07
crtr_learned_vs_idm_online_joint,0.0
idm_learned_vs_crtr_online_joint,0.0
idm_learned_vs_idm_online_joint,0.0
crtr_online_joint_vs_idm_online_joint,9.505340272664142e-07
