rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.0,0.0,0.0,0.0043478417210280895,0.0,1.0,0.0017157284310087562,0.00015219044871628284,1,4096,70.62068965517241,100.0
0.0,0.0,0.0,0.0018836023518815637,0.0,1.0,0.000572807330172509,0.00012746940774377435,5,20480,353.1034482758621,100.0
0.0,0.0,0.0,0.0013707623584195971,0.0,1.0,0.00014885970449540764,4.507416451815516e-05,10,40960,706.2068965517242,100.0
0.0,0.0,0.0,0.0011584680760279298,0.0,1.0,4.920890205539763e-05,2.166495323763229e-05,15,61440,1059.3103448275863,100.0
0.0,0.0,0.0,0.0010301193688064814,0.0,1.0,7.660530536668375e-05,7.642269338248298e-05,20,81920,1412.4137931034484,100.0
0.0,0.0,0.0,0.0009031902882270515,0.0,1.0,0.00012422428699210286,0.0001382928021484986,25,102400,1765.5172413793102,100.0
0.0,0.0,0.0,0.000833408790640533,0.0,1.0,7.292800728464499e-05,7.83374416641891e-05,30,122880,2118.6206896551726,100.0
0.0,0.0,0.0,0.0007885980885475874,0.0,1.0,0.00015845068264752626,0.00016184763808269054,35,143360,2471.7241379310344,100.0
0.0,0.0,0.0,0.0007224308792501688,0.0,1.0,5.327805411070585e-05,3.772171476157382e-05,40,163840,2824.8275862068967,100.0
0.0,0.0,0.0,0.0006932254182174802,0.0,1.0,0.0003050544473808259,0.00033728370908647776,45,184320,3177.9310344827586,100.0
0.0,0.0,0.0,0.0006869962089695036,0.0,1.0,0.0005231380346231163,0.0005580959841609001,48,196608,3389.793103448276,100.0
