update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5347627401351929,0.003173828125,0.5315889120101929,24.542402267456055,0.012436594814062119,1.372126579284668,nan,1.0,0.0,1.0,0.40625,0.0
2,8192,0.4995037913322449,0.0009765625,0.4985272288322449,19.726318359375,-0.01962517760694027,1.3421437740325928,nan,1.0,0.0,1.0,0.125,0.0
3,12288,0.49514156579971313,0.0009765625,0.49416500329971313,15.589921951293945,0.06849026679992676,1.3419108390808105,nan,1.0,0.0,1.0,0.09375,0.0
4,16384,0.49158531427383423,0.00146484375,0.49012047052383423,15.662933349609375,-0.021030060946941376,1.3527486324310303,nan,1.0,0.0,1.0,0.1875,0.0
5,20480,0.49539655447006226,0.001220703125,0.49417585134506226,16.398155212402344,0.03503549098968506,1.3747005462646484,nan,1.0,0.0,1.0,0.125,0.0
6,24576,0.5015805959701538,0.00146484375,0.5001157522201538,17.573291778564453,-2.4199485778808594e-05,1.3607908487319946,nan,1.0,0.0,1.0,0.1875,0.0
7,28672,0.49581974744796753,0.001220703125,0.49459904432296753,18.056171417236328,-0.06705425679683685,1.3436977863311768,nan,1.0,0.0,1.0,0.15625,0.0
8,32768,0.4978181719779968,0.0009765625,0.4968416094779968,18.869125366210938,-0.01481680292636156,1.3566930294036865,nan,1.0,0.0,1.0,0.125,0.0
9,36864,0.5005344748497009,0.000244140625,0.5002903938293457,19.751888275146484,0.03701934590935707,1.3671541213989258,nan,1.0,0.0,1.0,0.03125,0.0
10,40960,0.5032599568367004,0.001708984375,0.5015509724617004,21.87234115600586,-0.02339078299701214,1.368747353553772,nan,1.0,0.0,1.0,0.15625,0.0
11,45056,0.502252995967865,0.0009765625,0.501276433467865,21.4364013671875,0.00911523774266243,1.3258106708526611,nan,1.0,0.0,1.0,0.09375,0.0
12,49152,0.49891629815101624,0.000732421875,0.49818387627601624,24.29110336303711,0.03589475899934769,1.3450734615325928,nan,1.0,0.0,1.0,0.09375,0.0
13,53248,0.4995417296886444,0.001220703125,0.4983210265636444,25.364477157592773,-0.004000967368483543,1.3587646484375,nan,1.0,0.0,1.0,0.125,0.0
14,57344,0.4920502305030823,0.000244140625,0.4918060898780823,27.679752349853516,-0.016623491421341896,1.3519450426101685,nan,1.0,0.0,1.0,0.03125,0.0
15,61440,0.4940757751464844,0.000732421875,0.4933433532714844,27.752288818359375,0.010934763588011265,1.3636960983276367,nan,1.0,0.0,1.0,0.09375,0.0
16,65536,0.5062595009803772,0.001220703125,0.5050387978553772,31.014528274536133,-0.023007480427622795,1.3557395935058594,nan,1.0,0.0,1.0,0.15625,0.0
17,69632,0.5084616541862488,0.0009765625,0.5074850916862488,28.879188537597656,-0.017773360013961792,1.3475680351257324,nan,1.0,0.0,1.0,0.125,0.0
18,73728,0.50020432472229,0.00048828125,0.49971604347229004,29.159568786621094,0.016779810190200806,1.353485345840454,nan,1.0,0.0,1.0,0.0625,0.0
19,77824,0.5066688060760498,0.00146484375,0.5052039623260498,29.65506935119629,0.0025485195219516754,1.3334667682647705,nan,1.0,0.0,1.0,0.1875,0.0
20,81920,0.49847808480262756,0.00048828125,0.49798980355262756,27.956817626953125,0.006615146994590759,1.3371596336364746,nan,1.0,0.0,1.0,0.0625,0.0
21,86016,0.49801886081695557,0.00048828125,0.49753057956695557,26.79193878173828,-0.010671839118003845,1.3582512140274048,nan,1.0,0.0,1.0,0.0625,0.0
22,90112,0.49514487385749817,0.0009765625,0.49416831135749817,29.723751068115234,0.04300929605960846,1.3332712650299072,nan,1.0,0.0,1.0,0.125,0.0
23,94208,0.4957987666130066,0.00048828125,0.4953104853630066,27.687406539916992,-0.012303423136472702,1.3343145847320557,nan,1.0,0.0,1.0,0.03125,0.0
24,98304,0.5081295371055603,0.00146484375,0.5066646933555603,29.689990997314453,0.04158904403448105,1.2959288358688354,nan,1.0,0.0,1.0,0.1875,0.0
25,102400,0.49787580966949463,0.0009765625,0.49689924716949463,25.92786979675293,-0.030559083446860313,1.2450814247131348,nan,1.0,0.0,1.0,0.125,0.0
26,106496,0.487909197807312,0.000244140625,0.487665057182312,26.216867446899414,-0.009110840037465096,1.1625123023986816,nan,1.0,0.0,1.0,0.03125,0.0
27,110592,0.4778820872306824,0.000732421875,0.4771496653556824,25.949939727783203,-0.0032901312224566936,1.2258586883544922,nan,1.0,0.0,1.0,0.0625,0.0
28,114688,0.48805108666419983,0.000732421875,0.48731866478919983,26.931766510009766,-0.02766917087137699,1.3167048692703247,nan,1.0,0.0,1.0,0.09375,0.0
29,118784,0.5001431107521057,0.00146484375,0.4986782670021057,28.696887969970703,-0.013015289790928364,1.3066680431365967,nan,1.0,0.0,1.0,0.1875,0.0
30,122880,0.49745187163352966,0.0009765625,0.49647530913352966,27.511646270751953,-0.0048478590324521065,1.3558307886123657,nan,1.0,0.0,1.0,0.125,0.0
31,126976,0.5054764747619629,0.001708984375,0.5037674903869629,29.337106704711914,0.0014446564018726349,1.3393073081970215,nan,1.0,0.0,1.0,0.1875,0.0
32,131072,0.5067590475082397,0.001708984375,0.5050500631332397,30.162939071655273,-0.014457911252975464,1.3581953048706055,nan,1.0,0.0,1.0,0.1875,0.0
33,135168,0.5043801069259644,0.001708984375,0.5026711225509644,31.464881896972656,0.0051147714257240295,1.3671036958694458,nan,1.0,0.0,1.0,0.1875,0.0
34,139264,0.5017819404602051,0.000732421875,0.5010495185852051,28.465370178222656,-0.03684226796030998,1.3699581623077393,nan,1.0,0.0,1.0,0.09375,0.0
35,143360,0.5052017569541931,0.00146484375,0.5037369132041931,31.04648780822754,-0.0022389739751815796,1.3705618381500244,nan,1.0,0.0,1.0,0.1875,0.0
36,147456,0.5008690357208252,0.00048828125,0.5003807544708252,30.14297103881836,0.01850433461368084,1.3400485515594482,nan,1.0,0.0,1.0,0.0625,0.0
37,151552,0.49606868624687195,0.000244140625,0.49582454562187195,29.479312896728516,0.01124774944037199,1.3289694786071777,nan,1.0,0.0,1.0,0.03125,0.0
38,155648,0.49868133664131165,0.00048828125,0.49819305539131165,30.78805160522461,0.02335391938686371,1.3463962078094482,nan,1.0,0.0,1.0,0.0625,0.0
39,159744,0.501270055770874,0.00146484375,0.4998052418231964,27.836280822753906,-0.043136946856975555,1.3729467391967773,nan,1.0,0.0,1.0,0.1875,0.0
40,163840,0.5090746879577637,0.00146484375,0.5076098442077637,28.608356475830078,-0.0199904702603817,1.3696461915969849,nan,1.0,0.0,1.0,0.1875,0.0
41,167936,0.5038770437240601,0.00146484375,0.5024121403694153,29.85839080810547,-0.03757240250706673,1.3482601642608643,nan,1.0,0.0,1.0,0.1875,0.0
42,172032,0.4995717406272888,0.000732421875,0.4988393187522888,26.774688720703125,-0.02665688470005989,1.364821195602417,nan,1.0,0.0,1.0,0.09375,0.0
43,176128,0.4988780617713928,0.0,0.4988780617713928,28.039127349853516,0.029300760477781296,1.3387266397476196,nan,1.0,0.0,1.0,0.0,0.0
44,180224,0.4993743300437927,0.000244140625,0.4991301894187927,29.74787139892578,-0.02769605442881584,1.3318885564804077,nan,1.0,0.0,1.0,0.03125,0.0
45,184320,0.49934881925582886,0.000732421875,0.49861639738082886,27.343578338623047,0.016157638281583786,1.3644906282424927,nan,1.0,0.0,1.0,0.0625,0.0
