update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5037829875946045,0.0,0.5037829875946045,23.756072998046875,0.004402773454785347,1.3750872611999512,nan,1.0,0.0,1.0,0.0,0.0
2,8192,0.48597291111946106,0.0,0.48597291111946106,20.150188446044922,0.004995549097657204,1.365218162536621,nan,1.0,0.0,1.0,0.0,0.0
3,12288,0.4721537232398987,0.0,0.4721537232398987,15.563283920288086,0.04602065682411194,1.3670586347579956,nan,1.0,0.0,1.0,0.0,0.0
4,16384,0.47371619939804077,0.00048828125,0.47322791814804077,16.490642547607422,-0.027764933183789253,1.3591418266296387,nan,1.0,0.0,1.0,0.0625,0.0
5,20480,0.4764254093170166,0.00048828125,0.4759371280670166,16.345760345458984,-0.02108142152428627,1.3593862056732178,nan,1.0,0.0,1.0,0.0625,0.0
6,24576,0.47329065203666687,0.000244140625,0.47304651141166687,15.747686386108398,0.03248028829693794,1.3260284662246704,nan,1.0,0.0,1.0,0.03125,0.0
7,28672,0.47119802236557007,0.000732421875,0.47046560049057007,16.983745574951172,-0.032514188438653946,1.2839646339416504,nan,1.0,0.0,1.0,0.09375,0.0
8,32768,0.4857430160045624,0.000244140625,0.4854988753795624,17.61685562133789,-0.00652519054710865,1.3040695190429688,nan,1.0,0.0,1.0,0.03125,0.0
9,36864,0.48499542474746704,0.000244140625,0.48475128412246704,16.01812744140625,-0.0030647478997707367,1.3187352418899536,nan,1.0,0.0,1.0,0.03125,0.0
10,40960,0.48539355397224426,0.00048828125,0.48490527272224426,17.35244369506836,0.023652203381061554,1.3341540098190308,nan,1.0,0.0,1.0,0.0625,0.0
11,45056,0.4805465340614319,0.0,0.4805465340614319,17.947935104370117,0.0138234319165349,1.3360835313796997,nan,1.0,0.0,1.0,0.0,0.0
12,49152,0.4820430874824524,0.0,0.4820430874824524,19.874971389770508,-0.03577060252428055,1.329620599746704,nan,1.0,0.0,1.0,0.0,0.0
13,53248,0.4855876564979553,0.0,0.4855876564979553,20.193126678466797,-0.015276998281478882,1.3115464448928833,nan,1.0,0.0,1.0,0.0,0.0
