update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5037829875946045,0.0,0.5037829875946045,23.756072998046875,0.004402773454785347,1.3750872611999512,nan,1.0,0.0,1.0,nan,0.0
2,8192,0.48597291111946106,0.0,0.48597291111946106,20.150188446044922,0.004995549097657204,1.365218162536621,nan,1.0,0.0,1.0,nan,0.0
3,12288,0.4721537232398987,0.0,0.4721537232398987,15.563283920288086,0.04602065682411194,1.3670586347579956,nan,1.0,0.0,1.0,nan,0.0
4,16384,0.47322791814804077,0.0,0.47322791814804077,16.47566032409668,-0.028459111228585243,1.3592013120651245,nan,1.0,0.0,1.0,nan,0.0
5,20480,0.4757996201515198,0.0,0.4757996201515198,16.328201293945312,-0.021829713135957718,1.3595287799835205,nan,1.0,0.0,1.0,nan,0.0
6,24576,0.473067045211792,0.0,0.473067045211792,15.753243446350098,0.032777152955532074,1.32590913772583,nan,1.0,0.0,1.0,nan,0.0
7,28672,0.4710441529750824,0.0,0.4710441529750824,17.0474853515625,-0.03283344954252243,1.2864387035369873,nan,1.0,0.0,1.0,nan,0.0
8,32768,0.4854300320148468,0.0,0.4854300320148468,17.574382781982422,-0.006723184138536453,1.3076342344284058,nan,1.0,0.0,1.0,nan,0.0
9,36864,0.48517701029777527,0.0,0.48517701029777527,15.932437896728516,0.00032095611095428467,1.3234158754348755,nan,1.0,0.0,1.0,nan,0.0
10,40960,0.4856501817703247,0.0,0.4856501817703247,17.347332000732422,0.019415348768234253,1.3346117734909058,nan,1.0,0.0,1.0,nan,0.0
11,45056,0.48009806871414185,0.0,0.48009806871414185,17.90032196044922,0.016235675662755966,1.3341699838638306,nan,1.0,0.0,1.0,nan,0.0
12,49152,0.48206502199172974,0.0,0.48206502199172974,19.989791870117188,-0.03249327838420868,1.302105188369751,nan,1.0,0.0,1.0,nan,0.0
13,53248,0.48250406980514526,0.0,0.48250406980514526,19.94124984741211,-0.021197646856307983,1.3038315773010254,nan,1.0,0.0,1.0,nan,0.0
14,57344,0.479083389043808,0.0,0.479083389043808,23.04873275756836,0.0397895872592926,1.3374459743499756,nan,1.0,0.0,1.0,nan,0.0
15,61440,0.47401243448257446,0.0,0.47401243448257446,25.968257904052734,-0.025766931474208832,1.3597561120986938,nan,1.0,0.0,1.0,nan,0.0
16,65536,0.4903808534145355,0.0,0.4903808534145355,22.629623413085938,-0.004406997002661228,1.363616943359375,nan,1.0,0.0,1.0,nan,0.0
17,69632,0.4877587854862213,0.0,0.4877587854862213,24.102842330932617,-0.018399152904748917,1.3709214925765991,nan,1.0,0.0,1.0,nan,0.0
18,73728,0.47699174284935,0.0,0.47699174284935,27.745929718017578,0.005657069385051727,1.347575306892395,nan,1.0,0.0,1.0,nan,0.0
19,77824,0.4700968265533447,0.0,0.4700968265533447,27.180622100830078,-0.0007424652576446533,1.3364579677581787,nan,1.0,0.0,1.0,nan,0.0
20,81920,0.47261467576026917,0.0,0.47261467576026917,27.630794525146484,-0.00999562256038189,1.3427138328552246,nan,1.0,0.0,1.0,nan,0.0
21,86016,0.46846526861190796,0.0,0.46846526861190796,28.40473747253418,-0.024837806820869446,1.342007040977478,nan,1.0,0.0,1.0,nan,0.0
22,90112,0.47586965560913086,0.0,0.47586965560913086,27.83956527709961,0.0028408169746398926,1.2997771501541138,nan,1.0,0.0,1.0,nan,0.0
23,94208,0.4837452471256256,0.0,0.4837452471256256,30.423988342285156,-0.0010650800541043282,1.286922812461853,nan,1.0,0.0,1.0,nan,0.0
