metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,0.001600546528552682
coord_plus_nuisance_vs_crtr_learned,1.0
coord_plus_nuisance_vs_idm_learned,1.0
coord_plus_nuisance_vs_crtr_online_joint,1.0
coord_plus_nuisance_vs_idm_online_joint,1.4432899320127035e-14
crtr_learned_vs_idm_learned,0.587446970227897
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,0.0
idm_learned_vs_crtr_online_joint,1.0
idm_learned_vs_idm_online_joint,3.5058433933699007e-09
crtr_online_joint_vs_idm_online_joint,0.0
