metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,2.973887802681929e-11
coord_plus_nuisance_vs_idm_learned,0.0001693887052032217
coord_plus_nuisance_vs_crtr_online_joint,8.123306471929936e-10
coord_plus_nuisance_vs_idm_online_joint,2.2114030162612153e-08
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,1.1664635199970519e-06
idm_learned_vs_idm_online_joint,0.0004153271214755172
crtr_online_joint_vs_idm_online_joint,1.0
