update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.49266889691352844,0.00341796875,0.5150009393692017,19.72205352783203,-0.011507133953273296,1.3805062770843506,nan,0.95,0.05,1.0,0.28125,0.0
2,8192,0.4506670832633972,0.001708984375,0.4974605143070221,12.752617835998535,0.0770479366183281,1.3638813495635986,nan,0.9025,0.0975,1.0,0.21875,0.0
3,12288,0.41439372301101685,0.00048828125,0.48275890946388245,10.973235130310059,-0.031713757663965225,1.3529014587402344,nan,0.857375,0.142625,1.0,0.0625,0.0
4,16384,0.39521509408950806,0.00048828125,0.48462098836898804,9.339664459228516,0.0268576517701149,1.3492215871810913,nan,0.81450625,0.18549375,1.0,0.0625,0.0
5,20480,0.3732346296310425,0.0009765625,0.48108971118927,9.080702781677246,-0.0076568229123950005,1.3033517599105835,nan,0.7737809375,0.2262190625,1.0,0.125,0.0
6,24576,0.3504027724266052,0.0009765625,0.47535037994384766,9.899307250976562,0.060153327882289886,1.3180301189422607,nan,0.735091890625,0.264908109375,1.0,0.09375,0.0
7,28672,0.32830265164375305,0.000244140625,0.4697708487510681,9.96317195892334,0.01566024124622345,1.2785277366638184,nan,0.6983372960937501,0.30166270390624994,1.0,0.03125,0.0
8,32768,0.31910568475723267,0.00146484375,0.4787927269935608,10.82333755493164,-0.010250922292470932,1.2768511772155762,nan,0.6634204312890626,0.3365795687109374,1.0,0.1875,0.0
9,36864,0.3056015074253082,0.00048828125,0.4841150939464569,8.889472007751465,0.0031753461807966232,1.249260425567627,nan,0.6302494097246094,0.36975059027539053,1.0,0.0625,0.0
10,40960,0.28574371337890625,0.00048828125,0.47642868757247925,7.707208633422852,-0.017063986510038376,1.2723608016967773,nan,0.598736939238379,0.401263060761621,1.0,0.0625,0.0
11,45056,0.2710975110530853,0.000732421875,0.4753253161907196,7.062026023864746,-0.02005268819630146,1.3200852870941162,nan,0.5688000922764601,0.4311999077235399,1.0,0.09375,0.0
12,49152,0.25791874527931213,0.000244140625,0.47685718536376953,7.786683082580566,0.02830597572028637,1.3351982831954956,nan,0.5403600876626371,0.45963991233736284,1.0,0.03125,0.0
13,53248,0.24633899331092834,0.000732421875,0.47844621539115906,7.328660011291504,0.008093712851405144,1.3577024936676025,nan,0.5133420832795053,0.4866579167204947,1.0,0.09375,0.0
14,57344,0.2331455647945404,0.00048828125,0.47707444429397583,7.175481796264648,-0.00037412624806165695,1.3573856353759766,nan,0.48767497911553004,0.51232502088447,1.0,0.0625,0.0
15,61440,0.21982567012310028,0.000244140625,0.4739600419998169,6.863213539123535,-0.03824837505817413,1.360120415687561,nan,0.4632912301597536,0.5367087698402464,1.0,0.03125,0.0
16,65536,0.21416065096855164,0.000244140625,0.48603397607803345,7.108210563659668,0.01456527505069971,1.361673355102539,nan,0.44012666865176586,0.5598733313482341,1.0,0.03125,0.0
17,69632,0.203006774187088,0.000244140625,0.48493847250938416,5.952985763549805,0.014987792819738388,1.350046157836914,nan,0.4181203352191776,0.5818796647808224,1.0,0.03125,0.0
