update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.4954431354999542,0.0,0.4954431354999542,23.03769302368164,0.004306962713599205,1.3751505613327026,nan,1.0,0.0,1.0,0.0,0.0
2,8192,0.4761849641799927,0.0,0.4761849641799927,18.954936981201172,0.0059453584253787994,1.3660777807235718,nan,1.0,0.0,1.0,0.0,0.0
3,12288,0.4657284617424011,0.0,0.4657284617424011,15.118181228637695,0.045061685144901276,1.3663547039031982,nan,1.0,0.0,1.0,0.0,0.0
4,16384,0.4449554681777954,0.00048828125,0.46786022186279297,13.755824089050293,-0.0241693127900362,1.3547372817993164,nan,0.95,0.05,1.0,0.0625,0.0
5,20480,0.4235028624534607,0.000732421875,0.46844372153282166,11.591410636901855,-0.004285641014575958,1.3546295166015625,nan,0.9025,0.0975,1.0,0.09375,0.0
6,24576,0.4017614722251892,0.000244140625,0.46830999851226807,11.420791625976562,-0.03863855451345444,1.3323631286621094,nan,0.857375,0.142625,1.0,0.03125,0.0
7,28672,0.3820289969444275,0.000732421875,0.4681321978569031,11.213318824768066,-0.02566543221473694,1.340667963027954,nan,0.81450625,0.18549375,1.0,0.09375,0.0
8,32768,0.37555524706840515,0.000244140625,0.48503533005714417,11.021923065185547,-0.012428844347596169,1.3173424005508423,nan,0.7737809375,0.2262190625,1.0,0.03125,0.0
9,36864,0.3542746305465698,0.000244140625,0.4816139340400696,10.57124137878418,-0.008262394927442074,1.3284292221069336,nan,0.735091890625,0.264908109375,1.0,0.03125,0.0
10,40960,0.33165132999420166,0.000244140625,0.4745660424232483,10.221116065979004,0.012526370584964752,1.3041355609893799,nan,0.6983372960937501,0.30166270390624994,1.0,0.03125,0.0
11,45056,0.3111628592014313,0.000244140625,0.4686601758003235,9.043157577514648,-0.026447702199220657,1.3285953998565674,nan,0.6634204312890626,0.3365795687109374,1.0,0.03125,0.0
12,49152,0.31322360038757324,0.0,0.4604540467262268,10.367695808410645,-0.0028857174329459667,1.3568956851959229,nan,0.6802494097246095,0.31975059027539054,1.0,0.0,0.0
13,53248,0.32426950335502625,0.0,0.4657458961009979,11.53945541381836,0.0013375021517276764,1.3491392135620117,nan,0.6962369392383789,0.303763060761621,1.0,0.0,0.0
14,57344,0.307483971118927,0.00048828125,0.464142769575119,12.029208183288574,0.00529180932790041,1.3654594421386719,nan,0.6614250922764601,0.33857490772353993,1.0,0.0625,0.0
15,61440,0.2894381880760193,0.000244140625,0.4602407217025757,13.041099548339844,0.010384613648056984,1.369996190071106,nan,0.6283538376626371,0.3716461623373629,1.0,0.03125,0.0
16,65536,0.3144245147705078,0.0,0.4860209822654724,10.997547149658203,0.05074477195739746,1.368920087814331,nan,0.6469361457795053,0.35306385422049474,1.0,0.0,0.0
17,69632,0.29328668117523193,0.000244140625,0.4768103063106537,11.34929084777832,0.030154842883348465,1.3461077213287354,nan,0.6145893384905301,0.38541066150946995,1.0,0.03125,0.0
18,73728,0.295136958360672,0.0,0.46561864018440247,10.479267120361328,-0.06036895141005516,1.322629690170288,nan,0.6338598715660035,0.36614012843399646,1.0,0.0,0.0
19,77824,0.30021554231643677,0.0,0.4603354334831238,10.765531539916992,0.016975877806544304,1.3207248449325562,nan,0.6521668779877035,0.3478331220122966,1.0,0.0,0.0
20,81920,0.31450849771499634,0.0,0.46972519159317017,11.479476928710938,0.02282104454934597,1.2867960929870605,nan,0.6695585340883182,0.3304414659116818,1.0,0.0,0.0
21,86016,0.31831100583076477,0.0,0.46395567059516907,10.561843872070312,0.004005542024970055,1.2357254028320312,nan,0.6860806073839023,0.3139193926160977,1.0,0.0,0.0
22,90112,0.32454487681388855,0.0,0.46246182918548584,10.397371292114258,-0.009417608380317688,1.2347800731658936,nan,0.7017765770147072,0.2982234229852928,1.0,0.0,0.0
23,94208,0.34550940990448,0.0,0.482092022895813,10.603937149047852,-0.04291658475995064,1.285302758216858,nan,0.7166877481639718,0.28331225183602815,1.0,0.0,0.0
24,98304,0.35350751876831055,0.0,0.4836914539337158,8.890970230102539,-0.021444236859679222,1.3147716522216797,nan,0.7308533607557732,0.2691466392442267,1.0,0.0,0.0
25,102400,0.35701891779899597,0.0,0.4796638488769531,8.832308769226074,-0.010428216308355331,1.353161334991455,nan,0.7443106927179846,0.2556893072820154,1.0,0.0,0.0
26,106496,0.353293240070343,0.0,0.4666430950164795,12.260009765625,0.018523825332522392,1.3770365715026855,nan,0.7570951580820854,0.24290484191791462,1.0,0.0,0.0
27,110592,0.33679282665252686,0.00048828125,0.46758294105529785,13.73441219329834,-0.04638572409749031,1.378115177154541,nan,0.7192404001779811,0.28075959982201887,1.0,0.0625,0.0
28,114688,0.34303051233291626,0.0,0.4678039252758026,12.885063171386719,-0.005556616932153702,1.377440094947815,nan,0.7332783801690821,0.2667216198309179,1.0,0.0,0.0
29,118784,0.34875956177711487,0.0,0.4671213626861572,14.925748825073242,0.01833970472216606,1.369232416152954,nan,0.746614461160628,0.253385538839372,1.0,0.0,0.0
30,122880,0.33138254284858704,0.000244140625,0.46686312556266785,19.043621063232422,0.00794515572488308,1.3594207763671875,nan,0.7092837381025967,0.29071626189740335,1.0,0.03125,0.0
31,126976,0.32949596643447876,0.0009765625,0.4875480830669403,14.64705753326416,-0.04493175819516182,1.3495426177978516,nan,0.6738195511974668,0.32618044880253316,1.0,0.125,0.0
32,131072,0.3057054281234741,0.00048828125,0.47680601477622986,12.746309280395508,-0.018154075369238853,1.3302534818649292,nan,0.6401285736375935,0.3598714263624065,1.0,0.0625,0.0
33,135168,0.2899046540260315,0.00048828125,0.475918173789978,11.72443675994873,-0.005539886653423309,1.3045220375061035,nan,0.6081221449557139,0.3918778550442861,1.0,0.0625,0.0
34,139264,0.29486995935440063,0.0,0.4697505235671997,9.348812103271484,-0.028034627437591553,1.3233540058135986,nan,0.6277160377079283,0.3722839622920718,1.0,0.0,0.0
35,143360,0.2823888063430786,0.00048828125,0.4727255403995514,9.298582077026367,0.022437863051891327,1.3224529027938843,nan,0.5963302358225319,0.40366976417746814,1.0,0.0625,0.0
36,147456,0.2694630026817322,0.000244140625,0.47522035241127014,7.397453308105469,-0.009504039771854877,1.3224101066589355,nan,0.5665137240314053,0.4334862759685947,1.0,0.03125,0.0
37,151552,0.276155948638916,0.0,0.4695027768611908,7.513473033905029,0.010677074082195759,1.3366622924804688,nan,0.5881880378298351,0.4118119621701649,1.0,0.0,0.0
38,155648,0.2912207841873169,0.0,0.478368878364563,8.654081344604492,0.032435011118650436,1.3548179864883423,nan,0.6087786359383434,0.39122136406165664,1.0,0.0,0.0
39,159744,0.2775987684726715,0.000732421875,0.4787261486053467,7.1163506507873535,-0.01892963796854019,1.3722660541534424,nan,0.5783397041414262,0.4216602958585738,1.0,0.09375,0.0
40,163840,0.2586985230445862,0.001220703125,0.4686332941055298,7.277938365936279,-0.02527598850429058,1.3500235080718994,nan,0.549422718934355,0.45057728106564504,1.0,0.15625,0.0
41,167936,0.24334102869033813,0.000244140625,0.46574610471725464,8.091983795166016,0.022318188101053238,1.3430500030517578,nan,0.5219515829876372,0.4780484170123628,1.0,0.03125,0.0
42,172032,0.22941800951957703,0.000244140625,0.46218013763427734,7.549565315246582,0.010531336069107056,1.346911072731018,nan,0.4958540038382554,0.5041459961617446,1.0,0.03125,0.0
43,176128,0.22301290929317474,0.00048828125,0.47238999605178833,7.269765377044678,0.00404566852375865,1.335885763168335,nan,0.4710613036463427,0.5289386963536573,1.0,0.0625,0.0
44,180224,0.21184659004211426,0.00048828125,0.47230038046836853,5.645130157470703,-0.028169438242912292,1.315199375152588,nan,0.44750823846402554,0.5524917615359745,1.0,0.0625,0.0
