update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5306544303894043,0.0,0.5306544303894043,26.010276794433594,0.021441496908664703,1.376537561416626,nan,1.0,0.0,1.0,nan,1.0
2,8192,0.5066984295845032,0.0,0.5066984295845032,21.171152114868164,0.034828070551157,1.3670690059661865,nan,1.0,0.0,1.0,nan,1.0
3,12288,0.5102314949035645,0.0,0.5102314949035645,21.131248474121094,-0.039711110293865204,1.3500620126724243,nan,1.0,0.0,1.0,nan,1.0
4,16384,0.512571394443512,0.0,0.512571394443512,19.340497970581055,-0.008838089182972908,1.3184585571289062,nan,1.0,0.0,1.0,nan,1.0
5,20480,0.501646101474762,0.0,0.501646101474762,17.7774600982666,-0.02032523974776268,1.2848320007324219,nan,1.0,0.0,1.0,nan,1.0
6,24576,0.49205148220062256,0.0,0.49205148220062256,17.188278198242188,-0.022895634174346924,1.2507003545761108,nan,1.0,0.0,1.0,nan,1.0
7,28672,0.49051403999328613,0.0,0.49051403999328613,15.808794021606445,0.0021510832011699677,1.3004807233810425,nan,1.0,0.0,1.0,nan,1.0
8,32768,0.4973554015159607,0.0,0.4973554015159607,17.713336944580078,0.0040674470365047455,1.3315825462341309,nan,1.0,0.0,1.0,nan,1.0
9,36864,0.5006815195083618,0.0,0.5006815195083618,16.734172821044922,0.0004711616784334183,1.3575140237808228,nan,1.0,0.0,1.0,nan,1.0
10,40960,0.49359989166259766,0.0,0.49359989166259766,18.54033660888672,-0.0004369858652353287,1.3758481740951538,nan,1.0,0.0,1.0,nan,1.0
11,45056,0.49873238801956177,0.0,0.49873238801956177,20.55939292907715,-0.005635309964418411,1.372936487197876,nan,1.0,0.0,1.0,nan,1.0
12,49152,0.50877445936203,0.0,0.50877445936203,23.26230812072754,0.011474959552288055,1.3430969715118408,nan,1.0,0.0,1.0,nan,1.0
13,53248,0.49195459485054016,0.0,0.49195459485054016,22.549747467041016,-0.025944869965314865,1.3382372856140137,nan,1.0,0.0,1.0,nan,1.0
14,57344,0.4968476891517639,0.0,0.4968476891517639,26.288436889648438,0.002663521096110344,1.3293160200119019,nan,1.0,0.0,1.0,nan,1.0
