update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.48311078548431396,0.0,0.48311078548431396,20.279144287109375,0.007113578729331493,1.3747986555099487,1.3910112380981445,1.0,0.0,1.0,0.0,0.0
2,8192,0.4578574299812317,0.0,0.4578574299812317,16.17618179321289,0.01045974250882864,1.3622808456420898,1.4075734615325928,1.0,0.0,1.0,0.0,0.0
3,12288,0.4499070942401886,0.00048828125,0.4494188129901886,14.059646606445312,0.015977676957845688,1.3579905033111572,1.3902480602264404,1.0,0.0,1.0,0.0625,0.0
4,16384,0.4439358711242676,0.000244140625,0.4436917304992676,13.691064834594727,0.006172342225909233,1.3673019409179688,1.4047130346298218,1.0,0.0,1.0,0.03125,0.0
5,20480,0.44479966163635254,0.000244140625,0.44455552101135254,14.124513626098633,0.003821026999503374,1.3819670677185059,1.3898041248321533,1.0,0.0,1.0,0.03125,0.0
6,24576,0.44630348682403564,0.000244140625,0.44605934619903564,14.347427368164062,0.01402590237557888,1.3689348697662354,1.405623435974121,1.0,0.0,1.0,0.03125,0.0
7,28672,0.446483314037323,0.00048828125,0.445995032787323,15.450363159179688,-0.01310797967016697,1.3783905506134033,1.3897724151611328,1.0,0.0,1.0,0.0625,0.0
8,32768,0.46842044591903687,0.000732421875,0.46768802404403687,15.913446426391602,0.0031522512435913086,1.3726059198379517,1.3972368240356445,1.0,0.0,1.0,0.09375,0.0
9,36864,0.4610353112220764,0.000244140625,0.4607911705970764,15.32309341430664,-0.021298903971910477,1.383354663848877,1.400371789932251,1.0,0.0,1.0,0.03125,0.0
10,40960,0.4533819556236267,0.0,0.4533819556236267,16.524402618408203,0.01321779191493988,1.3772741556167603,1.391854166984558,1.0,0.0,1.0,0.0,0.0
11,45056,0.4490644037723541,0.000732421875,0.4483319818973541,18.868209838867188,0.05678047239780426,1.3655582666397095,1.4015846252441406,1.0,0.0,1.0,0.09375,0.0
12,49152,0.44882696866989136,0.000732421875,0.44809454679489136,19.35951805114746,-0.07675573229789734,1.3438645601272583,1.3835943937301636,1.0,0.0,1.0,0.09375,0.0
13,53248,0.4468061327934265,0.001220703125,0.4455854296684265,20.48429298400879,-0.025500744581222534,1.3321774005889893,1.3852767944335938,1.0,0.0,1.0,0.15625,0.0
14,57344,0.4460827708244324,0.00048828125,0.4455944895744324,22.53237533569336,-0.011389654129743576,1.3235764503479004,1.4024326801300049,1.0,0.0,1.0,0.0625,0.0
15,61440,0.44224005937576294,0.0,0.44224005937576294,26.007715225219727,0.01954096555709839,1.3206207752227783,1.3859738111495972,1.0,0.0,1.0,0.0,0.0
16,65536,0.4567227065563202,0.0,0.4567227065563202,24.478012084960938,0.08503235131502151,1.2799961566925049,1.3908250331878662,1.0,0.0,1.0,0.0,0.0
17,69632,0.4395541846752167,0.0,0.4395541846752167,20.69988250732422,0.003649459220468998,1.3174728155136108,1.3856948614120483,1.0,0.0,1.0,0.0,0.0
18,73728,0.44456666707992554,0.000244140625,0.44432252645492554,22.36349105834961,-0.04361361637711525,1.3423848152160645,1.3913685083389282,1.0,0.0,1.0,0.03125,0.0
19,77824,0.4431588351726532,0.0,0.4431588351726532,23.532466888427734,0.024174833670258522,1.3150500059127808,1.3591773509979248,1.0,0.0,1.0,0.0,0.0
20,81920,0.438503623008728,0.0,0.438503623008728,22.944686889648438,-0.02228446677327156,1.3174940347671509,1.3775503635406494,1.0,0.0,1.0,0.0,0.0
21,86016,0.44101381301879883,0.0,0.44101381301879883,22.932186126708984,-0.006288754753768444,1.3061268329620361,1.3745540380477905,1.0,0.0,1.0,0.0,0.0
22,90112,0.4395941197872162,0.0,0.4395941197872162,23.269916534423828,-0.03562919795513153,1.3436098098754883,1.383699893951416,1.0,0.0,1.0,0.0,0.0
