metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,0.0
coord_plus_nuisance_vs_idm_learned,0.0
coord_plus_nuisance_vs_crtr_online_joint,2.9568442467819978e-05
coord_plus_nuisance_vs_idm_online_joint,1.0
crtr_learned_vs_idm_learned,0.005303560735143487
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,1.0
idm_learned_vs_idm_online_joint,1.0
crtr_online_joint_vs_idm_online_joint,1.0
