metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,5.1690429714312813e-11
coord_plus_nuisance_vs_idm_learned,0.01555100451453617
coord_plus_nuisance_vs_crtr_online_joint,7.449869610098858e-10
coord_plus_nuisance_vs_idm_online_joint,2.0031976077916624e-10
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.0
idm_learned_vs_crtr_online_joint,1.5631246519376418e-08
idm_learned_vs_idm_online_joint,1.8323060846370254e-09
crtr_online_joint_vs_idm_online_joint,0.07460435666956622
