update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5343651175498962,0.0,0.5343651175498962,26.460256576538086,0.03145939111709595,1.3800896406173706,nan,1.0,0.0,1.0,nan,1.0
2,8192,0.5023030638694763,0.0,0.5023030638694763,22.622148513793945,-0.041215091943740845,1.3795008659362793,nan,1.0,0.0,1.0,nan,1.0
3,12288,0.49852892756462097,0.0,0.49852892756462097,18.161102294921875,0.05232105031609535,1.3822232484817505,nan,1.0,0.0,1.0,nan,1.0
4,16384,0.49590346217155457,0.0,0.49590346217155457,18.367321014404297,-0.017560875043272972,1.3798412084579468,nan,1.0,0.0,1.0,nan,1.0
5,20480,0.48912549018859863,0.0,0.48912549018859863,16.718570709228516,0.015674108639359474,1.3699066638946533,nan,1.0,0.0,1.0,nan,1.0
6,24576,0.49438393115997314,0.0,0.49438393115997314,18.540260314941406,-0.02799229696393013,1.3414374589920044,nan,1.0,0.0,1.0,nan,1.0
7,28672,0.48503512144088745,0.0,0.48503512144088745,17.572900772094727,0.02280077151954174,1.313004493713379,nan,1.0,0.0,1.0,nan,1.0
8,32768,0.48983654379844666,0.0,0.48983654379844666,17.607952117919922,-0.03179830685257912,1.3324406147003174,nan,1.0,0.0,1.0,nan,1.0
9,36864,0.4956322908401489,0.0,0.4956322908401489,16.752685546875,-0.004083340056240559,1.3315407037734985,nan,1.0,0.0,1.0,nan,1.0
10,40960,0.4856279194355011,0.0,0.4856279194355011,18.85538101196289,-0.004029860720038414,1.297400712966919,nan,1.0,0.0,1.0,nan,1.0
11,45056,0.4871155619621277,0.0,0.4871155619621277,19.156431198120117,-0.026674438267946243,1.333221673965454,nan,1.0,0.0,1.0,nan,1.0
12,49152,0.4905921518802643,0.0,0.4905921518802643,20.660457611083984,-0.06133730337023735,1.325885534286499,nan,1.0,0.0,1.0,nan,1.0
13,53248,0.4791409969329834,0.0,0.4791409969329834,23.6931095123291,0.02945702336728573,1.3391308784484863,nan,1.0,0.0,1.0,nan,1.0
14,57344,0.48373496532440186,0.0,0.48373496532440186,26.332622528076172,0.027463117614388466,1.3527116775512695,nan,1.0,0.0,1.0,nan,1.0
15,61440,0.4873499572277069,0.0,0.4873499572277069,27.319862365722656,0.02226509526371956,1.3232555389404297,nan,1.0,0.0,1.0,nan,1.0
16,65536,0.49174562096595764,0.0,0.49174562096595764,28.076196670532227,2.452125772833824e-05,1.3097150325775146,nan,1.0,0.0,1.0,nan,1.0
17,69632,0.4944303631782532,0.0,0.4944303631782532,26.701457977294922,-0.024947412312030792,1.3116886615753174,nan,1.0,0.0,1.0,nan,1.0
18,73728,0.48195111751556396,0.0,0.48195111751556396,24.943822860717773,0.024103693664073944,1.3005446195602417,nan,1.0,0.0,1.0,nan,1.0
19,77824,0.48583418130874634,0.0,0.48583418130874634,29.368331909179688,0.03229721263051033,1.3347748517990112,nan,1.0,0.0,1.0,nan,1.0
