update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.521504819393158,0.002197265625,0.5466395616531372,25.718124389648438,0.00895652361214161,1.3799389600753784,nan,0.95,0.05,1.0,0.28125,0.0
2,8192,0.4818226099014282,0.0029296875,0.5306292772293091,19.554285049438477,-0.03384852409362793,1.3797527551651,nan,0.9025,0.0975,1.0,0.3125,0.0
3,12288,0.44343361258506775,0.00146484375,0.5154905915260315,13.891721725463867,0.011339189484715462,1.3826701641082764,nan,0.857375,0.142625,1.0,0.1875,0.0
4,16384,0.43540340662002563,0.003662109375,0.5300650596618652,11.572303771972656,0.01908072829246521,1.3817954063415527,nan,0.81450625,0.18549375,1.0,0.375,0.0
5,20480,0.4026584327220917,0.002685546875,0.5169070959091187,10.339165687561035,-0.02648855745792389,1.3752392530441284,nan,0.7737809375,0.2262190625,1.0,0.28125,0.0
6,24576,0.38045400381088257,0.001953125,0.5149028301239014,9.415096282958984,0.0559697151184082,1.3789079189300537,nan,0.735091890625,0.264908109375,1.0,0.21875,0.0
7,28672,0.36733534932136536,0.001708984375,0.5235670208930969,9.318382263183594,-0.004567795433104038,1.3493518829345703,nan,0.6983372960937501,0.30166270390624994,1.0,0.15625,0.0
8,32768,0.34676748514175415,0.001708984375,0.52012038230896,9.807151794433594,-0.03801542520523071,1.3026372194290161,nan,0.6634204312890626,0.3365795687109374,1.0,0.1875,0.0
9,36864,0.3239579498767853,0.0009765625,0.5124659538269043,10.362344741821289,-0.010537564754486084,1.3034512996673584,nan,0.6302494097246094,0.36975059027539053,1.0,0.125,0.0
10,40960,0.30756619572639465,0.001220703125,0.511652946472168,10.779820442199707,0.014193125069141388,1.3064123392105103,nan,0.598736939238379,0.401263060761621,1.0,0.15625,0.0
11,45056,0.28837457299232483,0.000244140625,0.5065582990646362,11.318811416625977,0.007684061303734779,1.2905364036560059,nan,0.5688000922764601,0.4311999077235399,1.0,0.03125,0.0
12,49152,0.27553924918174744,0.000732421875,0.508562445640564,9.045572280883789,-0.039400432258844376,1.306905746459961,nan,0.5403600876626371,0.45963991233736284,1.0,0.09375,0.0
13,53248,0.2675258219242096,0.002197265625,0.5168650150299072,9.417562484741211,0.013061819598078728,1.3211899995803833,nan,0.5133420832795053,0.4866579167204947,1.0,0.28125,0.0
14,57344,0.25814545154571533,0.003662109375,0.5218298435211182,9.370899200439453,0.010561088100075722,1.3381726741790771,nan,0.48767497911553004,0.51232502088447,1.0,0.40625,0.0
15,61440,0.24714717268943787,0.003662109375,0.5255550742149353,7.226149559020996,-0.010422557592391968,1.34315824508667,nan,0.4632912301597536,0.5367087698402464,1.0,0.375,0.0
16,65536,0.22676554322242737,0.002197265625,0.5102355480194092,6.64824104309082,-0.0022424417547881603,1.3206310272216797,nan,0.44012666865176586,0.5598733313482341,1.0,0.25,0.0
17,69632,0.2184271216392517,0.00244140625,0.5165635943412781,6.703815460205078,0.05355670303106308,1.2869970798492432,nan,0.4181203352191776,0.5818796647808224,1.0,0.28125,0.0
18,73728,0.2024720311164856,0.000732421875,0.5078860521316528,5.317320823669434,0.020186567679047585,1.292622685432434,nan,0.39721431845821864,0.6027856815417814,1.0,0.09375,0.0
19,77824,0.19381803274154663,0.00048828125,0.5123304724693298,4.746166706085205,-0.031239299103617668,1.266211986541748,nan,0.3773536025353077,0.6226463974646923,1.0,0.0625,0.0
20,81920,0.20331603288650513,0.0,0.4977307915687561,4.521203994750977,-0.042708516120910645,1.3011887073516846,nan,0.4084859224085423,0.5915140775914577,1.0,0.0,0.0
21,86016,0.19924598932266235,0.000732421875,0.5115516781806946,5.000754356384277,-0.011427106335759163,1.275015950202942,nan,0.38806162628811514,0.6119383737118849,1.0,0.09375,0.0
22,90112,0.18701833486557007,0.0009765625,0.5046452283859253,4.293407917022705,-0.02298182249069214,1.2707874774932861,nan,0.3686585449737093,0.6313414550262907,1.0,0.09375,0.0
23,94208,0.175605908036232,0.000244140625,0.5007108449935913,4.221520900726318,-0.018841136246919632,1.2842987775802612,nan,0.3502256177250238,0.6497743822749762,1.0,0.03125,0.0
24,98304,0.16830338537693024,0.0009765625,0.5029144287109375,3.732895851135254,-0.028119541704654694,1.282285451889038,nan,0.3327143368387726,0.6672856631612274,1.0,0.125,0.0
25,102400,0.16387775540351868,0.00244140625,0.5107473731040955,3.382957935333252,-0.0127545902505517,1.2720022201538086,nan,0.31607861999683395,0.683921380003166,1.0,0.28125,0.0
26,106496,0.15643468499183655,0.002685546875,0.5120283365249634,2.7548093795776367,-0.04603585973381996,1.3108516931533813,nan,0.3002746889969923,0.6997253110030077,1.0,0.25,0.0
27,110592,0.14745205640792847,0.002197265625,0.5091997385025024,2.75978422164917,0.028197158128023148,1.3294059038162231,nan,0.2852609545471426,0.7147390454528574,1.0,0.25,0.0
28,114688,0.14058828353881836,0.00146484375,0.5133745670318604,2.9485745429992676,0.00014520809054374695,1.3248116970062256,nan,0.27099790681978553,0.7290020931802145,1.0,0.1875,0.0
29,118784,0.13300511240959167,0.001220703125,0.5118874907493591,2.6151485443115234,0.013450095430016518,1.3250751495361328,nan,0.25744801147879626,0.7425519885212037,1.0,0.15625,0.0
30,122880,0.12794454395771027,0.0009765625,0.5191359519958496,2.2295281887054443,-0.017571911215782166,1.3164328336715698,nan,0.24457561090485647,0.7554243890951435,1.0,0.125,0.0
31,126976,0.11981808394193649,0.000244140625,0.5146355628967285,2.0591611862182617,-0.007901933044195175,1.3137049674987793,nan,0.23234683035961368,0.7676531696403863,1.0,0.03125,0.0
32,131072,0.1391083300113678,0.0,0.5138278007507324,1.7108731269836426,-0.01779310405254364,1.3516247272491455,nan,0.27072948884163306,0.7292705111583669,1.0,0.0,0.0
33,135168,0.13305625319480896,0.00048828125,0.5154415369033813,2.003920078277588,-0.03380729630589485,1.3497995138168335,nan,0.25719301439955145,0.7428069856004486,1.0,0.0625,0.0
34,139264,0.1247970312833786,0.00048828125,0.5087670683860779,2.198286771774292,0.05286174640059471,1.345984697341919,nan,0.2443333636795738,0.7556666363204262,1.0,0.0625,0.0
35,143360,0.12345637381076813,0.002197265625,0.5224058032035828,1.9423201084136963,0.003678899258375168,1.3304240703582764,nan,0.2321166954955951,0.7678833045044049,1.0,0.25,0.0
36,147456,0.1150255799293518,0.00146484375,0.5149892568588257,1.9345799684524536,0.029241325333714485,1.3085116147994995,nan,0.22051086072081538,0.7794891392791846,1.0,0.1875,0.0
37,151552,0.10684911906719208,0.000732421875,0.5065591335296631,1.5714898109436035,0.006243200972676277,1.2680941820144653,nan,0.20948531768477463,0.7905146823152254,1.0,0.09375,0.0
38,155648,0.10171464085578918,0.001220703125,0.5049666166305542,1.4077661037445068,0.016011908650398254,1.3259570598602295,nan,0.1990110518005359,0.8009889481994641,1.0,0.15625,0.0
39,159744,0.09801864624023438,0.00048828125,0.515868604183197,1.2163552045822144,0.005838632583618164,1.3576401472091675,nan,0.18906049921050916,0.8109395007894908,1.0,0.0625,0.0
40,163840,0.09282875061035156,0.000732421875,0.5127644538879395,1.0845963954925537,-0.03318879380822182,1.3668007850646973,nan,0.1796074742499837,0.8203925257500163,1.0,0.09375,0.0
41,167936,0.0901675820350647,0.001953125,0.5170013904571533,1.0288490056991577,-0.012771090492606163,1.3536338806152344,nan,0.17062710053748453,0.8293728994625155,1.0,0.25,0.0
42,172032,0.08334682136774063,0.000244140625,0.5126765370368958,0.916900634765625,-0.041878242045640945,1.3497872352600098,nan,0.16209574551061035,0.8379042544893897,1.0,0.03125,0.0
43,176128,0.1047782450914383,0.0,0.5136415958404541,1.1025441884994507,0.0018737530335783958,1.3620984554290771,nan,0.20399095823507984,0.7960090417649202,1.0,0.0,0.0
44,180224,0.10054953396320343,0.000244140625,0.5175946950912476,1.0347015857696533,0.0008889231830835342,1.3572919368743896,nan,0.1937914103233258,0.8062085896766742,1.0,0.03125,0.0
45,184320,0.09732970595359802,0.000732421875,0.5246948003768921,1.0057785511016846,-0.00679351482540369,1.3625571727752686,nan,0.18410183980715955,0.8158981601928404,1.0,0.0625,0.0
46,188416,0.09139659255743027,0.000732421875,0.5183868408203125,1.026538372039795,0.001714726909995079,1.3712131977081299,nan,0.17489674781680153,0.8251032521831985,1.0,0.09375,0.0
47,192512,0.08681600540876389,0.00048828125,0.51957106590271,0.9660295248031616,-0.0017772912979125977,1.3706766366958618,nan,0.16615191042596145,0.8338480895740386,1.0,0.0625,0.0
48,196608,0.0818277895450592,0.0009765625,0.5122212767601013,0.9340012073516846,-0.0012195263989269733,1.3648605346679688,nan,0.15784431490466333,0.8421556850953367,1.0,0.125,0.0
