update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5466395616531372,0.0,0.5466395616531372,28.393171310424805,0.00750634353607893,1.3821219205856323,nan,1.0,0.0,1.0,nan,1.0
2,8192,0.5297269821166992,0.0,0.5297269821166992,22.875484466552734,0.01056939922273159,1.3826606273651123,nan,1.0,0.0,1.0,nan,1.0
3,12288,0.5225011110305786,0.0,0.5225011110305786,20.68891716003418,-0.027790822088718414,1.3787846565246582,nan,1.0,0.0,1.0,nan,1.0
4,16384,0.516573965549469,0.0,0.516573965549469,19.8282470703125,-0.04855421930551529,1.3803577423095703,nan,1.0,0.0,1.0,nan,1.0
5,20480,0.5145411491394043,0.0,0.5145411491394043,18.044414520263672,-0.01406140811741352,1.3684868812561035,nan,1.0,0.0,1.0,nan,1.0
6,24576,0.5130060911178589,0.0,0.5130060911178589,18.401784896850586,0.0010743504390120506,1.3675731420516968,nan,1.0,0.0,1.0,nan,1.0
7,28672,0.5214428901672363,0.0,0.5214428901672363,18.967849731445312,0.007039315067231655,1.3512136936187744,nan,1.0,0.0,1.0,nan,1.0
8,32768,0.5215002298355103,0.0,0.5215002298355103,19.82583236694336,0.009539788588881493,1.3184784650802612,nan,1.0,0.0,1.0,nan,1.0
9,36864,0.5287558436393738,0.0,0.5287558436393738,20.37918472290039,0.02734842710196972,1.3573412895202637,nan,1.0,0.0,1.0,nan,1.0
10,40960,0.5234503746032715,0.0,0.5234503746032715,20.063196182250977,-0.008359582163393497,1.3736886978149414,nan,1.0,0.0,1.0,nan,1.0
11,45056,0.5219779014587402,0.0,0.5219779014587402,21.82080078125,-0.012754411436617374,1.3462193012237549,nan,1.0,0.0,1.0,nan,1.0
12,49152,0.51898193359375,0.0,0.51898193359375,24.242345809936523,-0.016639379784464836,1.289477825164795,nan,1.0,0.0,1.0,nan,1.0
13,53248,0.5068786144256592,0.0,0.5068786144256592,23.563486099243164,-0.07382197678089142,1.3389334678649902,nan,1.0,0.0,1.0,nan,1.0
14,57344,0.5134087800979614,0.0,0.5134087800979614,27.2801513671875,-0.026881467550992966,1.3424549102783203,nan,1.0,0.0,1.0,nan,1.0
15,61440,0.5139020681381226,0.0,0.5139020681381226,29.225553512573242,0.006101285573095083,1.3053464889526367,nan,1.0,0.0,1.0,nan,1.0
16,65536,0.5197992324829102,0.0,0.5197992324829102,28.216726303100586,0.006369544193148613,1.2495601177215576,nan,1.0,0.0,1.0,nan,1.0
17,69632,0.5154936909675598,0.0,0.5154936909675598,23.550912857055664,-0.019292615354061127,1.2776917219161987,nan,1.0,0.0,1.0,nan,1.0
18,73728,0.5100684762001038,0.0,0.5100684762001038,23.648794174194336,0.030426107347011566,1.3040976524353027,nan,1.0,0.0,1.0,nan,1.0
19,77824,0.511041522026062,0.0,0.511041522026062,24.009145736694336,-0.017599351704120636,1.3398873805999756,nan,1.0,0.0,1.0,nan,1.0
20,81920,0.5195227861404419,0.0,0.5195227861404419,24.961986541748047,0.018153581768274307,1.357820987701416,nan,1.0,0.0,1.0,nan,1.0
21,86016,0.5140848159790039,0.0,0.5140848159790039,27.767423629760742,-0.01300870068371296,1.3762574195861816,nan,1.0,0.0,1.0,nan,1.0
22,90112,0.5168048739433289,0.0,0.5168048739433289,33.79513931274414,0.02399047464132309,1.3746333122253418,nan,1.0,0.0,1.0,nan,1.0
23,94208,0.5173839330673218,0.0,0.5173839330673218,33.28287887573242,0.02280702069401741,1.3448755741119385,nan,1.0,0.0,1.0,nan,1.0
24,98304,0.5153509974479675,0.0,0.5153509974479675,31.3685359954834,-0.006576450541615486,1.3415861129760742,nan,1.0,0.0,1.0,nan,1.0
25,102400,0.5119336843490601,0.0,0.5119336843490601,30.644556045532227,-0.019061069935560226,1.3523688316345215,nan,1.0,0.0,1.0,nan,1.0
26,106496,0.5107132792472839,0.0,0.5107132792472839,32.24628829956055,-0.031054707244038582,1.3690013885498047,nan,1.0,0.0,1.0,nan,1.0
27,110592,0.5202361345291138,0.0,0.5202361345291138,32.36399459838867,-9.314808994531631e-05,1.3774917125701904,nan,1.0,0.0,1.0,nan,1.0
28,114688,0.5166753530502319,0.0,0.5166753530502319,33.154624938964844,-0.005736585706472397,1.3738384246826172,nan,1.0,0.0,1.0,nan,1.0
29,118784,0.5154414772987366,0.0,0.5154414772987366,31.067123413085938,-0.010755922645330429,1.3764967918395996,nan,1.0,0.0,1.0,nan,1.0
30,122880,0.5142744779586792,0.0,0.5142744779586792,30.0556697845459,-0.0147025678306818,1.361694574356079,nan,1.0,0.0,1.0,nan,1.0
31,126976,0.5212627649307251,0.0,0.5212627649307251,33.62134552001953,0.045420870184898376,1.3481478691101074,nan,1.0,0.0,1.0,nan,1.0
32,131072,0.5200291872024536,0.0,0.5200291872024536,30.04709815979004,-0.022161591798067093,1.336549162864685,nan,1.0,0.0,1.0,nan,1.0
33,135168,0.5136575698852539,0.0,0.5136575698852539,32.507015228271484,-0.037754930555820465,1.3405061960220337,nan,1.0,0.0,1.0,nan,1.0
34,139264,0.5075789093971252,0.0,0.5075789093971252,29.149213790893555,0.014469636604189873,1.3486738204956055,nan,1.0,0.0,1.0,nan,1.0
35,143360,0.5160814523696899,0.0,0.5160814523696899,30.176109313964844,-0.03596404567360878,1.361037015914917,nan,1.0,0.0,1.0,nan,1.0
36,147456,0.5169758200645447,0.0,0.5169758200645447,29.93136215209961,0.012585349380970001,1.3210830688476562,nan,1.0,0.0,1.0,nan,1.0
37,151552,0.509870707988739,0.0,0.509870707988739,26.632535934448242,-0.006917743012309074,1.3045616149902344,nan,1.0,0.0,1.0,nan,1.0
38,155648,0.5117750763893127,0.0,0.5117750763893127,26.8609561920166,0.026462819427251816,1.3049428462982178,nan,1.0,0.0,1.0,nan,1.0
39,159744,0.5164600014686584,0.0,0.5164600014686584,26.461750030517578,0.010393100790679455,1.3215157985687256,nan,1.0,0.0,1.0,nan,1.0
40,163840,0.5181177854537964,0.0,0.5181177854537964,24.61445426940918,0.018402215093374252,1.3421757221221924,nan,1.0,0.0,1.0,nan,1.0
41,167936,0.5221573114395142,0.0,0.5221573114395142,26.66259765625,0.025271186605095863,1.3617000579833984,nan,1.0,0.0,1.0,nan,1.0
42,172032,0.5174623131752014,0.0,0.5174623131752014,31.530109405517578,-0.003215031698346138,1.356917142868042,nan,1.0,0.0,1.0,nan,1.0
43,176128,0.5178208947181702,0.0,0.5178208947181702,26.792098999023438,-0.05924270674586296,1.3767075538635254,nan,1.0,0.0,1.0,nan,1.0
44,180224,0.5261948108673096,0.0,0.5261948108673096,34.42475891113281,0.027939923107624054,1.3809363842010498,nan,1.0,0.0,1.0,nan,1.0
45,184320,0.5144959092140198,0.0,0.5144959092140198,35.51389694213867,0.015713509172201157,1.373797059059143,nan,1.0,0.0,1.0,nan,1.0
46,188416,0.5217031240463257,0.0,0.5217031240463257,38.41712951660156,0.008737452328205109,1.3663784265518188,nan,1.0,0.0,1.0,nan,1.0
47,192512,0.5292500257492065,0.0,0.5292500257492065,37.32575988769531,0.0272515956312418,1.3607767820358276,nan,1.0,0.0,1.0,nan,1.0
48,196608,0.5245749354362488,0.0,0.5245749354362488,33.88562774658203,-0.04345396161079407,1.351327896118164,nan,1.0,0.0,1.0,nan,1.0
