update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,2.269198417663574,0.0029296875,0.6466696262359619,615.2820434570312,0.02851603552699089,1.3780571222305298,nan,1.0,0.0,0.28534552454948425,0.28125,0.0
2,8192,2.1675610542297363,0.0009765625,0.6183006763458252,575.5911865234375,-0.0416606180369854,1.3758347034454346,nan,1.0,0.0,0.2853803497355524,0.125,0.0
3,12288,2.2485156059265137,0.001953125,0.618864893913269,592.6474609375,-0.039032310247421265,1.3743987083435059,nan,1.0,0.0,0.2754718824689902,0.25,0.0
4,16384,2.234339714050293,0.002197265625,0.6053421497344971,583.2295532226562,-0.03896895796060562,1.3783941268920898,nan,1.0,0.0,0.2711933335256012,0.21875,0.0
5,20480,2.2739508152008057,0.001708984375,0.6135740280151367,594.4437255859375,-0.012084374204277992,1.3726651668548584,nan,1.0,0.0,0.270030256644792,0.21875,0.0
6,24576,2.2833211421966553,0.000732421875,0.6147699356079102,612.6085205078125,-0.03095320053398609,1.3589582443237305,nan,1.0,0.0,0.26933013338258494,0.09375,0.0
7,28672,2.243624448776245,0.00048828125,0.6011878252029419,592.5614013671875,-0.015179552137851715,1.3457024097442627,nan,1.0,0.0,0.2680121735866547,0.0625,0.0
8,32768,2.2875795364379883,0.00048828125,0.6117734909057617,567.1668701171875,0.02842918410897255,1.3610389232635498,nan,1.0,0.0,0.2674897944582012,0.0625,0.0
9,36864,2.3142802715301514,0.001220703125,0.6200991868972778,566.3271484375,-0.0007243766449391842,1.3644639253616333,nan,1.0,0.0,0.2680860924454824,0.125,0.0
10,40960,2.297441005706787,0.0009765625,0.6154095530509949,567.6092529296875,-0.007497204467654228,1.3304033279418945,nan,1.0,0.0,0.2679813189979654,0.125,0.0
11,45056,2.2669100761413574,0.000244140625,0.606070876121521,536.10888671875,-0.011866442859172821,1.3700379133224487,nan,1.0,0.0,0.26738432740725077,0.03125,0.0
12,49152,2.262590169906616,0.0009765625,0.6054317951202393,502.50738525390625,0.04734295234084129,1.351395845413208,nan,1.0,0.0,0.2676990211024338,0.125,0.0
13,53248,2.2631821632385254,0.00048828125,0.6053194999694824,496.325439453125,0.0555700957775116,1.3745805025100708,nan,1.0,0.0,0.2675216222396214,0.0625,0.0
