update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.9003722667694092,0.0,0.6438866853713989,68.72447204589844,-0.02063979022204876,1.3764379024505615,nan,1.0,0.0,0.7151338458061218,nan,0.0
2,8192,0.8245162963867188,0.0,0.5897114276885986,54.99666213989258,0.03190873563289642,1.3672348260879517,nan,1.0,0.0,0.7152210875118775,nan,0.0
3,12288,0.890812337398529,0.0,0.5745748281478882,68.19124603271484,-0.02856803871691227,1.3571211099624634,nan,1.0,0.0,0.6450009977440676,nan,0.0
4,16384,0.9377989768981934,0.0,0.5782884359359741,70.06964111328125,0.006214232183992863,1.3524693250656128,nan,1.0,0.0,0.6166442614266986,nan,0.0
5,20480,0.9281821250915527,0.0,0.5721592903137207,69.95806884765625,-0.016122832894325256,1.3205064535140991,nan,1.0,0.0,0.616430020386626,nan,0.0
6,24576,0.9346234798431396,0.0,0.5678962469100952,67.9715805053711,0.001994611695408821,1.258619785308838,nan,1.0,0.0,0.6076203801062676,nan,0.0
7,28672,0.9319319725036621,0.0,0.5579997301101685,68.07013702392578,0.028191160410642624,1.2860827445983887,nan,1.0,0.0,0.598755810520896,nan,0.0
8,32768,1.0336337089538574,0.0,0.6087639331817627,72.08634948730469,0.006392011418938637,1.3297362327575684,nan,1.0,0.0,0.5889552264893502,nan,0.0
9,36864,0.9852427244186401,0.0,0.5917230248451233,61.935245513916016,0.02593652717769146,1.3109328746795654,nan,1.0,0.0,0.6005860281057951,nan,0.0
10,40960,0.9857784509658813,0.0,0.5871520042419434,63.88163757324219,-0.0029694000259041786,1.3360836505889893,nan,1.0,0.0,0.5956227569744735,nan,0.0
11,45056,0.9758085608482361,0.0,0.5811693668365479,63.74293899536133,-0.009580342099070549,1.3183963298797607,nan,1.0,0.0,0.5955772237658957,nan,0.0
12,49152,0.9718546867370605,0.0,0.5760300159454346,62.61711883544922,0.02910514548420906,1.3482437133789062,nan,1.0,0.0,0.5927120587997827,nan,0.0
13,53248,0.9655880928039551,0.0,0.5748763084411621,61.195159912109375,0.011503845453262329,1.3701934814453125,nan,1.0,0.0,0.5953638753564306,nan,0.0
14,57344,0.9619430899620056,0.0,0.5727590322494507,71.62533569335938,-0.02314118482172489,1.3696388006210327,nan,1.0,0.0,0.5954188107251864,nan,0.0
15,61440,0.9603488445281982,0.0,0.5721855759620667,71.72807312011719,-0.01985393650829792,1.3759784698486328,nan,1.0,0.0,0.5958101565518703,nan,0.0
16,65536,1.0347325801849365,0.0,0.6153082847595215,72.75679016113281,-0.00711505301296711,1.3633456230163574,nan,1.0,0.0,0.5946543650350046,nan,0.0
17,69632,0.9887447357177734,0.0,0.5898883938789368,65.82489013671875,-0.03582277148962021,1.3605821132659912,nan,1.0,0.0,0.5966032974328722,nan,0.0
18,73728,0.9738752245903015,0.0,0.579695463180542,66.59060668945312,0.012629330158233643,1.3424739837646484,nan,1.0,0.0,0.5952461202571658,nan,0.0
19,77824,0.9877051115036011,0.0,0.5860903263092041,73.44320678710938,0.02438219264149666,1.3573216199874878,nan,1.0,0.0,0.593385954975509,nan,0.0
20,81920,0.972050666809082,0.0,0.5765686631202698,76.15230560302734,-0.0037952763959765434,1.3535196781158447,nan,1.0,0.0,0.593146675316972,nan,0.0
21,86016,0.9751666784286499,0.0,0.5776345729827881,74.63673400878906,0.017200499773025513,1.3708449602127075,nan,1.0,0.0,0.5923444303999793,nan,0.0
22,90112,0.9754929542541504,0.0,0.5773340463638306,78.83551025390625,-0.026202280074357986,1.352938175201416,nan,1.0,0.0,0.5918381619541178,nan,0.0
23,94208,1.0111169815063477,0.0,0.5973234176635742,81.97785949707031,-0.021240055561065674,1.3507826328277588,nan,1.0,0.0,0.5907560148186474,nan,0.0
24,98304,0.9818889498710632,0.0,0.5812748670578003,76.80628967285156,-0.018008392304182053,1.373014211654663,nan,1.0,0.0,0.5919966001196162,nan,0.0
25,102400,0.9832648634910583,0.0,0.5803785920143127,80.35433959960938,-0.00017737597227096558,1.3547031879425049,nan,1.0,0.0,0.5902565739836935,nan,0.0
26,106496,0.9853423237800598,0.0,0.5808209180831909,85.75431823730469,0.01834733970463276,1.3320579528808594,nan,1.0,0.0,0.589461045804142,nan,0.0
27,110592,0.989369809627533,0.0,0.5834506750106812,82.77359008789062,0.01879098266363144,1.3093490600585938,nan,1.0,0.0,0.5897195564486257,nan,0.0
28,114688,0.9680306911468506,0.0,0.5707632303237915,87.86214447021484,-0.03810754418373108,1.3297560214996338,nan,1.0,0.0,0.5896127044789068,nan,0.0
29,118784,0.9814516305923462,0.0,0.578657865524292,89.83656311035156,0.02460484951734543,1.2709076404571533,nan,1.0,0.0,0.5895938554465867,nan,0.0
30,122880,0.9737419486045837,0.0,0.5731368064880371,98.23070526123047,-0.03270667791366577,1.2378594875335693,nan,1.0,0.0,0.5885920497420015,nan,0.0
31,126976,1.0107837915420532,0.0,0.5945271253585815,101.6858139038086,0.012565803714096546,1.2532398700714111,nan,1.0,0.0,0.5881842321467836,nan,0.0
32,131072,1.0004138946533203,0.0,0.5888631939888,94.13057708740234,-0.035777222365140915,1.2363015413284302,nan,1.0,0.0,0.5886196065191327,nan,0.0
33,135168,0.9898003339767456,0.0,0.5829901695251465,96.31227111816406,0.03060493990778923,1.269385814666748,nan,1.0,0.0,0.5889977176597065,nan,0.0
