update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.9839531183242798,0.0,0.5557268857955933,451.68463134765625,0.009147696197032928,1.373459815979004,nan,1.0,0.0,0.2801108956336975,nan,0.0
2,8192,1.8839564323425293,0.0,0.5277811288833618,395.416259765625,-0.012741430662572384,1.3546531200408936,nan,1.0,0.0,0.2801450864032052,nan,0.0
3,12288,1.9439985752105713,0.0,0.5202011466026306,401.8995666503906,-0.0012453156523406506,1.3416755199432373,nan,1.0,0.0,0.2675933839712123,nan,0.0
4,16384,1.978672981262207,0.0,0.5207675695419312,407.9087219238281,0.002990923821926117,1.3279995918273926,nan,1.0,0.0,0.2631903340151297,nan,0.0
5,20480,1.9852113723754883,0.0,0.5200752019882202,400.29168701171875,0.07216477394104004,1.3330702781677246,nan,1.0,0.0,0.26197471466975525,nan,0.0
6,24576,2.0217173099517822,0.0,0.525984525680542,476.99151611328125,-0.06884460896253586,1.3253982067108154,nan,1.0,0.0,0.2601671869506879,nan,0.0
7,28672,1.9813289642333984,0.0,0.5133246183395386,448.54302978515625,-0.0219422597438097,1.300220251083374,nan,1.0,0.0,0.2590810062586762,nan,0.0
8,32768,2.0696182250976562,0.0,0.5342811346054077,457.2677001953125,-0.027466055005788803,1.2414939403533936,nan,1.0,0.0,0.2581544489352186,nan,0.0
9,36864,2.010075807571411,0.0,0.5223842263221741,380.96343994140625,0.029936153441667557,1.243199348449707,nan,1.0,0.0,0.2598828817773572,nan,0.0
10,40960,2.0457959175109863,0.0,0.5319521427154541,397.9190673828125,0.0058450642973184586,1.2791038751602173,nan,1.0,0.0,0.2600220953327965,nan,0.0
11,45056,2.0111277103424072,0.0,0.5215415954589844,355.1217346191406,0.07056376338005066,1.3080450296401978,nan,1.0,0.0,0.25932790653204224,nan,0.0
12,49152,2.020779609680176,0.0,0.5232324004173279,390.76837158203125,-0.022852476686239243,1.2879376411437988,nan,1.0,0.0,0.25892601895365364,nan,0.0
13,53248,2.0187973976135254,0.0,0.5212975144386292,412.7249755859375,-0.028907248750329018,1.2944591045379639,nan,1.0,0.0,0.2582218038832967,nan,0.0
14,57344,2.0113725662231445,0.0,0.518693745136261,403.45013427734375,0.009300215169787407,1.27017080783844,nan,1.0,0.0,0.25788050758583003,nan,0.0
15,61440,2.0030016899108887,0.0,0.516128659248352,413.5050048828125,0.0018243854865431786,1.2839696407318115,nan,1.0,0.0,0.2576776001197346,nan,0.0
16,65536,2.0918326377868652,0.0,0.5379724502563477,411.7602233886719,-0.012987643480300903,1.2838499546051025,nan,1.0,0.0,0.25717756787042123,nan,0.0
17,69632,2.0458757877349854,0.0,0.5279695391654968,367.0174560546875,-0.038847170770168304,1.2345293760299683,nan,1.0,0.0,0.2580653151688035,nan,0.0
18,73728,2.013068675994873,0.0,0.5192009806632996,329.7994384765625,0.033102668821811676,1.224470853805542,nan,1.0,0.0,0.25791519374612826,nan,0.0
19,77824,2.0046067237854004,0.0,0.5165585279464722,332.66912841796875,0.01561719924211502,1.1844325065612793,nan,1.0,0.0,0.2576857306747183,nan,0.0
20,81920,2.021822690963745,0.0,0.5204493999481201,363.314208984375,0.0001672985963523388,1.1586722135543823,nan,1.0,0.0,0.2574159330383149,nan,0.0
21,86016,2.004061698913574,0.0,0.5148683190345764,366.9263610839844,0.01908217743039131,1.1605095863342285,nan,1.0,0.0,0.25691238463608496,nan,0.0
22,90112,1.9873539209365845,0.0,0.5105923414230347,388.3441162109375,-0.021988196298480034,1.1197896003723145,nan,1.0,0.0,0.25692070828453156,nan,0.0
23,94208,2.0288655757904053,0.0,0.521155059337616,369.7288818359375,0.016167335212230682,1.0965571403503418,nan,1.0,0.0,0.25687016784227934,nan,0.0
24,98304,2.0396111011505127,0.0,0.525581955909729,372.20745849609375,-0.033811911940574646,1.1878204345703125,nan,1.0,0.0,0.25768734781470537,nan,0.0
25,102400,2.0285916328430176,0.0,0.5231142640113831,334.2838439941406,0.03394324332475662,1.1893646717071533,nan,1.0,0.0,0.2578706885970327,nan,0.0
26,106496,2.0075128078460693,0.0,0.5176331996917725,323.9168395996094,-0.008121591061353683,1.270493984222412,nan,1.0,0.0,0.25784802407574886,nan,0.0
27,110592,2.040027618408203,0.0,0.5260375142097473,354.2295227050781,0.0052780453115701675,1.2659897804260254,nan,1.0,0.0,0.25785803377565264,nan,0.0
28,114688,2.0117743015289307,0.0,0.5183625221252441,366.9239501953125,-0.00977049395442009,1.3097264766693115,nan,1.0,0.0,0.2576643686062667,nan,0.0
29,118784,2.0110225677490234,0.0,0.5179575681686401,363.7023620605469,-0.005883404985070229,1.344114065170288,nan,1.0,0.0,0.2575593161714249,nan,0.0
30,122880,2.0163519382476807,0.0,0.5187666416168213,375.564697265625,-0.016985148191452026,1.3515228033065796,nan,1.0,0.0,0.2572797706546691,nan,0.0
31,126976,2.127138614654541,0.0,0.5470929741859436,387.9751892089844,0.029578033834695816,1.3576178550720215,nan,1.0,0.0,0.2571966451812296,nan,0.0
32,131072,2.0380043983459473,0.0,0.5251239538192749,337.74627685546875,-0.030217699706554413,1.3739553689956665,nan,1.0,0.0,0.2576657861539673,nan,0.0
33,135168,2.0075762271881104,0.0,0.5172325372695923,324.3076477050781,0.01718003675341606,1.3842101097106934,nan,1.0,0.0,0.2576403131729997,nan,0.0
34,139264,2.03458309173584,0.0,0.5240610837936401,337.5413818359375,-0.03398860991001129,1.379929780960083,nan,1.0,0.0,0.25757661008182936,nan,0.0
35,143360,2.016947031021118,0.0,0.5189491510391235,332.9401550292969,0.024258900433778763,1.3707261085510254,nan,1.0,0.0,0.2572943987991114,nan,0.0
36,147456,2.0299649238586426,0.0,0.5220540761947632,379.5323181152344,-0.049163129180669785,1.3684779405593872,nan,1.0,0.0,0.2571739661134496,nan,0.0
37,151552,2.0015029907226562,0.0,0.5144891738891602,369.8594665527344,-0.02223573997616768,1.3804845809936523,nan,1.0,0.0,0.2570513939466658,nan,0.0
38,155648,2.0822830200195312,0.0,0.534988284111023,362.7552185058594,-0.012524297460913658,1.3831865787506104,nan,1.0,0.0,0.2569239154611988,nan,0.0
39,159744,2.047084093093872,0.0,0.5263806581497192,341.64984130859375,0.025125671178102493,1.3746337890625,nan,1.0,0.0,0.2571368007132692,nan,0.0
40,163840,2.042764186859131,0.0,0.5253952145576477,316.2462463378906,0.027202067896723747,1.369788646697998,nan,1.0,0.0,0.2571981720216102,nan,0.0
41,167936,2.0193185806274414,0.0,0.5192227363586426,330.1090087890625,-0.005132291465997696,1.3446340560913086,nan,1.0,0.0,0.25712773996965943,nan,0.0
42,172032,1.9932254552841187,0.0,0.5123814344406128,342.01312255859375,0.027416955679655075,1.3588213920593262,nan,1.0,0.0,0.2570614655588372,nan,0.0
43,176128,2.0037598609924316,0.0,0.5149745941162109,332.95458984375,0.032109618186950684,1.374887228012085,nan,1.0,0.0,0.2570041815172703,nan,0.0
44,180224,2.00520920753479,0.0,0.5152051448822021,350.8692626953125,-0.017946884036064148,1.371451497077942,nan,1.0,0.0,0.25693340501225803,nan,0.0
45,184320,2.0204830169677734,0.0,0.5188848376274109,368.85394287109375,-0.014365355484187603,1.3797266483306885,nan,1.0,0.0,0.2568122711494951,nan,0.0
46,188416,2.1171321868896484,0.0,0.5435807704925537,371.998046875,-0.006067262962460518,1.3633227348327637,nan,1.0,0.0,0.25675332063217743,nan,0.0
47,192512,2.037867784500122,0.0,0.5238871574401855,338.90496826171875,-0.008441055193543434,1.3405649662017822,nan,1.0,0.0,0.25707615711445747,nan,0.0
48,196608,2.034773111343384,0.0,0.5230350494384766,340.2957763671875,-0.020581915974617004,1.3723148107528687,nan,1.0,0.0,0.2570483436979133,nan,0.0
