update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.6633164882659912,0.000244140625,0.483049601316452,305.8956298828125,-0.025585247203707695,1.3768181800842285,5.545176982879639,1.0,0.0,0.2904561460018158,0.03125,0.0
2,8192,1.5858409404754639,0.000732421875,0.4604606628417969,266.27587890625,-0.029549915343523026,1.3673017024993896,5.5451765060424805,1.0,0.0,0.29049156852418695,0.09375,0.0
3,12288,1.6363953351974487,0.0,0.45036396384239197,259.287353515625,0.05078652873635292,1.3612548112869263,5.545170783996582,1.0,0.0,0.275217089339294,0.0,0.0
4,16384,1.6573864221572876,0.0,0.4458070397377014,268.05126953125,0.0331239253282547,1.360332727432251,5.545167922973633,1.0,0.0,0.2689819291453606,0.0,0.0
5,20480,1.666654109954834,0.0,0.44267481565475464,287.7261657714844,-0.015320884063839912,1.3647563457489014,5.545156002044678,1.0,0.0,0.26560686864934413,0.0,0.0
6,24576,1.6684273481369019,0.0,0.43985337018966675,305.4390869140625,-0.025728777050971985,1.3738054037094116,5.545138835906982,1.0,0.0,0.2636335148084947,0.0,0.0
7,28672,1.6786688566207886,0.000244140625,0.44058534502983093,298.07293701171875,-0.012113877572119236,1.3628273010253906,5.545112609863281,1.0,0.0,0.2624993240706896,0.03125,0.0
8,32768,1.7675143480300903,0.000244140625,0.4628438353538513,296.82550048828125,0.010051079094409943,1.3515511751174927,5.545050621032715,1.0,0.0,0.2618976185540515,0.03125,0.0
9,36864,1.7436494827270508,0.0,0.4615544378757477,260.204833984375,0.030056264251470566,1.3614084720611572,5.5450639724731445,1.0,0.0,0.26470598701807874,0.0,0.0
10,40960,1.6986439228057861,0.0,0.45043325424194336,237.3457794189453,0.05222918465733528,1.3428637981414795,5.544820308685303,1.0,0.0,0.26517227509635866,0.0,0.0
11,45056,1.681665301322937,0.0,0.4447023272514343,224.73956298828125,0.049724943935871124,1.3259129524230957,5.54477596282959,1.0,0.0,0.264441630373997,0.0,0.0
12,49152,1.6617588996887207,0.0,0.4383416771888733,249.1304473876953,-0.01000726968050003,1.3429789543151855,5.544480323791504,1.0,0.0,0.26378175427750783,0.0,0.0
13,53248,1.6682826280593872,0.000244140625,0.43923747539520264,254.03138732910156,-0.009828474372625351,1.3692901134490967,5.54392147064209,1.0,0.0,0.26332575058020113,0.03125,0.0
14,57344,1.678692102432251,0.000244140625,0.4413416385650635,261.5727844238281,0.017908375710248947,1.362295389175415,5.5429229736328125,1.0,0.0,0.26294626764911805,0.03125,0.0
15,61440,1.6796154975891113,0.0,0.4413053095340729,274.33575439453125,0.00047425180673599243,1.376938819885254,5.541849613189697,1.0,0.0,0.2627419050260611,0.0,0.0
16,65536,1.820342779159546,0.0,0.4777127206325531,271.6756591796875,0.019020410254597664,1.3750858306884766,5.54040002822876,1.0,0.0,0.26243011339916933,0.0,0.0
17,69632,1.7393124103546143,0.0,0.4592217206954956,232.26393127441406,0.004110426642000675,1.379148006439209,5.5361762046813965,1.0,0.0,0.26402489131483436,0.0,0.0
18,73728,1.7254540920257568,0.00048828125,0.45503294467926025,224.98143005371094,0.014624036848545074,1.3829560279846191,5.530426502227783,1.0,0.0,0.26379244434660737,0.0625,0.0
