rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.0,0.0,0.0,0.004347851034253836,0.0,0.99,0.0,0.0,1,4096,40.96,99.0
0.0,0.0,0.0,0.0023314200807362795,0.0,1.0,0.0,0.0,5,20480,204.8,100.0
0.0,0.0,0.0,0.0020001856610178947,0.0,1.0,0.0,0.0,10,40960,409.6,100.0
0.0,0.0,0.0,0.0018541441531851888,0.0,1.0,0.0,0.0,15,61440,614.4,100.0
0.0,0.0,0.0,0.0015015080571174622,0.0,1.0,0.0,0.0,20,81920,819.2,100.0
0.0,0.0,0.0,0.0013110428117215633,0.0,1.0,0.0,0.0,25,102400,1024.0,100.0
0.0,0.0,0.0,0.001259618322364986,0.0,1.0,0.0,0.0,30,122880,1228.8,100.0
0.0,0.0,0.0,0.0012178807519376278,0.0,1.0,0.0,0.0,35,143360,1433.6,100.0
0.0,0.0,0.0,0.0011470947647467256,0.0,1.0,0.0,0.0,40,163840,1638.4,100.0
0.0,0.0,0.0,0.0011032236507162452,0.0,1.0,0.0,0.0,45,184320,1843.2,100.0
0.0,0.0,0.0,0.0010500757489353418,0.0,1.0,0.0,0.0,48,196608,1966.08,100.0
