update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,2.0792479515075684,0.005126953125,0.5839864015579224,483.4081726074219,0.015298132784664631,1.3738409280776978,nan,1.0,0.0,0.28155848383903503,0.46875,0.0
2,8192,1.9346685409545898,0.00341796875,0.5438264012336731,412.52081298828125,-0.0051398444920778275,1.3608291149139404,nan,1.0,0.0,0.28159286638476916,0.375,0.0
3,12288,1.997380018234253,0.00390625,0.5368282198905945,412.3710632324219,0.02262071520090103,1.3480440378189087,nan,1.0,0.0,0.26929283783522834,0.40625,0.0
4,16384,1.9834493398666382,0.002685546875,0.5311673283576965,435.4849853515625,-0.024794165045022964,1.346163272857666,nan,1.0,0.0,0.26816288618002687,0.25,0.0
5,20480,1.97071373462677,0.001708984375,0.5279149413108826,420.607421875,-0.009401790797710419,1.3533639907836914,nan,1.0,0.0,0.26811257191513416,0.15625,0.0
6,24576,1.9567618370056152,0.000732421875,0.5227289199829102,431.98126220703125,-0.006344292312860489,1.3553333282470703,nan,1.0,0.0,0.2672397940733856,0.09375,0.0
7,28672,1.9970203638076782,0.00146484375,0.5307343602180481,442.2008361816406,-0.02645636908710003,1.3487424850463867,nan,1.0,0.0,0.2659582033678047,0.15625,0.0
8,32768,1.9924038648605347,0.000732421875,0.5294325351715088,430.7977600097656,-0.052170153707265854,1.330409049987793,nan,1.0,0.0,0.26582323451707374,0.09375,0.0
9,36864,1.973200798034668,0.001220703125,0.5251821279525757,392.6376647949219,-0.01620449125766754,1.305341124534607,nan,1.0,0.0,0.2663222305806222,0.125,0.0
10,40960,1.9524571895599365,0.000732421875,0.5184304714202881,385.669189453125,-0.048283740878105164,1.3150007724761963,nan,1.0,0.0,0.2656268036224507,0.09375,0.0
11,45056,1.9803696870803833,0.00146484375,0.5252639055252075,376.1695556640625,0.015904273837804794,1.3056747913360596,nan,1.0,0.0,0.26543158387987553,0.15625,0.0
12,49152,1.9600598812103271,0.001708984375,0.5201162099838257,353.9966125488281,-0.006672945339232683,1.3389055728912354,nan,1.0,0.0,0.2655888654469991,0.21875,0.0
13,53248,1.9994834661483765,0.001953125,0.5298471450805664,388.99761962890625,-0.015160096809267998,1.312711477279663,nan,1.0,0.0,0.26525116191998144,0.21875,0.0
14,57344,1.9409737586975098,0.000244140625,0.5137302875518799,375.12664794921875,-0.013997460715472698,1.3020929098129272,nan,1.0,0.0,0.2647098705321441,0.03125,0.0
15,61440,1.9303455352783203,0.000244140625,0.5106658339500427,357.2669677734375,0.012326807714998722,1.305934190750122,nan,1.0,0.0,0.26457980508698337,0.03125,0.0
16,65536,1.9074528217315674,0.000244140625,0.5049218535423279,336.5802001953125,0.008252802304923534,1.3121373653411865,nan,1.0,0.0,0.26474390275356996,0.03125,0.0
17,69632,1.9411698579788208,0.000732421875,0.5145306587219238,339.3725891113281,0.03609029948711395,1.314041256904602,nan,1.0,0.0,0.2651621756413557,0.09375,0.0
18,73728,1.9470558166503906,0.0,0.5167264938354492,358.78466796875,-0.02419877238571644,1.3085811138153076,nan,1.0,0.0,0.2653886511690657,0.0,0.0
19,77824,1.9354047775268555,0.000732421875,0.5132302045822144,347.7271728515625,-0.020950090140104294,1.3305165767669678,nan,1.0,0.0,0.2652801711427921,0.09375,0.0
20,81920,1.9564510583877563,0.000732421875,0.5185425281524658,365.7750244140625,-0.05239952355623245,1.328372836112976,nan,1.0,0.0,0.2651416886661567,0.09375,0.0
21,86016,1.9556888341903687,0.001220703125,0.5185450315475464,342.3434143066406,0.03783109039068222,1.3238041400909424,nan,1.0,0.0,0.26531260616063307,0.15625,0.0
22,90112,1.961076259613037,0.00048828125,0.5193774700164795,343.49884033203125,0.014141568914055824,1.3051776885986328,nan,1.0,0.0,0.2649090373085165,0.0625,0.0
23,94208,1.9742660522460938,0.001953125,0.522062361240387,337.8840637207031,-0.02074643410742283,1.3273792266845703,nan,1.0,0.0,0.26469548992509134,0.21875,0.0
24,98304,1.962968349456787,0.00048828125,0.5195932388305664,340.42529296875,-0.03551330789923668,1.2764304876327515,nan,1.0,0.0,0.26476352851617785,0.0625,0.0
