update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,1.680025577545166,0.002685546875,0.4875369071960449,305.98175048828125,-0.028957432135939598,1.3767911195755005,5.545176982879639,1.0,0.0,0.2906607389450073,0.34375,0.0
2,8192,1.5924909114837646,0.001953125,0.4623633623123169,264.870361328125,-0.013966655358672142,1.3696727752685547,5.545176029205322,1.0,0.0,0.2906962317274333,0.1875,0.0
3,12288,1.637157678604126,0.00146484375,0.4536827802658081,283.38873291015625,-0.03721644729375839,1.3696931600570679,5.545172691345215,1.0,0.0,0.27736430195927153,0.15625,0.0
4,16384,1.667466163635254,0.00146484375,0.45233362913131714,275.50665283203125,0.02910446934401989,1.3752720355987549,5.545167446136475,1.0,0.0,0.27150855237167704,0.15625,0.0
5,20480,1.6849240064620972,0.00146484375,0.45279330015182495,276.4903259277344,-0.019360072910785675,1.3791487216949463,5.545163154602051,1.0,0.0,0.2689660128620157,0.1875,0.0
6,24576,1.723250150680542,0.003173828125,0.4608759880065918,273.83673095703125,0.02202129177749157,1.3825929164886475,5.545150279998779,1.0,0.0,0.2679392833043844,0.25,0.0
7,28672,1.696528673171997,0.001220703125,0.4544583857059479,294.93963623046875,-0.024540424346923828,1.3615769147872925,5.5451154708862305,1.0,0.0,0.2680683427616944,0.15625,0.0
8,32768,1.6962363719940186,0.001220703125,0.45277994871139526,279.59295654296875,-0.028241079300642014,1.3762106895446777,5.545086860656738,1.0,0.0,0.2671243386478349,0.15625,0.0
9,36864,1.7227650880813599,0.00146484375,0.4596826732158661,273.69659423828125,-0.02133820205926895,1.3774585723876953,5.545010566711426,1.0,0.0,0.2670554885333665,0.1875,0.0
10,40960,1.713404893875122,0.002197265625,0.45701277256011963,261.2742919921875,0.013589172624051571,1.3789350986480713,5.54484224319458,1.0,0.0,0.26707032729247265,0.28125,0.0
11,45056,1.7447580099105835,0.002685546875,0.46480298042297363,262.7095947265625,-0.012073555961251259,1.362861156463623,5.544824123382568,1.0,0.0,0.2668103621010801,0.28125,0.0
12,49152,1.699934482574463,0.0009765625,0.45348629355430603,245.07598876953125,0.023330818861722946,1.3570358753204346,5.544546127319336,1.0,0.0,0.266920282259672,0.125,0.0
13,53248,1.693033218383789,0.000244140625,0.45138785243034363,262.4616394042969,-0.03620265796780586,1.3687245845794678,5.544105052947998,1.0,0.0,0.26665336554040553,0.03125,0.0
14,57344,1.7065026760101318,0.001220703125,0.4538680911064148,239.4626922607422,0.07548823207616806,1.37334144115448,5.543263912200928,1.0,0.0,0.2661542812487944,0.15625,0.0
15,61440,1.711266279220581,0.000732421875,0.45453590154647827,255.1245574951172,0.011624597944319248,1.3698136806488037,5.542019367218018,1.0,0.0,0.2657275149553793,0.0625,0.0
16,65536,1.745306372642517,0.000732421875,0.4629221558570862,271.6716003417969,-0.0151887908577919,1.3675975799560547,5.540378093719482,1.0,0.0,0.26534967436978796,0.09375,0.0
17,69632,1.750370740890503,0.0,0.46445298194885254,267.84173583984375,-0.010347658768296242,1.3812661170959473,5.536715984344482,1.0,0.0,0.26534549339718555,0.0,0.0
